"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_sullivand","vote_shares_grossa"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T07:49:09Z",2020,11,4,7,49,9,1604504949,113365,31,0.608,0.344
"edison","2020-11-04T08:57:55Z",2020,11,4,8,57,55,1604509075,132144,36,0.617,0.337
"edison","2020-11-04T18:36:02Z",2020,11,4,18,36,2,1604543762,172347,56,0.629,0.318
"edison","2020-11-09T19:11:54Z",2020,11,9,19,11,54,1604977914,191230,61,0.623,0.321
"edison","2020-11-11T02:47:13Z",2020,11,11,2,47,13,1605091633,240420,75,0.584,0.364
"edison","2020-11-11T13:18:29Z",2020,11,11,13,18,29,1605129509,260627,75,0.575,0.375
"edison","2020-11-11T13:18:29Z",2020,11,11,13,18,29,1605129509,260193,75,0.575,0.375
"edison","2020-11-12T16:41:44Z",2020,11,12,16,41,44,1605228104,285136,78,0.565,0.386
"edison","2020-11-13T02:25:54Z",2020,11,13,2,25,54,1605263154,309905,99,0.549,0.404
"edison","2020-11-13T13:56:34Z",2020,11,13,13,56,34,1605304594,321892,99,0.543,0.409
"edison","2020-11-13T13:57:08Z",2020,11,13,13,57,8,1605304628,321925,99,0.543,0.41
"edison","2020-11-14T02:43:03Z",2020,11,14,2,43,3,1605350583,332448,99,0.543,0.41
"edison","2020-11-15T18:48:48Z",2020,11,15,18,48,48,1605494928,336927,99,0.543,0.41
"edison","2020-11-16T17:01:36Z",2020,11,16,17,1,36,1605574896,346831,99,0.541,0.413
"edison","2020-11-19T13:17:03Z",2020,11,19,13,17,3,1605820623,353297,99,0.54,0.413
"ap","2020-11-19T00:39:05.800Z",NA,NA,NA,NA,NA,NA,NA,353282,99,0.54,0.413
"edison","2020-11-25T01:55:01Z",2020,11,25,1,55,1,1606298101,352890,99,0.54,0.412
"edison","2020-11-25T02:14:12Z",2020,11,25,2,14,12,1606299252,353877,99,0.539,0.412
