"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:04Z",2020,11,4,10,2,4,1604512924,0,0,0,0
"edison","2020-11-04T03:03:36Z",2020,11,4,3,3,36,1604487816,104866,3,0.505,0.48
"edison","2020-11-04T03:05:47Z",2020,11,4,3,5,47,1604487947,730299,23,0.421,0.566
"edison","2020-11-04T03:06:25Z",2020,11,4,3,6,25,1604487985,2203485,69,0.437,0.55
"edison","2020-11-04T03:08:46Z",2020,11,4,3,8,46,1604488126,2234553,70,0.438,0.549
"edison","2020-11-04T03:10:54Z",2020,11,4,3,10,54,1604488254,2304343,72,0.446,0.541
"edison","2020-11-04T03:13:47Z",2020,11,4,3,13,47,1604488427,2329555,73,0.448,0.539
"edison","2020-11-04T03:14:48Z",2020,11,4,3,14,48,1604488488,2331561,73,0.449,0.539
"edison","2020-11-04T03:16:33Z",2020,11,4,3,16,33,1604488593,2331651,73,0.448,0.539
"edison","2020-11-04T03:17:55Z",2020,11,4,3,17,55,1604488675,2332883,73,0.448,0.538
"edison","2020-11-04T03:18:15Z",2020,11,4,3,18,15,1604488695,2346888,73,0.447,0.539
"edison","2020-11-04T03:22:32Z",2020,11,4,3,22,32,1604488952,2383450,74,0.448,0.538
"edison","2020-11-04T03:24:23Z",2020,11,4,3,24,23,1604489063,2396381,75,0.45,0.537
"edison","2020-11-04T03:31:35Z",2020,11,4,3,31,35,1604489495,2396411,75,0.45,0.537
"edison","2020-11-04T03:34:13Z",2020,11,4,3,34,13,1604489653,2397005,75,0.45,0.537
"edison","2020-11-04T03:37:56Z",2020,11,4,3,37,56,1604489876,2397263,75,0.45,0.537
"edison","2020-11-04T03:57:01Z",2020,11,4,3,57,1,1604491021,2398824,75,0.45,0.537
"edison","2020-11-04T04:03:37Z",2020,11,4,4,3,37,1604491417,2400954,75,0.45,0.537
"edison","2020-11-04T04:04:48Z",2020,11,4,4,4,48,1604491488,2402922,75,0.45,0.536
"edison","2020-11-04T04:05:29Z",2020,11,4,4,5,29,1604491529,2403384,75,0.45,0.536
"edison","2020-11-04T04:07:29Z",2020,11,4,4,7,29,1604491649,2404551,75,0.45,0.536
"edison","2020-11-04T04:23:33Z",2020,11,4,4,23,33,1604492613,2408896,75,0.451,0.536
"edison","2020-11-04T04:26:30Z",2020,11,4,4,26,30,1604492790,2410178,75,0.451,0.535
"edison","2020-11-04T04:38:07Z",2020,11,4,4,38,7,1604493487,2420394,76,0.45,0.536
"edison","2020-11-04T05:53:27Z",2020,11,4,5,53,27,1604498007,2483748,78,0.456,0.531
"edison","2020-11-04T05:57:55Z",2020,11,4,5,57,55,1604498275,2483894,78,0.456,0.531
"edison","2020-11-04T06:01:59Z",2020,11,4,6,1,59,1604498519,2502286,78,0.458,0.528
"edison","2020-11-04T06:04:42Z",2020,11,4,6,4,42,1604498682,2521845,79,0.46,0.526
"edison","2020-11-04T06:07:45Z",2020,11,4,6,7,45,1604498865,2533873,79,0.461,0.526
"edison","2020-11-04T06:17:33Z",2020,11,4,6,17,33,1604499453,2536236,79,0.461,0.525
"edison","2020-11-04T06:34:40Z",2020,11,4,6,34,40,1604500480,2537774,79,0.461,0.525
"edison","2020-11-04T06:43:46Z",2020,11,4,6,43,46,1604501026,2550854,80,0.463,0.524
"edison","2020-11-04T06:48:46Z",2020,11,4,6,48,46,1604501326,2552808,80,0.463,0.524
"edison","2020-11-04T06:52:30Z",2020,11,4,6,52,30,1604501550,2552842,80,0.463,0.524
"edison","2020-11-04T07:20:03Z",2020,11,4,7,20,3,1604503203,2567895,80,0.463,0.523
"edison","2020-11-04T07:20:41Z",2020,11,4,7,20,41,1604503241,2567903,80,0.463,0.523
"edison","2020-11-04T07:30:48Z",2020,11,4,7,30,48,1604503848,2623219,82,0.467,0.519
"edison","2020-11-04T07:33:40Z",2020,11,4,7,33,40,1604504020,2638624,82,0.469,0.518
"edison","2020-11-04T07:39:40Z",2020,11,4,7,39,40,1604504380,2639559,82,0.468,0.518
"edison","2020-11-04T14:44:09Z",2020,11,4,14,44,9,1604529849,2766463,99,0.476,0.51
"edison","2020-11-04T18:51:42Z",2020,11,4,18,51,42,1604544702,2766673,86,0.476,0.51
"edison","2020-11-04T19:39:52Z",2020,11,4,19,39,52,1604547592,2766739,86,0.476,0.51
"edison","2020-11-04T20:27:42Z",2020,11,4,20,27,42,1604550462,2767524,86,0.476,0.51
"edison","2020-11-05T00:41:41Z",2020,11,5,0,41,41,1604565701,2773138,86,0.476,0.51
"edison","2020-11-05T02:02:47Z",2020,11,5,2,2,47,1604570567,2848675,86,0.479,0.507
"edison","2020-11-05T07:40:12Z",2020,11,5,7,40,12,1604590812,2910677,86,0.481,0.505
"edison","2020-11-05T19:13:40Z",2020,11,5,19,13,40,1604632420,2912613,86,0.481,0.505
"edison","2020-11-05T19:45:35Z",2020,11,5,19,45,35,1604634335,2913245,86,0.481,0.505
"edison","2020-11-05T19:49:34Z",2020,11,5,19,49,34,1604634574,2913429,86,0.481,0.505
"edison","2020-11-05T20:51:36Z",2020,11,5,20,51,36,1604638296,2914614,86,0.481,0.505
"edison","2020-11-05T22:57:35Z",2020,11,5,22,57,35,1604645855,2918839,86,0.481,0.505
"edison","2020-11-05T23:06:37Z",2020,11,5,23,6,37,1604646397,2926841,86,0.482,0.504
"edison","2020-11-06T00:14:38Z",2020,11,6,0,14,38,1604650478,2932674,86,0.483,0.504
"edison","2020-11-06T00:34:35Z",2020,11,6,0,34,35,1604651675,2934297,86,0.483,0.503
"edison","2020-11-06T00:37:43Z",2020,11,6,0,37,43,1604651863,2939466,86,0.483,0.503
"edison","2020-11-06T00:53:35Z",2020,11,6,0,53,35,1604652815,2945456,87,0.483,0.503
"edison","2020-11-06T00:56:36Z",2020,11,6,0,56,36,1604652996,2973800,87,0.483,0.502
"edison","2020-11-06T01:11:35Z",2020,11,6,1,11,35,1604653895,2974062,87,0.483,0.502
"edison","2020-11-06T01:13:36Z",2020,11,6,1,13,36,1604654016,2976285,88,0.483,0.503
"edison","2020-11-06T01:27:35Z",2020,11,6,1,27,35,1604654855,2978242,88,0.483,0.503
"edison","2020-11-06T02:01:44Z",2020,11,6,2,1,44,1604656904,3053556,90,0.485,0.501
"edison","2020-11-06T03:35:42Z",2020,11,6,3,35,42,1604662542,3054736,90,0.485,0.501
"edison","2020-11-06T05:27:48Z",2020,11,6,5,27,48,1604669268,3060449,90,0.485,0.501
"edison","2020-11-06T16:01:42Z",2020,11,6,16,1,42,1604707302,3122238,92,0.486,0.5
"edison","2020-11-06T16:09:38Z",2020,11,6,16,9,38,1604707778,3123624,92,0.486,0.5
"edison","2020-11-06T16:33:32Z",2020,11,6,16,33,32,1604709212,3123624,93,0.486,0.5
"edison","2020-11-06T19:23:36Z",2020,11,6,19,23,36,1604719416,3127581,93,0.486,0.499
"edison","2020-11-06T19:48:35Z",2020,11,6,19,48,35,1604720915,3128667,93,0.486,0.499
"edison","2020-11-06T20:27:36Z",2020,11,6,20,27,36,1604723256,3135333,94,0.486,0.499
"edison","2020-11-06T22:16:38Z",2020,11,6,22,16,38,1604729798,3136364,94,0.486,0.499
"edison","2020-11-06T23:04:37Z",2020,11,6,23,4,37,1604732677,3141210,94,0.486,0.499
"edison","2020-11-06T23:13:05Z",2020,11,6,23,13,5,1604733185,3150091,94,0.486,0.499
"edison","2020-11-06T23:13:36Z",2020,11,6,23,13,36,1604733216,3150295,94,0.486,0.499
"edison","2020-11-06T23:42:34Z",2020,11,6,23,42,34,1604734954,3152467,94,0.486,0.499
"edison","2020-11-07T00:27:35Z",2020,11,7,0,27,35,1604737655,3155443,94,0.487,0.498
"edison","2020-11-07T01:24:38Z",2020,11,7,1,24,38,1604741078,3156055,94,0.487,0.498
"edison","2020-11-07T02:01:44Z",2020,11,7,2,1,44,1604743304,3227987,96,0.488,0.497
"edison","2020-11-07T02:02:26Z",2020,11,7,2,2,26,1604743346,3235450,97,0.487,0.496
"edison","2020-11-07T15:37:37Z",2020,11,7,15,37,37,1604792257,3242445,97,0.487,0.495
"edison","2020-11-07T15:53:37Z",2020,11,7,15,53,37,1604793217,3244195,97,0.487,0.495
"edison","2020-11-07T16:01:45Z",2020,11,7,16,1,45,1604793705,3284602,97,0.489,0.495
"edison","2020-11-07T20:01:48Z",2020,11,7,20,1,48,1604808108,3284905,97,0.489,0.495
"edison","2020-11-07T21:27:39Z",2020,11,7,21,27,39,1604813259,3285927,97,0.489,0.495
"edison","2020-11-08T01:02:42Z",2020,11,8,1,2,42,1604826162,3293046,97,0.489,0.495
"edison","2020-11-08T02:19:59Z",2020,11,8,2,19,59,1604830799,3295325,97,0.489,0.495
"edison","2020-11-08T17:37:42Z",2020,11,8,17,37,42,1604885862,3295569,97,0.489,0.495
"edison","2020-11-08T19:29:36Z",2020,11,8,19,29,36,1604892576,3298607,97,0.489,0.495
"edison","2020-11-08T23:01:47Z",2020,11,8,23,1,47,1604905307,3305469,97,0.489,0.495
"edison","2020-11-08T23:29:43Z",2020,11,8,23,29,43,1604906983,3308722,97,0.489,0.495
"edison","2020-11-08T23:34:40Z",2020,11,8,23,34,40,1604907280,3322208,98,0.49,0.495
"edison","2020-11-09T00:48:39Z",2020,11,9,0,48,39,1604911719,3322535,98,0.49,0.495
"edison","2020-11-09T18:02:37Z",2020,11,9,18,2,37,1604973757,3322568,98,0.49,0.495
"edison","2020-11-09T18:08:43Z",2020,11,9,18,8,43,1604974123,3322659,98,0.49,0.495
"edison","2020-11-09T18:17:37Z",2020,11,9,18,17,37,1604974657,3322804,98,0.49,0.495
"edison","2020-11-09T18:32:35Z",2020,11,9,18,32,35,1604975555,3323228,98,0.49,0.495
"edison","2020-11-09T21:05:46Z",2020,11,9,21,5,46,1604984746,3324015,98,0.49,0.495
"edison","2020-11-09T22:22:36Z",2020,11,9,22,22,36,1604989356,3327452,98,0.49,0.494
"edison","2020-11-09T23:54:39Z",2020,11,9,23,54,39,1604994879,3328043,98,0.49,0.494
