"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_kellym","vote_shares_mcsallym"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T03:05:47Z",2020,11,4,3,5,47,1604487947,99756,3,0.59,0.41
"edison","2020-11-04T03:06:11Z",2020,11,4,3,6,11,1604487971,725411,23,0.579,0.421
"edison","2020-11-04T03:06:43Z",2020,11,4,3,6,43,1604488003,2189840,68,0.563,0.437
"edison","2020-11-04T03:08:55Z",2020,11,4,3,8,55,1604488135,2220744,69,0.562,0.438
"edison","2020-11-04T03:11:25Z",2020,11,4,3,11,25,1604488285,2289535,72,0.555,0.445
"edison","2020-11-04T03:14:02Z",2020,11,4,3,14,2,1604488442,2310188,72,0.553,0.447
"edison","2020-11-04T03:14:49Z",2020,11,4,3,14,49,1604488489,2312163,72,0.553,0.447
"edison","2020-11-04T03:15:11Z",2020,11,4,3,15,11,1604488511,2312460,72,0.553,0.447
"edison","2020-11-04T03:15:47Z",2020,11,4,3,15,47,1604488547,2316887,72,0.553,0.447
"edison","2020-11-04T03:18:19Z",2020,11,4,3,18,19,1604488699,2316983,72,0.553,0.447
"edison","2020-11-04T03:18:34Z",2020,11,4,3,18,34,1604488714,2317796,72,0.552,0.447
"edison","2020-11-04T03:18:57Z",2020,11,4,3,18,57,1604488737,2331717,73,0.554,0.446
"edison","2020-11-04T03:22:32Z",2020,11,4,3,22,32,1604488952,2368083,74,0.553,0.447
"edison","2020-11-04T03:24:23Z",2020,11,4,3,24,23,1604489063,2380844,74,0.551,0.448
"edison","2020-11-04T03:34:13Z",2020,11,4,3,34,13,1604489653,2381436,74,0.551,0.448
"edison","2020-11-04T03:37:56Z",2020,11,4,3,37,56,1604489876,2381685,74,0.551,0.448
"edison","2020-11-04T03:42:36Z",2020,11,4,3,42,36,1604490156,2381720,74,0.551,0.448
"edison","2020-11-04T03:57:01Z",2020,11,4,3,57,1,1604491021,2383264,74,0.551,0.448
"edison","2020-11-04T04:03:38Z",2020,11,4,4,3,38,1604491418,2385371,75,0.551,0.448
"edison","2020-11-04T04:04:48Z",2020,11,4,4,4,48,1604491488,2387321,75,0.551,0.449
"edison","2020-11-04T04:05:29Z",2020,11,4,4,5,29,1604491529,2387782,75,0.551,0.449
"edison","2020-11-04T04:39:29Z",2020,11,4,4,39,29,1604493569,2404803,75,0.551,0.449
"edison","2020-11-04T04:46:51Z",2020,11,4,4,46,51,1604494011,2414563,75,0.55,0.45
"edison","2020-11-04T04:51:27Z",2020,11,4,4,51,27,1604494287,2418702,76,0.549,0.451
"edison","2020-11-04T04:52:02Z",2020,11,4,4,52,2,1604494322,2426629,76,0.548,0.451
"edison","2020-11-04T05:08:56Z",2020,11,4,5,8,56,1604495336,2439872,76,0.548,0.451
"edison","2020-11-04T05:11:39Z",2020,11,4,5,11,39,1604495499,2456916,77,0.547,0.453
"edison","2020-11-04T05:23:53Z",2020,11,4,5,23,53,1604496233,2458441,77,0.546,0.453
"edison","2020-11-04T05:40:29Z",2020,11,4,5,40,29,1604497229,2463145,77,0.546,0.454
"edison","2020-11-04T05:43:04Z",2020,11,4,5,43,4,1604497384,2463189,77,0.546,0.454
"edison","2020-11-04T05:47:07Z",2020,11,4,5,47,7,1604497627,2467488,77,0.546,0.454
"edison","2020-11-04T07:25:45Z",2020,11,4,7,25,45,1604503545,2550554,80,0.539,0.461
"edison","2020-11-04T07:30:48Z",2020,11,4,7,30,48,1604503848,2604843,81,0.535,0.465
"edison","2020-11-04T07:33:40Z",2020,11,4,7,33,40,1604504020,2620058,82,0.533,0.466
"edison","2020-11-04T07:39:41Z",2020,11,4,7,39,41,1604504381,2621003,82,0.534,0.466
"edison","2020-11-04T20:27:42Z",2020,11,4,20,27,42,1604550462,2746237,86,0.526,0.474
"edison","2020-11-05T00:41:41Z",2020,11,5,0,41,41,1604565701,2751761,86,0.526,0.474
"edison","2020-11-05T02:02:47Z",2020,11,5,2,2,47,1604570567,2826370,86,0.523,0.477
"edison","2020-11-05T07:42:43Z",2020,11,5,7,42,43,1604590963,2887479,86,0.521,0.479
