"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:38:22Z",2020,11,4,8,38,22,1604507902,0,0,0,0
"edison","2020-11-04T01:37:24Z",2020,11,4,1,37,24,1604482644,2119,0,0.602,0.366
"edison","2020-11-04T01:37:46Z",2020,11,4,1,37,46,1604482666,13130,1,0.736,0.235
"edison","2020-11-04T01:42:45Z",2020,11,4,1,42,45,1604482965,60945,5,0.694,0.284
"edison","2020-11-04T01:43:29Z",2020,11,4,1,43,29,1604483009,64224,5,0.7,0.277
"edison","2020-11-04T01:48:46Z",2020,11,4,1,48,46,1604483326,67746,5,0.699,0.279
"edison","2020-11-04T01:49:46Z",2020,11,4,1,49,46,1604483386,73207,6,0.705,0.273
"edison","2020-11-04T01:50:45Z",2020,11,4,1,50,45,1604483445,112053,9,0.685,0.293
"edison","2020-11-04T01:52:47Z",2020,11,4,1,52,47,1604483567,158484,12,0.668,0.308
"edison","2020-11-04T01:54:46Z",2020,11,4,1,54,46,1604483686,166955,13,0.674,0.302
"edison","2020-11-04T01:56:45Z",2020,11,4,1,56,45,1604483805,179877,14,0.682,0.294
"edison","2020-11-04T02:00:47Z",2020,11,4,2,0,47,1604484047,180308,14,0.681,0.295
"edison","2020-11-04T02:01:17Z",2020,11,4,2,1,17,1604484077,180990,14,0.681,0.294
"edison","2020-11-04T02:01:45Z",2020,11,4,2,1,45,1604484105,185120,15,0.682,0.294
"edison","2020-11-04T02:05:15Z",2020,11,4,2,5,15,1604484315,191879,15,0.679,0.296
"edison","2020-11-04T02:07:32Z",2020,11,4,2,7,32,1604484452,197897,16,0.683,0.292
"edison","2020-11-04T02:08:46Z",2020,11,4,2,8,46,1604484526,203539,16,0.684,0.292
"edison","2020-11-04T02:09:59Z",2020,11,4,2,9,59,1604484599,331194,26,0.563,0.413
"edison","2020-11-04T02:10:50Z",2020,11,4,2,10,50,1604484650,336739,27,0.565,0.411
"edison","2020-11-04T02:11:45Z",2020,11,4,2,11,45,1604484705,439509,35,0.575,0.4
"edison","2020-11-04T02:12:53Z",2020,11,4,2,12,53,1604484773,442939,35,0.573,0.403
"edison","2020-11-04T02:14:13Z",2020,11,4,2,14,13,1604484853,460611,36,0.579,0.396
"edison","2020-11-04T02:14:47Z",2020,11,4,2,14,47,1604484887,460612,36,0.579,0.396
"edison","2020-11-04T02:15:46Z",2020,11,4,2,15,46,1604484946,466464,37,0.582,0.394
"edison","2020-11-04T02:16:30Z",2020,11,4,2,16,30,1604484990,471312,37,0.582,0.393
"edison","2020-11-04T02:23:26Z",2020,11,4,2,23,26,1604485406,481420,38,0.582,0.393
"edison","2020-11-04T02:26:59Z",2020,11,4,2,26,59,1604485619,481890,38,0.583,0.393
"edison","2020-11-04T02:27:27Z",2020,11,4,2,27,27,1604485647,484663,38,0.584,0.392
"edison","2020-11-04T02:29:04Z",2020,11,4,2,29,4,1604485744,488676,38,0.585,0.39
"edison","2020-11-04T02:30:56Z",2020,11,4,2,30,56,1604485856,495309,39,0.585,0.39
"edison","2020-11-04T02:31:49Z",2020,11,4,2,31,49,1604485909,497058,39,0.586,0.389
"edison","2020-11-04T02:32:03Z",2020,11,4,2,32,3,1604485923,501150,39,0.587,0.388
"edison","2020-11-04T02:36:37Z",2020,11,4,2,36,37,1604486197,503998,40,0.586,0.388
"edison","2020-11-04T02:39:31Z",2020,11,4,2,39,31,1604486371,507203,40,0.588,0.387
"edison","2020-11-04T02:40:34Z",2020,11,4,2,40,34,1604486434,508213,40,0.587,0.388
"edison","2020-11-04T02:40:46Z",2020,11,4,2,40,46,1604486446,509308,40,0.587,0.388
"edison","2020-11-04T02:42:40Z",2020,11,4,2,42,40,1604486560,511632,40,0.588,0.386
"edison","2020-11-04T02:45:05Z",2020,11,4,2,45,5,1604486705,512593,40,0.589,0.386
"edison","2020-11-04T02:46:03Z",2020,11,4,2,46,3,1604486763,516520,41,0.59,0.384
"edison","2020-11-04T02:49:07Z",2020,11,4,2,49,7,1604486947,519995,41,0.592,0.383
"edison","2020-11-04T02:49:28Z",2020,11,4,2,49,28,1604486968,524813,41,0.593,0.382
"edison","2020-11-04T02:51:05Z",2020,11,4,2,51,5,1604487065,526522,41,0.594,0.381
"edison","2020-11-04T02:51:30Z",2020,11,4,2,51,30,1604487090,527570,42,0.594,0.38
"edison","2020-11-04T02:52:36Z",2020,11,4,2,52,36,1604487156,531069,42,0.596,0.379
"edison","2020-11-04T02:54:49Z",2020,11,4,2,54,49,1604487289,538562,42,0.599,0.376
"edison","2020-11-04T02:58:07Z",2020,11,4,2,58,7,1604487487,539649,42,0.599,0.376
"edison","2020-11-04T02:59:25Z",2020,11,4,2,59,25,1604487565,545441,43,0.601,0.373
"edison","2020-11-04T03:02:04Z",2020,11,4,3,2,4,1604487724,547210,43,0.601,0.373
"edison","2020-11-04T03:02:38Z",2020,11,4,3,2,38,1604487758,549262,43,0.602,0.373
"edison","2020-11-04T03:06:32Z",2020,11,4,3,6,32,1604487992,551084,43,0.602,0.372
"edison","2020-11-04T03:07:07Z",2020,11,4,3,7,7,1604488027,553227,44,0.603,0.371
"edison","2020-11-04T03:09:54Z",2020,11,4,3,9,54,1604488194,565730,45,0.606,0.368
"edison","2020-11-04T03:10:39Z",2020,11,4,3,10,39,1604488239,570886,45,0.608,0.367
"edison","2020-11-04T03:11:29Z",2020,11,4,3,11,29,1604488289,595253,47,0.613,0.361
"edison","2020-11-04T03:12:19Z",2020,11,4,3,12,19,1604488339,597284,47,0.613,0.361
"edison","2020-11-04T03:14:47Z",2020,11,4,3,14,47,1604488487,605752,48,0.616,0.358
"edison","2020-11-04T03:16:50Z",2020,11,4,3,16,50,1604488610,611464,48,0.617,0.357
"edison","2020-11-04T03:18:29Z",2020,11,4,3,18,29,1604488709,624285,49,0.619,0.355
"edison","2020-11-04T03:20:48Z",2020,11,4,3,20,48,1604488848,657541,52,0.622,0.353
"edison","2020-11-04T03:21:20Z",2020,11,4,3,21,20,1604488880,671410,53,0.623,0.351
"edison","2020-11-04T03:22:16Z",2020,11,4,3,22,16,1604488936,673837,53,0.623,0.352
"edison","2020-11-04T03:22:32Z",2020,11,4,3,22,32,1604488952,675573,53,0.623,0.351
"edison","2020-11-04T03:23:33Z",2020,11,4,3,23,33,1604489013,681809,54,0.624,0.35
"edison","2020-11-04T03:26:40Z",2020,11,4,3,26,40,1604489200,698826,55,0.628,0.346
"edison","2020-11-04T03:30:29Z",2020,11,4,3,30,29,1604489429,699410,55,0.628,0.346
"edison","2020-11-04T03:33:22Z",2020,11,4,3,33,22,1604489602,707768,56,0.627,0.347
"edison","2020-11-04T03:35:29Z",2020,11,4,3,35,29,1604489729,709007,56,0.627,0.347
"edison","2020-11-04T03:36:02Z",2020,11,4,3,36,2,1604489762,718409,57,0.629,0.345
"edison","2020-11-04T03:38:49Z",2020,11,4,3,38,49,1604489929,729232,57,0.631,0.343
"edison","2020-11-04T03:39:03Z",2020,11,4,3,39,3,1604489943,735794,58,0.632,0.342
"edison","2020-11-04T03:40:21Z",2020,11,4,3,40,21,1604490021,735894,58,0.632,0.342
"edison","2020-11-04T03:40:55Z",2020,11,4,3,40,55,1604490055,743250,59,0.633,0.34
"edison","2020-11-04T03:45:40Z",2020,11,4,3,45,40,1604490340,757357,60,0.633,0.341
"edison","2020-11-04T03:47:58Z",2020,11,4,3,47,58,1604490478,798536,63,0.634,0.339
"edison","2020-11-04T03:48:30Z",2020,11,4,3,48,30,1604490510,801876,63,0.634,0.339
"edison","2020-11-04T03:50:39Z",2020,11,4,3,50,39,1604490639,812457,64,0.636,0.337
"edison","2020-11-04T03:51:06Z",2020,11,4,3,51,6,1604490666,814149,64,0.636,0.337
"edison","2020-11-04T03:53:11Z",2020,11,4,3,53,11,1604490791,822060,65,0.637,0.336
"edison","2020-11-04T03:54:06Z",2020,11,4,3,54,6,1604490846,822082,65,0.637,0.336
"edison","2020-11-04T03:56:37Z",2020,11,4,3,56,37,1604490997,830219,65,0.638,0.335
"edison","2020-11-04T03:57:18Z",2020,11,4,3,57,18,1604491038,832112,66,0.639,0.335
"edison","2020-11-04T04:04:19Z",2020,11,4,4,4,19,1604491459,834581,66,0.639,0.335
"edison","2020-11-04T04:08:49Z",2020,11,4,4,8,49,1604491729,856147,67,0.643,0.331
"edison","2020-11-04T04:11:41Z",2020,11,4,4,11,41,1604491901,887590,70,0.647,0.326
"edison","2020-11-04T04:11:46Z",2020,11,4,4,11,46,1604491906,891055,70,0.648,0.325
"edison","2020-11-04T04:12:32Z",2020,11,4,4,12,32,1604491952,892644,70,0.648,0.325
"edison","2020-11-04T04:16:23Z",2020,11,4,4,16,23,1604492183,926583,73,0.648,0.325
"edison","2020-11-04T04:18:12Z",2020,11,4,4,18,12,1604492292,928801,73,0.648,0.324
"edison","2020-11-04T04:18:16Z",2020,11,4,4,18,16,1604492296,931801,73,0.65,0.323
"edison","2020-11-04T04:19:42Z",2020,11,4,4,19,42,1604492382,938855,74,0.648,0.325
"edison","2020-11-04T04:20:39Z",2020,11,4,4,20,39,1604492439,941267,74,0.648,0.324
"edison","2020-11-04T04:22:48Z",2020,11,4,4,22,48,1604492568,943486,74,0.649,0.324
"edison","2020-11-04T04:26:30Z",2020,11,4,4,26,30,1604492790,948688,75,0.649,0.323
"edison","2020-11-04T04:34:14Z",2020,11,4,4,34,14,1604493254,973718,77,0.642,0.33
"edison","2020-11-04T04:35:48Z",2020,11,4,4,35,48,1604493348,976367,77,0.642,0.33
"edison","2020-11-04T04:44:01Z",2020,11,4,4,44,1,1604493841,994022,78,0.637,0.336
"edison","2020-11-04T04:57:51Z",2020,11,4,4,57,51,1604494671,999879,79,0.638,0.335
"edison","2020-11-04T05:01:45Z",2020,11,4,5,1,45,1604494905,1003467,79,0.638,0.334
"edison","2020-11-04T05:04:06Z",2020,11,4,5,4,6,1604495046,1008923,79,0.637,0.335
"edison","2020-11-04T05:06:08Z",2020,11,4,5,6,8,1604495168,1009586,79,0.637,0.335
"edison","2020-11-04T05:07:23Z",2020,11,4,5,7,23,1604495243,1013230,80,0.637,0.335
"edison","2020-11-04T05:09:55Z",2020,11,4,5,9,55,1604495395,1013564,80,0.637,0.335
"edison","2020-11-04T05:12:11Z",2020,11,4,5,12,11,1604495531,1032303,81,0.636,0.336
"edison","2020-11-04T05:14:22Z",2020,11,4,5,14,22,1604495662,1050915,83,0.633,0.339
"edison","2020-11-04T05:21:19Z",2020,11,4,5,21,19,1604496079,1087494,86,0.637,0.335
"edison","2020-11-04T05:31:10Z",2020,11,4,5,31,10,1604496670,1180961,93,0.627,0.345
"edison","2020-11-04T05:37:13Z",2020,11,4,5,37,13,1604497033,1183783,93,0.627,0.345
"edison","2020-11-04T05:41:54Z",2020,11,4,5,41,54,1604497314,1184070,93,0.627,0.345
"edison","2020-11-04T05:48:28Z",2020,11,4,5,48,28,1604497708,1185056,93,0.626,0.345
"edison","2020-11-04T06:33:42Z",2020,11,4,6,33,42,1604500422,1197343,94,0.626,0.346
"edison","2020-11-04T06:37:41Z",2020,11,4,6,37,41,1604500661,1197356,94,0.626,0.346
"edison","2020-11-04T07:00:19Z",2020,11,4,7,0,19,1604502019,1198055,94,0.626,0.346
"edison","2020-11-04T14:36:42Z",2020,11,4,14,36,42,1604529402,1198076,94,0.626,0.346
"edison","2020-11-04T17:16:41Z",2020,11,4,17,16,41,1604539001,1198100,94,0.626,0.346
"edison","2020-11-04T18:51:43Z",2020,11,4,18,51,43,1604544703,1207223,95,0.627,0.345
"edison","2020-11-04T20:10:45Z",2020,11,4,20,10,45,1604549445,1207308,95,0.627,0.345
"edison","2020-11-04T20:18:41Z",2020,11,4,20,18,41,1604549921,1207484,95,0.627,0.345
"edison","2020-11-04T21:43:00Z",2020,11,4,21,43,0,1604554980,1207484,99,0.627,0.345
"edison","2020-11-04T22:26:42Z",2020,11,4,22,26,42,1604557602,1211482,99,0.627,0.344
"edison","2020-11-04T23:44:41Z",2020,11,4,23,44,41,1604562281,1213314,99,0.627,0.345
"edison","2020-11-05T16:02:43Z",2020,11,5,16,2,43,1604620963,1213460,99,0.627,0.345
