"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_cottont","vote_shares_harringtonr"
"edison","2020-11-04T07:02:40Z",2020,11,4,7,2,40,1604502160,0,0,0,0
"edison","2020-11-04T01:37:45Z",2020,11,4,1,37,45,1604482665,10797,1,0.797,0.203
"edison","2020-11-04T01:42:47Z",2020,11,4,1,42,47,1604482967,58226,5,0.736,0.264
"edison","2020-11-04T01:47:23Z",2020,11,4,1,47,23,1604483243,60215,5,0.734,0.266
"edison","2020-11-04T01:48:45Z",2020,11,4,1,48,45,1604483325,63600,5,0.734,0.266
"edison","2020-11-04T01:49:47Z",2020,11,4,1,49,47,1604483387,69004,5,0.738,0.262
"edison","2020-11-04T01:50:48Z",2020,11,4,1,50,48,1604483448,107433,8,0.72,0.28
"edison","2020-11-04T01:52:47Z",2020,11,4,1,52,47,1604483567,153038,12,0.7,0.3
"edison","2020-11-04T01:54:46Z",2020,11,4,1,54,46,1604483686,161418,13,0.707,0.293
"edison","2020-11-04T01:56:44Z",2020,11,4,1,56,44,1604483804,174091,14,0.714,0.286
"edison","2020-11-04T02:00:47Z",2020,11,4,2,0,47,1604484047,174465,14,0.713,0.287
"edison","2020-11-04T02:01:45Z",2020,11,4,2,1,45,1604484105,178467,14,0.714,0.286
"edison","2020-11-04T02:08:46Z",2020,11,4,2,8,46,1604484526,183907,14,0.715,0.285
"edison","2020-11-04T02:09:50Z",2020,11,4,2,9,50,1604484590,188863,15,0.718,0.282
"edison","2020-11-04T02:10:45Z",2020,11,4,2,10,45,1604484645,194268,15,0.719,0.281
"edison","2020-11-04T02:11:52Z",2020,11,4,2,11,52,1604484712,294736,23,0.692,0.308
"edison","2020-11-04T02:12:53Z",2020,11,4,2,12,53,1604484773,418003,33,0.608,0.392
"edison","2020-11-04T02:14:47Z",2020,11,4,2,14,47,1604484887,435138,34,0.615,0.385
"edison","2020-11-04T02:15:47Z",2020,11,4,2,15,47,1604484947,440869,35,0.617,0.383
"edison","2020-11-04T02:23:27Z",2020,11,4,2,23,27,1604485407,450599,35,0.618,0.382
"edison","2020-11-04T02:27:25Z",2020,11,4,2,27,25,1604485645,453333,36,0.619,0.381
"edison","2020-11-04T02:29:04Z",2020,11,4,2,29,4,1604485744,457333,36,0.62,0.38
"edison","2020-11-04T02:30:54Z",2020,11,4,2,30,54,1604485854,459298,36,0.62,0.38
"edison","2020-11-04T02:31:49Z",2020,11,4,2,31,49,1604485909,460975,36,0.621,0.379
"edison","2020-11-04T02:36:37Z",2020,11,4,2,36,37,1604486197,463520,36,0.621,0.379
"edison","2020-11-04T02:40:29Z",2020,11,4,2,40,29,1604486429,464483,37,0.62,0.38
"edison","2020-11-04T02:40:46Z",2020,11,4,2,40,46,1604486446,465558,37,0.62,0.38
"edison","2020-11-04T02:46:03Z",2020,11,4,2,46,3,1604486763,469452,37,0.622,0.378
"edison","2020-11-04T02:49:11Z",2020,11,4,2,49,11,1604486951,477080,38,0.625,0.375
"edison","2020-11-04T02:49:29Z",2020,11,4,2,49,29,1604486969,481764,38,0.627,0.373
"edison","2020-11-04T02:51:05Z",2020,11,4,2,51,5,1604487065,489922,39,0.63,0.37
"edison","2020-11-04T02:52:35Z",2020,11,4,2,52,35,1604487155,494047,39,0.632,0.368
"edison","2020-11-04T02:54:48Z",2020,11,4,2,54,48,1604487288,502220,40,0.635,0.365
"edison","2020-11-04T02:58:08Z",2020,11,4,2,58,8,1604487488,503265,40,0.635,0.365
"edison","2020-11-04T02:59:26Z",2020,11,4,2,59,26,1604487566,508946,40,0.637,0.363
"edison","2020-11-04T03:02:05Z",2020,11,4,3,2,5,1604487725,510690,40,0.638,0.362
"edison","2020-11-04T03:02:37Z",2020,11,4,3,2,37,1604487757,512691,40,0.638,0.362
"edison","2020-11-04T03:06:33Z",2020,11,4,3,6,33,1604487993,516826,41,0.64,0.36
"edison","2020-11-04T03:07:07Z",2020,11,4,3,7,7,1604488027,523892,41,0.642,0.358
"edison","2020-11-04T03:09:54Z",2020,11,4,3,9,54,1604488194,536219,42,0.645,0.355
"edison","2020-11-04T03:10:40Z",2020,11,4,3,10,40,1604488240,541292,43,0.647,0.353
"edison","2020-11-04T03:14:46Z",2020,11,4,3,14,46,1604488486,549679,43,0.65,0.35
