"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T04:11:07Z",2020,11,4,4,11,7,1604491867,5305,0,0.395,0.583
"edison","2020-11-04T04:13:01Z",2020,11,4,4,13,1,1604491981,231201,1,0.165,0.82
"edison","2020-11-04T04:13:33Z",2020,11,4,4,13,33,1604492013,331266,2,0.218,0.765
"edison","2020-11-04T04:16:17Z",2020,11,4,4,16,17,1604492177,642538,4,0.287,0.696
"edison","2020-11-04T04:17:37Z",2020,11,4,4,17,37,1604492257,1412427,9,0.344,0.638
"edison","2020-11-04T04:18:49Z",2020,11,4,4,18,49,1604492329,1412430,9,0.344,0.638
"edison","2020-11-04T04:22:42Z",2020,11,4,4,22,42,1604492562,1800603,11,0.324,0.658
"edison","2020-11-04T04:23:21Z",2020,11,4,4,23,21,1604492601,1800605,11,0.324,0.658
"edison","2020-11-04T04:23:50Z",2020,11,4,4,23,50,1604492630,2241957,14,0.299,0.683
"edison","2020-11-04T04:25:00Z",2020,11,4,4,25,0,1604492700,5848667,36,0.269,0.714
"edison","2020-11-04T04:26:07Z",2020,11,4,4,26,7,1604492767,6352519,39,0.264,0.719
"edison","2020-11-04T04:26:26Z",2020,11,4,4,26,26,1604492786,7365710,45,0.28,0.702
"edison","2020-11-04T04:27:33Z",2020,11,4,4,27,33,1604492853,7365786,45,0.28,0.702
"edison","2020-11-04T04:29:26Z",2020,11,4,4,29,26,1604492966,7365836,45,0.28,0.702
"edison","2020-11-04T04:31:22Z",2020,11,4,4,31,22,1604493082,7527288,46,0.283,0.699
"edison","2020-11-04T04:31:54Z",2020,11,4,4,31,54,1604493114,7527311,46,0.283,0.699
"edison","2020-11-04T04:33:41Z",2020,11,4,4,33,41,1604493221,7814144,48,0.281,0.702
"edison","2020-11-04T04:33:56Z",2020,11,4,4,33,56,1604493236,7815090,48,0.281,0.702
"edison","2020-11-04T04:37:06Z",2020,11,4,4,37,6,1604493426,7932880,49,0.282,0.7
"edison","2020-11-04T04:39:33Z",2020,11,4,4,39,33,1604493573,8315467,51,0.288,0.694
"edison","2020-11-04T04:40:48Z",2020,11,4,4,40,48,1604493648,8471564,52,0.29,0.692
"edison","2020-11-04T04:42:43Z",2020,11,4,4,42,43,1604493763,8471566,52,0.29,0.692
"edison","2020-11-04T04:44:44Z",2020,11,4,4,44,44,1604493884,8471656,52,0.29,0.692
"edison","2020-11-04T04:45:07Z",2020,11,4,4,45,7,1604493907,8584235,53,0.289,0.693
"edison","2020-11-04T04:47:41Z",2020,11,4,4,47,41,1604494061,8584247,53,0.289,0.693
"edison","2020-11-04T04:50:59Z",2020,11,4,4,50,59,1604494259,9436247,58,0.293,0.689
"edison","2020-11-04T04:51:08Z",2020,11,4,4,51,8,1604494268,9630411,59,0.297,0.685
"edison","2020-11-04T04:54:01Z",2020,11,4,4,54,1,1604494441,9691456,60,0.298,0.684
"edison","2020-11-04T04:56:05Z",2020,11,4,4,56,5,1604494565,9691585,60,0.298,0.684
"edison","2020-11-04T04:57:52Z",2020,11,4,4,57,52,1604494672,9783862,60,0.297,0.686
"edison","2020-11-04T05:00:50Z",2020,11,4,5,0,50,1604494850,9785519,60,0.297,0.686
"edison","2020-11-04T05:03:07Z",2020,11,4,5,3,7,1604494987,9801015,60,0.297,0.685
"edison","2020-11-04T05:09:19Z",2020,11,4,5,9,19,1604495359,9808310,60,0.297,0.685
"edison","2020-11-04T05:18:47Z",2020,11,4,5,18,47,1604495927,9862796,61,0.297,0.685
"edison","2020-11-04T05:21:28Z",2020,11,4,5,21,28,1604496088,9862819,61,0.297,0.685
"edison","2020-11-04T05:25:28Z",2020,11,4,5,25,28,1604496328,9882281,61,0.298,0.685
"edison","2020-11-04T05:25:50Z",2020,11,4,5,25,50,1604496350,9882317,61,0.298,0.685
"edison","2020-11-04T05:28:48Z",2020,11,4,5,28,48,1604496528,9919692,61,0.298,0.684
"edison","2020-11-04T05:30:22Z",2020,11,4,5,30,22,1604496622,9919803,61,0.298,0.684
"edison","2020-11-04T05:30:54Z",2020,11,4,5,30,54,1604496654,9919837,61,0.298,0.684
"edison","2020-11-04T05:31:37Z",2020,11,4,5,31,37,1604496697,9943479,61,0.299,0.683
"edison","2020-11-04T05:32:16Z",2020,11,4,5,32,16,1604496736,10072480,62,0.301,0.681
