"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T02:09:20Z",2020,11,4,2,9,20,1604484560,366048,11,0.27,0.713
"edison","2020-11-04T02:11:09Z",2020,11,4,2,11,9,1604484669,371654,11,0.271,0.711
"edison","2020-11-04T02:12:59Z",2020,11,4,2,12,59,1604484779,465025,14,0.311,0.671
"edison","2020-11-04T02:17:28Z",2020,11,4,2,17,28,1604485048,480454,15,0.311,0.67
"edison","2020-11-04T02:18:07Z",2020,11,4,2,18,7,1604485087,785490,24,0.328,0.652
"edison","2020-11-04T02:18:14Z",2020,11,4,2,18,14,1604485094,1025680,31,0.375,0.605
"edison","2020-11-04T02:20:35Z",2020,11,4,2,20,35,1604485235,1054882,32,0.377,0.603
"edison","2020-11-04T02:22:05Z",2020,11,4,2,22,5,1604485325,1065224,32,0.379,0.6
"edison","2020-11-04T02:27:32Z",2020,11,4,2,27,32,1604485652,1113080,34,0.376,0.604
"edison","2020-11-04T02:31:49Z",2020,11,4,2,31,49,1604485909,1143322,35,0.383,0.597
"edison","2020-11-04T02:32:08Z",2020,11,4,2,32,8,1604485928,1491619,45,0.383,0.595
"edison","2020-11-04T02:34:25Z",2020,11,4,2,34,25,1604486065,1507385,46,0.386,0.592
"edison","2020-11-04T02:34:33Z",2020,11,4,2,34,33,1604486073,1533734,47,0.386,0.593
"edison","2020-11-04T02:34:54Z",2020,11,4,2,34,54,1604486094,1842843,56,0.406,0.572
"edison","2020-11-04T02:35:53Z",2020,11,4,2,35,53,1604486153,2065128,63,0.405,0.572
"edison","2020-11-04T02:38:20Z",2020,11,4,2,38,20,1604486300,2090420,64,0.408,0.569
"edison","2020-11-04T02:40:42Z",2020,11,4,2,40,42,1604486442,2217396,68,0.393,0.584
"edison","2020-11-04T02:41:12Z",2020,11,4,2,41,12,1604486472,2231984,68,0.394,0.584
"edison","2020-11-04T02:42:37Z",2020,11,4,2,42,37,1604486557,2303151,70,0.4,0.577
"edison","2020-11-04T02:46:02Z",2020,11,4,2,46,2,1604486762,2343344,71,0.401,0.577
"edison","2020-11-04T02:49:20Z",2020,11,4,2,49,20,1604486960,2351546,72,0.401,0.576
"edison","2020-11-04T02:50:04Z",2020,11,4,2,50,4,1604487004,2360476,72,0.403,0.575
"edison","2020-11-04T02:50:27Z",2020,11,4,2,50,27,1604487027,2365130,72,0.404,0.574
"edison","2020-11-04T02:52:23Z",2020,11,4,2,52,23,1604487143,2369034,72,0.404,0.574
"edison","2020-11-04T03:00:09Z",2020,11,4,3,0,9,1604487609,2573457,78,0.403,0.574
"edison","2020-11-04T03:02:45Z",2020,11,4,3,2,45,1604487765,2574359,78,0.403,0.574
"edison","2020-11-04T03:05:05Z",2020,11,4,3,5,5,1604487905,2575866,79,0.403,0.574
"edison","2020-11-04T03:07:16Z",2020,11,4,3,7,16,1604488036,2579008,79,0.404,0.574
"edison","2020-11-04T03:08:31Z",2020,11,4,3,8,31,1604488111,2583397,79,0.404,0.573
"edison","2020-11-04T03:13:21Z",2020,11,4,3,13,21,1604488401,2584151,79,0.404,0.573
"edison","2020-11-04T03:14:02Z",2020,11,4,3,14,2,1604488442,2592492,79,0.404,0.573
"edison","2020-11-04T03:27:18Z",2020,11,4,3,27,18,1604489238,2604443,79,0.406,0.571
"edison","2020-11-04T03:29:18Z",2020,11,4,3,29,18,1604489358,2604504,79,0.406,0.571
"edison","2020-11-04T03:37:56Z",2020,11,4,3,37,56,1604489876,2618442,80,0.406,0.571
"edison","2020-11-04T03:41:08Z",2020,11,4,3,41,8,1604490068,2618561,80,0.406,0.571
"edison","2020-11-04T03:44:43Z",2020,11,4,3,44,43,1604490283,2630166,80,0.407,0.57
"edison","2020-11-04T03:46:57Z",2020,11,4,3,46,57,1604490417,2716506,83,0.412,0.565
"edison","2020-11-04T03:55:36Z",2020,11,4,3,55,36,1604490936,2716750,83,0.412,0.565
"edison","2020-11-04T03:56:19Z",2020,11,4,3,56,19,1604490979,2721090,83,0.412,0.565
"edison","2020-11-04T04:01:48Z",2020,11,4,4,1,48,1604491308,2721111,83,0.412,0.565
"edison","2020-11-04T04:04:34Z",2020,11,4,4,4,34,1604491474,2721765,83,0.412,0.565
"edison","2020-11-04T04:05:36Z",2020,11,4,4,5,36,1604491536,2772820,85,0.411,0.566
"edison","2020-11-04T04:06:24Z",2020,11,4,4,6,24,1604491584,2774090,85,0.411,0.566
"edison","2020-11-04T04:12:15Z",2020,11,4,4,12,15,1604491935,2781733,85,0.411,0.566
"edison","2020-11-04T04:12:56Z",2020,11,4,4,12,56,1604491976,2781734,85,0.411,0.566
"edison","2020-11-04T04:14:34Z",2020,11,4,4,14,34,1604492074,2787572,85,0.411,0.566
"edison","2020-11-04T04:20:22Z",2020,11,4,4,20,22,1604492422,2792909,85,0.412,0.565
"edison","2020-11-04T04:26:17Z",2020,11,4,4,26,17,1604492777,2796550,85,0.412,0.565
"edison","2020-11-04T04:31:25Z",2020,11,4,4,31,25,1604493085,2796669,85,0.412,0.565
"edison","2020-11-04T04:38:42Z",2020,11,4,4,38,42,1604493522,2800876,85,0.412,0.564
"edison","2020-11-04T04:43:59Z",2020,11,4,4,43,59,1604493839,2801564,85,0.412,0.564
"edison","2020-11-04T04:49:06Z",2020,11,4,4,49,6,1604494146,2805923,86,0.413,0.564
"edison","2020-11-04T05:00:25Z",2020,11,4,5,0,25,1604494825,2807699,86,0.413,0.564
"edison","2020-11-04T05:09:28Z",2020,11,4,5,9,28,1604495368,2807919,86,0.413,0.564
"edison","2020-11-04T05:10:23Z",2020,11,4,5,10,23,1604495423,2818673,86,0.413,0.564
"edison","2020-11-04T05:11:56Z",2020,11,4,5,11,56,1604495516,2825473,86,0.413,0.563
"edison","2020-11-04T05:16:57Z",2020,11,4,5,16,57,1604495817,2828128,86,0.413,0.563
"edison","2020-11-04T05:17:45Z",2020,11,4,5,17,45,1604495865,2829798,86,0.413,0.563
"edison","2020-11-04T05:30:25Z",2020,11,4,5,30,25,1604496625,2832591,86,0.414,0.563
"edison","2020-11-04T05:32:58Z",2020,11,4,5,32,58,1604496778,2833788,86,0.414,0.563
"edison","2020-11-04T05:37:30Z",2020,11,4,5,37,30,1604497050,2835705,86,0.414,0.563
"edison","2020-11-04T05:44:21Z",2020,11,4,5,44,21,1604497461,2839938,87,0.414,0.562
"edison","2020-11-04T05:47:56Z",2020,11,4,5,47,56,1604497676,2840622,87,0.414,0.562
