"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_gardnerc","vote_shares_hickenlooperj"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T02:10:49Z",2020,11,4,2,10,49,1604484649,5549,0,0.416,0.563
"edison","2020-11-04T02:11:38Z",2020,11,4,2,11,38,1604484698,279696,9,0.178,0.809
"edison","2020-11-04T02:12:58Z",2020,11,4,2,12,58,1604484778,372351,11,0.251,0.733
"edison","2020-11-04T02:18:59Z",2020,11,4,2,18,59,1604485139,932176,28,0.376,0.606
"edison","2020-11-04T02:20:34Z",2020,11,4,2,20,34,1604485234,936048,29,0.377,0.606
"edison","2020-11-04T02:22:03Z",2020,11,4,2,22,3,1604485323,971503,30,0.381,0.601
"edison","2020-11-04T02:27:30Z",2020,11,4,2,27,30,1604485650,980400,30,0.38,0.603
"edison","2020-11-04T02:30:15Z",2020,11,4,2,30,15,1604485815,1060111,32,0.399,0.583
"edison","2020-11-04T02:31:05Z",2020,11,4,2,31,5,1604485865,1077014,33,0.404,0.578
"edison","2020-11-04T02:31:49Z",2020,11,4,2,31,49,1604485909,1090302,33,0.406,0.576
"edison","2020-11-04T02:32:26Z",2020,11,4,2,32,26,1604485946,1438674,44,0.407,0.575
"edison","2020-11-04T02:34:25Z",2020,11,4,2,34,25,1604486065,1742764,53,0.432,0.548
"edison","2020-11-04T02:34:54Z",2020,11,4,2,34,54,1604486094,1785164,54,0.432,0.549
"edison","2020-11-04T02:35:50Z",2020,11,4,2,35,50,1604486150,2006834,61,0.43,0.55
"edison","2020-11-04T02:37:16Z",2020,11,4,2,37,16,1604486236,2032880,62,0.429,0.551
"edison","2020-11-04T02:38:19Z",2020,11,4,2,38,19,1604486299,2085418,64,0.431,0.549
"edison","2020-11-04T02:41:12Z",2020,11,4,2,41,12,1604486472,2099851,64,0.432,0.548
"edison","2020-11-04T02:42:35Z",2020,11,4,2,42,35,1604486555,2170676,66,0.438,0.542
"edison","2020-11-04T02:46:01Z",2020,11,4,2,46,1,1604486761,2210683,67,0.438,0.542
"edison","2020-11-04T02:50:08Z",2020,11,4,2,50,8,1604487008,2218714,68,0.439,0.541
"edison","2020-11-04T02:50:27Z",2020,11,4,2,50,27,1604487027,2232227,68,0.441,0.539
"edison","2020-11-04T02:52:23Z",2020,11,4,2,52,23,1604487143,2236124,68,0.441,0.539
