"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T02:24:57Z",2020,11,4,2,24,57,1604485497,15919,5,0.036,0.944
"edison","2020-11-04T02:26:04Z",2020,11,4,2,26,4,1604485564,31190,9,0.059,0.919
"edison","2020-11-04T10:29:33Z",2020,11,4,10,29,33,1604514573,41790,12,0.055,0.923
"edison","2020-11-04T10:31:14Z",2020,11,4,10,31,14,1604514674,50027,14,0.064,0.915
"edison","2020-11-04T10:32:33Z",2020,11,4,10,32,33,1604514753,81889,23,0.072,0.906
"edison","2020-11-04T10:34:09Z",2020,11,4,10,34,9,1604514849,112261,32,0.064,0.915
"edison","2020-11-04T10:35:57Z",2020,11,4,10,35,57,1604514957,142252,41,0.059,0.921
"edison","2020-11-04T10:39:18Z",2020,11,4,10,39,18,1604515158,181744,52,0.062,0.916
"edison","2020-11-04T10:40:16Z",2020,11,4,10,40,16,1604515216,207574,59,0.058,0.92
"edison","2020-11-04T10:43:18Z",2020,11,4,10,43,18,1604515398,230538,66,0.056,0.922
"edison","2020-11-05T13:24:46Z",2020,11,5,13,24,46,1604611486,235279,67,0.055,0.923
"edison","2020-11-05T13:26:08Z",2020,11,5,13,26,8,1604611568,239030,68,0.055,0.923
"edison","2020-11-05T13:28:07Z",2020,11,5,13,28,7,1604611687,244545,70,0.055,0.923
"edison","2020-11-05T13:29:00Z",2020,11,5,13,29,0,1604611740,251396,72,0.054,0.924
"edison","2020-11-05T13:29:57Z",2020,11,5,13,29,57,1604611797,260183,74,0.053,0.925
"edison","2020-11-05T13:31:20Z",2020,11,5,13,31,20,1604611880,270085,77,0.053,0.925
"edison","2020-11-05T13:32:09Z",2020,11,5,13,32,9,1604611929,276078,79,0.052,0.926
"edison","2020-11-05T13:34:07Z",2020,11,5,13,34,7,1604612047,279152,80,0.052,0.926
"edison","2020-11-09T18:18:23Z",2020,11,9,18,18,23,1604974703,281504,80,0.052,0.926
"edison","2020-11-09T18:19:10Z",2020,11,9,18,19,10,1604974750,282631,81,0.052,0.926
"edison","2020-11-09T18:19:58Z",2020,11,9,18,19,58,1604974798,284646,81,0.052,0.926
"edison","2020-11-09T18:21:20Z",2020,11,9,18,21,20,1604974880,286680,82,0.052,0.926
"edison","2020-11-09T18:22:17Z",2020,11,9,18,22,17,1604974937,287534,82,0.052,0.926
"edison","2020-11-09T18:23:18Z",2020,11,9,18,23,18,1604974998,288636,82,0.052,0.926
"edison","2020-11-09T18:24:04Z",2020,11,9,18,24,4,1604975044,289409,83,0.052,0.926
"edison","2020-11-09T18:24:46Z",2020,11,9,18,24,46,1604975086,290171,83,0.052,0.926
"edison","2020-11-11T03:13:34Z",2020,11,11,3,13,34,1605093214,294321,84,0.052,0.925
"edison","2020-11-11T03:17:16Z",2020,11,11,3,17,16,1605093436,295317,84,0.052,0.925
"edison","2020-11-11T03:18:41Z",2020,11,11,3,18,41,1605093521,295981,85,0.052,0.925
"edison","2020-11-11T03:19:36Z",2020,11,11,3,19,36,1605093576,296926,85,0.052,0.925
"edison","2020-11-11T03:20:18Z",2020,11,11,3,20,18,1605093618,299119,85,0.052,0.925
"edison","2020-11-11T03:22:26Z",2020,11,11,3,22,26,1605093746,303573,87,0.053,0.924
"edison","2020-11-11T03:23:11Z",2020,11,11,3,23,11,1605093791,305922,87,0.053,0.924
"edison","2020-11-11T03:24:24Z",2020,11,11,3,24,24,1605093864,309190,88,0.053,0.924
"edison","2020-11-14T16:33:58Z",2020,11,14,16,33,58,1605400438,317738,91,0.054,0.922
"edison","2020-11-14T16:35:19Z",2020,11,14,16,35,19,1605400519,325248,93,0.054,0.922
"edison","2020-11-14T16:37:52Z",2020,11,14,16,37,52,1605400672,333682,95,0.054,0.921
"ap","2020-11-17T01:02:21.217Z",NA,NA,NA,NA,NA,NA,NA,330599,99,0.055,0.929
"edison","2020-11-18T17:17:14Z",2020,11,18,17,17,14,1605748634,333682,95,0.054,0.921
"edison","2020-11-24T13:16:06Z",2020,11,24,13,16,6,1606252566,334732,96,0.054,0.921
"edison","2020-11-24T13:18:17Z",2020,11,24,13,18,17,1606252697,337662,96,0.054,0.921
"edison","2020-11-24T13:20:20Z",2020,11,24,13,20,20,1606252820,343744,98,0.054,0.921
"edison","2020-11-24T13:21:03Z",2020,11,24,13,21,3,1606252863,344356,98,0.054,0.921
"edison","2020-12-03T03:00:53Z",2020,12,3,3,0,53,1606993253,344356,100,0.054,0.921
