"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:23:03Z",2020,11,4,9,23,3,1604510583,0,0,0,0
"edison","2020-11-04T00:14:11Z",2020,11,4,0,14,11,1604477651,408,0,0.674,0.326
"edison","2020-11-04T00:15:51Z",2020,11,4,0,15,51,1604477751,127106,2,0.37,0.618
"edison","2020-11-04T00:19:55Z",2020,11,4,0,19,55,1604477995,173638,3,0.431,0.557
"edison","2020-11-04T00:21:57Z",2020,11,4,0,21,57,1604478117,174006,3,0.432,0.557
"edison","2020-11-04T00:22:23Z",2020,11,4,0,22,23,1604478143,174448,3,0.433,0.556
"edison","2020-11-04T00:22:53Z",2020,11,4,0,22,53,1604478173,175150,3,0.434,0.555
"edison","2020-11-04T00:23:58Z",2020,11,4,0,23,58,1604478238,175264,3,0.434,0.555
"edison","2020-11-04T00:24:14Z",2020,11,4,0,24,14,1604478254,175564,3,0.435,0.554
"edison","2020-11-04T00:24:49Z",2020,11,4,0,24,49,1604478289,176131,3,0.435,0.554
"edison","2020-11-04T00:25:55Z",2020,11,4,0,25,55,1604478355,200351,4,0.442,0.547
"edison","2020-11-04T00:28:08Z",2020,11,4,0,28,8,1604478488,213213,4,0.456,0.533
"edison","2020-11-04T00:29:54Z",2020,11,4,0,29,54,1604478594,215268,4,0.458,0.531
"edison","2020-11-04T00:30:54Z",2020,11,4,0,30,54,1604478654,215927,4,0.458,0.531
"edison","2020-11-04T00:31:47Z",2020,11,4,0,31,47,1604478707,216354,4,0.458,0.531
"edison","2020-11-04T00:31:54Z",2020,11,4,0,31,54,1604478714,217327,4,0.458,0.532
"edison","2020-11-04T00:32:53Z",2020,11,4,0,32,53,1604478773,220869,4,0.464,0.526
"edison","2020-11-04T00:34:05Z",2020,11,4,0,34,5,1604478845,221921,4,0.464,0.526
"edison","2020-11-04T00:36:20Z",2020,11,4,0,36,20,1604478980,225197,4,0.47,0.52
"edison","2020-11-04T00:36:53Z",2020,11,4,0,36,53,1604479013,242777,5,0.486,0.504
"edison","2020-11-04T00:38:52Z",2020,11,4,0,38,52,1604479132,244354,5,0.488,0.502
"edison","2020-11-04T00:39:56Z",2020,11,4,0,39,56,1604479196,246674,5,0.491,0.499
"edison","2020-11-04T00:40:53Z",2020,11,4,0,40,53,1604479253,258621,5,0.503,0.488
"edison","2020-11-04T00:42:34Z",2020,11,4,0,42,34,1604479354,267419,5,0.511,0.479
"edison","2020-11-04T00:43:54Z",2020,11,4,0,43,54,1604479434,271345,5,0.513,0.477
"edison","2020-11-04T00:44:40Z",2020,11,4,0,44,40,1604479480,271584,5,0.513,0.478
"edison","2020-11-04T00:45:11Z",2020,11,4,0,45,11,1604479511,272419,5,0.513,0.477
"edison","2020-11-04T00:45:53Z",2020,11,4,0,45,53,1604479553,281914,5,0.524,0.466
"edison","2020-11-04T00:47:05Z",2020,11,4,0,47,5,1604479625,283301,5,0.524,0.467
"edison","2020-11-04T00:47:52Z",2020,11,4,0,47,52,1604479672,283359,5,0.524,0.466
"edison","2020-11-04T00:48:54Z",2020,11,4,0,48,54,1604479734,316754,6,0.512,0.479
"edison","2020-11-04T00:49:02Z",2020,11,4,0,49,2,1604479742,321460,6,0.512,0.478
"edison","2020-11-04T00:49:56Z",2020,11,4,0,49,56,1604479796,350279,7,0.508,0.482
"edison","2020-11-04T00:50:56Z",2020,11,4,0,50,56,1604479856,350408,7,0.508,0.482
"edison","2020-11-04T00:51:53Z",2020,11,4,0,51,53,1604479913,353296,7,0.51,0.48
"edison","2020-11-04T00:53:56Z",2020,11,4,0,53,56,1604480036,392153,7,0.523,0.467
"edison","2020-11-04T00:54:59Z",2020,11,4,0,54,59,1604480099,424293,8,0.534,0.455
"edison","2020-11-04T00:56:52Z",2020,11,4,0,56,52,1604480212,424812,8,0.534,0.455
"edison","2020-11-04T00:57:18Z",2020,11,4,0,57,18,1604480238,424815,8,0.534,0.455
"edison","2020-11-04T00:57:52Z",2020,11,4,0,57,52,1604480272,424929,8,0.535,0.455
"edison","2020-11-04T00:58:52Z",2020,11,4,0,58,52,1604480332,430471,8,0.538,0.452
"edison","2020-11-04T00:59:38Z",2020,11,4,0,59,38,1604480378,503994,10,0.487,0.503
"edison","2020-11-04T00:59:54Z",2020,11,4,0,59,54,1604480394,510533,10,0.49,0.5
"edison","2020-11-04T01:03:53Z",2020,11,4,1,3,53,1604480633,510673,10,0.49,0.5
