"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_ossoffj","vote_shares_perdued"
"edison","2020-11-04T09:55:04Z",2020,11,4,9,55,4,1604512504,0,0,0,0
"edison","2020-11-04T00:14:33Z",2020,11,4,0,14,33,1604477673,418,0,0.313,0.648
"edison","2020-11-04T00:15:45Z",2020,11,4,0,15,45,1604477745,124276,2,0.586,0.394
"edison","2020-11-04T00:19:56Z",2020,11,4,0,19,56,1604477996,170096,3,0.529,0.452
"edison","2020-11-04T00:22:28Z",2020,11,4,0,22,28,1604478148,170474,3,0.529,0.452
"edison","2020-11-04T00:22:49Z",2020,11,4,0,22,49,1604478169,170921,3,0.528,0.453
"edison","2020-11-04T00:23:27Z",2020,11,4,0,23,27,1604478207,171638,3,0.527,0.454
"edison","2020-11-04T00:24:39Z",2020,11,4,0,24,39,1604478279,172062,3,0.526,0.455
"edison","2020-11-04T00:25:07Z",2020,11,4,0,25,7,1604478307,172647,3,0.526,0.454
"edison","2020-11-04T00:25:55Z",2020,11,4,0,25,55,1604478355,196360,4,0.521,0.46
"edison","2020-11-04T00:28:39Z",2020,11,4,0,28,39,1604478519,209088,4,0.508,0.473
"edison","2020-11-04T00:29:54Z",2020,11,4,0,29,54,1604478594,211056,4,0.506,0.475
"edison","2020-11-04T00:30:54Z",2020,11,4,0,30,54,1604478654,211693,4,0.506,0.475
"edison","2020-11-04T00:32:08Z",2020,11,4,0,32,8,1604478728,213085,4,0.506,0.474
"edison","2020-11-04T00:32:53Z",2020,11,4,0,32,53,1604478773,216577,4,0.501,0.479
"edison","2020-11-04T00:36:53Z",2020,11,4,0,36,53,1604479013,234016,4,0.485,0.496
"edison","2020-11-04T00:37:02Z",2020,11,4,0,37,2,1604479022,237256,4,0.481,0.5
"edison","2020-11-04T00:38:52Z",2020,11,4,0,38,52,1604479132,237558,4,0.481,0.5
"edison","2020-11-04T00:39:56Z",2020,11,4,0,39,56,1604479196,241142,5,0.476,0.505
"edison","2020-11-04T00:40:53Z",2020,11,4,0,40,53,1604479253,252980,5,0.465,0.516
"edison","2020-11-04T00:43:12Z",2020,11,4,0,43,12,1604479392,261747,5,0.457,0.524
"edison","2020-11-04T00:43:54Z",2020,11,4,0,43,54,1604479434,265617,5,0.455,0.526
"edison","2020-11-04T00:45:09Z",2020,11,4,0,45,9,1604479509,265861,5,0.455,0.526
"edison","2020-11-04T00:45:53Z",2020,11,4,0,45,53,1604479553,275246,5,0.445,0.536
"edison","2020-11-04T00:47:27Z",2020,11,4,0,47,27,1604479647,276577,5,0.445,0.536
"edison","2020-11-04T00:47:52Z",2020,11,4,0,47,52,1604479672,276634,5,0.445,0.536
"edison","2020-11-04T00:48:58Z",2020,11,4,0,48,58,1604479738,309131,6,0.458,0.524
"edison","2020-11-04T00:49:34Z",2020,11,4,0,49,34,1604479774,313575,6,0.457,0.524
"edison","2020-11-04T00:49:56Z",2020,11,4,0,49,56,1604479796,341818,6,0.46,0.52
"edison","2020-11-04T00:50:56Z",2020,11,4,0,50,56,1604479856,341947,6,0.46,0.52
"edison","2020-11-04T00:51:53Z",2020,11,4,0,51,53,1604479913,344813,7,0.458,0.522
"edison","2020-11-04T00:53:56Z",2020,11,4,0,53,56,1604480036,383371,7,0.445,0.535
"edison","2020-11-04T00:54:55Z",2020,11,4,0,54,55,1604480095,410226,8,0.436,0.544
"edison","2020-11-04T00:55:51Z",2020,11,4,0,55,51,1604480151,421716,8,0.433,0.548
"edison","2020-11-04T00:56:52Z",2020,11,4,0,56,52,1604480212,422230,8,0.432,0.548
"edison","2020-11-04T00:57:52Z",2020,11,4,0,57,52,1604480272,422345,8,0.432,0.549
"edison","2020-11-04T00:58:52Z",2020,11,4,0,58,52,1604480332,427818,8,0.429,0.552
"edison","2020-11-04T00:59:54Z",2020,11,4,0,59,54,1604480394,435330,8,0.427,0.554
"edison","2020-11-04T01:00:05Z",2020,11,4,1,0,5,1604480405,506881,10,0.475,0.507
"edison","2020-11-04T01:03:53Z",2020,11,4,1,3,53,1604480633,507022,10,0.474,0.507
"edison","2020-11-04T01:04:55Z",2020,11,4,1,4,55,1604480695,515888,10,0.47,0.511
"edison","2020-11-04T01:05:56Z",2020,11,4,1,5,56,1604480756,530487,10,0.463,0.518
"edison","2020-11-04T01:07:02Z",2020,11,4,1,7,2,1604480822,564008,11,0.451,0.531
"edison","2020-11-04T01:10:54Z",2020,11,4,1,10,54,1604481054,574970,11,0.447,0.534
"edison","2020-11-04T01:11:56Z",2020,11,4,1,11,56,1604481116,642834,12,0.456,0.525
"edison","2020-11-04T01:12:56Z",2020,11,4,1,12,56,1604481176,660626,12,0.448,0.534
"edison","2020-11-04T01:13:56Z",2020,11,4,1,13,56,1604481236,774096,15,0.425,0.555
"edison","2020-11-04T01:14:54Z",2020,11,4,1,14,54,1604481294,774562,15,0.425,0.555
"edison","2020-11-04T01:15:55Z",2020,11,4,1,15,55,1604481355,775990,15,0.425,0.555
"edison","2020-11-04T01:17:02Z",2020,11,4,1,17,2,1604481422,803876,15,0.424,0.557
"edison","2020-11-04T01:17:56Z",2020,11,4,1,17,56,1604481476,834462,16,0.416,0.564
"edison","2020-11-04T01:18:55Z",2020,11,4,1,18,55,1604481535,835797,16,0.416,0.565
"edison","2020-11-04T01:19:54Z",2020,11,4,1,19,54,1604481594,842935,16,0.416,0.564
"edison","2020-11-04T01:20:54Z",2020,11,4,1,20,54,1604481654,856841,16,0.412,0.568
"edison","2020-11-04T01:21:57Z",2020,11,4,1,21,57,1604481717,875634,17,0.409,0.571
"edison","2020-11-04T01:23:01Z",2020,11,4,1,23,1,1604481781,889004,17,0.411,0.569
"edison","2020-11-04T01:23:56Z",2020,11,4,1,23,56,1604481836,908184,17,0.406,0.574
"edison","2020-11-04T01:24:58Z",2020,11,4,1,24,58,1604481898,921523,17,0.404,0.576
"edison","2020-11-04T01:25:53Z",2020,11,4,1,25,53,1604481953,922289,17,0.404,0.576
"edison","2020-11-04T01:26:57Z",2020,11,4,1,26,57,1604482017,934157,18,0.403,0.577
"edison","2020-11-04T01:27:55Z",2020,11,4,1,27,55,1604482075,936406,18,0.402,0.578
"edison","2020-11-04T01:29:03Z",2020,11,4,1,29,3,1604482143,947986,18,0.401,0.579
"edison","2020-11-04T01:29:53Z",2020,11,4,1,29,53,1604482193,1060688,20,0.409,0.571
"edison","2020-11-04T01:30:17Z",2020,11,4,1,30,17,1604482217,1060693,20,0.409,0.571
"edison","2020-11-04T01:30:57Z",2020,11,4,1,30,57,1604482257,1144647,22,0.411,0.569
"edison","2020-11-04T01:31:56Z",2020,11,4,1,31,56,1604482316,1145171,22,0.411,0.569
"edison","2020-11-04T01:32:58Z",2020,11,4,1,32,58,1604482378,1182934,22,0.415,0.565
"edison","2020-11-04T01:33:55Z",2020,11,4,1,33,55,1604482435,1191148,22,0.415,0.566
"edison","2020-11-04T01:35:04Z",2020,11,4,1,35,4,1604482504,1192323,22,0.414,0.566
"edison","2020-11-04T01:35:55Z",2020,11,4,1,35,55,1604482555,1209037,23,0.411,0.569
"edison","2020-11-04T01:36:54Z",2020,11,4,1,36,54,1604482614,1209989,23,0.411,0.569
"edison","2020-11-04T01:37:57Z",2020,11,4,1,37,57,1604482677,1213446,23,0.411,0.569
"edison","2020-11-04T01:39:55Z",2020,11,4,1,39,55,1604482795,1223350,23,0.41,0.57
"edison","2020-11-04T01:40:30Z",2020,11,4,1,40,30,1604482830,1223364,23,0.41,0.57
"edison","2020-11-04T01:40:41Z",2020,11,4,1,40,41,1604482841,1223365,23,0.41,0.57
"edison","2020-11-04T01:40:53Z",2020,11,4,1,40,53,1604482853,1236545,23,0.407,0.573
"edison","2020-11-04T01:41:36Z",2020,11,4,1,41,36,1604482896,1236551,23,0.407,0.573
"edison","2020-11-04T01:42:00Z",2020,11,4,1,42,0,1604482920,1250859,24,0.405,0.575
"edison","2020-11-04T01:42:56Z",2020,11,4,1,42,56,1604482976,1305026,25,0.414,0.566
"edison","2020-11-04T01:43:55Z",2020,11,4,1,43,55,1604483035,1309605,25,0.413,0.567
"edison","2020-11-04T01:45:19Z",2020,11,4,1,45,19,1604483119,1309622,25,0.413,0.567
"edison","2020-11-04T01:47:05Z",2020,11,4,1,47,5,1604483225,1351469,25,0.418,0.562
"edison","2020-11-04T01:47:56Z",2020,11,4,1,47,56,1604483276,1377476,26,0.415,0.565
"edison","2020-11-04T01:49:55Z",2020,11,4,1,49,55,1604483395,1395659,26,0.415,0.565
"edison","2020-11-04T01:50:30Z",2020,11,4,1,50,30,1604483430,1398061,26,0.414,0.566
"edison","2020-11-04T01:51:21Z",2020,11,4,1,51,21,1604483481,1461026,28,0.416,0.564
"edison","2020-11-04T01:51:59Z",2020,11,4,1,51,59,1604483519,1484647,28,0.415,0.565
"edison","2020-11-04T01:52:58Z",2020,11,4,1,52,58,1604483578,1494096,28,0.414,0.566
"edison","2020-11-04T01:53:55Z",2020,11,4,1,53,55,1604483635,1548761,29,0.407,0.573
"edison","2020-11-04T01:54:55Z",2020,11,4,1,54,55,1604483695,1565355,30,0.405,0.575
"edison","2020-11-04T01:55:23Z",2020,11,4,1,55,23,1604483723,1567433,30,0.405,0.575
"edison","2020-11-04T01:55:57Z",2020,11,4,1,55,57,1604483757,1567732,30,0.405,0.575
"edison","2020-11-04T01:57:00Z",2020,11,4,1,57,0,1604483820,1569104,30,0.405,0.575
"edison","2020-11-04T01:57:42Z",2020,11,4,1,57,42,1604483862,1574115,30,0.404,0.576
"edison","2020-11-04T01:57:53Z",2020,11,4,1,57,53,1604483873,1575030,30,0.404,0.576
"edison","2020-11-04T01:58:53Z",2020,11,4,1,58,53,1604483933,1588970,30,0.404,0.575
"edison","2020-11-04T01:59:04Z",2020,11,4,1,59,4,1604483944,1596385,30,0.403,0.577
"edison","2020-11-04T01:59:54Z",2020,11,4,1,59,54,1604483994,1603652,30,0.402,0.578
"edison","2020-11-04T02:00:33Z",2020,11,4,2,0,33,1604484033,1603662,30,0.402,0.578
"edison","2020-11-04T02:01:01Z",2020,11,4,2,1,1,1604484061,1605531,30,0.402,0.578
"edison","2020-11-04T02:01:57Z",2020,11,4,2,1,57,1604484117,1609771,30,0.402,0.578
"edison","2020-11-04T02:02:55Z",2020,11,4,2,2,55,1604484175,1610172,30,0.402,0.578
"edison","2020-11-04T02:03:57Z",2020,11,4,2,3,57,1604484237,1613699,30,0.401,0.578
"edison","2020-11-04T02:04:55Z",2020,11,4,2,4,55,1604484295,1638058,31,0.399,0.58
"edison","2020-11-04T02:04:59Z",2020,11,4,2,4,59,1604484299,1642159,31,0.398,0.581
"edison","2020-11-04T02:05:59Z",2020,11,4,2,5,59,1604484359,1663117,31,0.398,0.581
"edison","2020-11-04T02:06:39Z",2020,11,4,2,6,39,1604484399,1663646,31,0.398,0.581
"edison","2020-11-04T02:07:00Z",2020,11,4,2,7,0,1604484420,1680228,32,0.397,0.582
"edison","2020-11-04T02:07:54Z",2020,11,4,2,7,54,1604484474,1685094,32,0.397,0.582
"edison","2020-11-04T02:08:55Z",2020,11,4,2,8,55,1604484535,1686503,32,0.396,0.583
"edison","2020-11-04T02:09:20Z",2020,11,4,2,9,20,1604484560,1691108,32,0.397,0.582
"edison","2020-11-04T02:10:01Z",2020,11,4,2,10,1,1604484601,1693981,32,0.397,0.582
"edison","2020-11-04T02:10:40Z",2020,11,4,2,10,40,1604484640,1693991,32,0.397,0.582
"edison","2020-11-04T02:10:55Z",2020,11,4,2,10,55,1604484655,1695735,32,0.396,0.583
"edison","2020-11-04T02:11:55Z",2020,11,4,2,11,55,1604484715,1741424,33,0.394,0.585
"edison","2020-11-04T02:12:28Z",2020,11,4,2,12,28,1604484748,1787972,34,0.4,0.579
"edison","2020-11-04T02:13:28Z",2020,11,4,2,13,28,1604484808,1788590,34,0.4,0.579
"edison","2020-11-04T02:13:44Z",2020,11,4,2,13,44,1604484824,1788609,34,0.4,0.579
"edison","2020-11-04T02:13:59Z",2020,11,4,2,13,59,1604484839,1822454,34,0.399,0.58
"edison","2020-11-04T02:14:54Z",2020,11,4,2,14,54,1604484894,1907445,36,0.408,0.571
"edison","2020-11-04T02:15:54Z",2020,11,4,2,15,54,1604484954,1910344,36,0.408,0.571
"edison","2020-11-04T02:16:31Z",2020,11,4,2,16,31,1604484991,1910346,36,0.408,0.571
"edison","2020-11-04T02:17:55Z",2020,11,4,2,17,55,1604485075,1913287,36,0.407,0.572
"edison","2020-11-04T02:22:18Z",2020,11,4,2,22,18,1604485338,1913604,36,0.407,0.572
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,1925165,36,0.406,0.573
"edison","2020-11-04T02:23:11Z",2020,11,4,2,23,11,1604485391,1925949,36,0.406,0.573
"edison","2020-11-04T02:23:51Z",2020,11,4,2,23,51,1604485431,2006445,38,0.408,0.571
"edison","2020-11-04T02:23:58Z",2020,11,4,2,23,58,1604485438,2007592,38,0.408,0.571
"edison","2020-11-04T02:25:28Z",2020,11,4,2,25,28,1604485528,2051759,39,0.411,0.568
"edison","2020-11-04T02:25:48Z",2020,11,4,2,25,48,1604485548,2052235,39,0.411,0.568
"edison","2020-11-04T02:27:34Z",2020,11,4,2,27,34,1604485654,2052247,39,0.411,0.568
"edison","2020-11-04T02:28:21Z",2020,11,4,2,28,21,1604485701,2052251,39,0.411,0.568
"edison","2020-11-04T02:28:41Z",2020,11,4,2,28,41,1604485721,2094303,40,0.411,0.568
"edison","2020-11-04T02:31:42Z",2020,11,4,2,31,42,1604485902,2110216,40,0.409,0.569
"edison","2020-11-04T02:34:13Z",2020,11,4,2,34,13,1604486053,2143018,40,0.408,0.571
"edison","2020-11-04T02:34:33Z",2020,11,4,2,34,33,1604486073,2143024,40,0.408,0.571
"edison","2020-11-04T02:35:31Z",2020,11,4,2,35,31,1604486131,2204790,42,0.406,0.572
"edison","2020-11-04T02:36:12Z",2020,11,4,2,36,12,1604486172,2274902,43,0.413,0.565
"edison","2020-11-04T02:36:59Z",2020,11,4,2,36,59,1604486219,2278797,43,0.413,0.565
"edison","2020-11-04T02:37:17Z",2020,11,4,2,37,17,1604486237,2278800,43,0.413,0.565
"edison","2020-11-04T02:37:59Z",2020,11,4,2,37,59,1604486279,2280120,43,0.412,0.566
"edison","2020-11-04T02:38:34Z",2020,11,4,2,38,34,1604486314,2282518,43,0.412,0.566
"edison","2020-11-04T02:40:17Z",2020,11,4,2,40,17,1604486417,2294761,43,0.411,0.567
"edison","2020-11-04T02:40:32Z",2020,11,4,2,40,32,1604486432,2314677,44,0.411,0.567
"edison","2020-11-04T02:40:46Z",2020,11,4,2,40,46,1604486446,2314705,44,0.411,0.567
"edison","2020-11-04T02:42:43Z",2020,11,4,2,42,43,1604486563,2336361,44,0.409,0.569
"edison","2020-11-04T02:44:12Z",2020,11,4,2,44,12,1604486652,2336366,44,0.409,0.569
"edison","2020-11-04T02:45:03Z",2020,11,4,2,45,3,1604486703,2340693,44,0.409,0.569
"edison","2020-11-04T02:45:16Z",2020,11,4,2,45,16,1604486716,2342761,44,0.409,0.569
"edison","2020-11-04T02:46:01Z",2020,11,4,2,46,1,1604486761,2352596,44,0.408,0.57
"edison","2020-11-04T02:46:59Z",2020,11,4,2,46,59,1604486819,2356664,44,0.408,0.57
"edison","2020-11-04T02:47:57Z",2020,11,4,2,47,57,1604486877,2412431,46,0.413,0.565
"edison","2020-11-04T02:50:04Z",2020,11,4,2,50,4,1604487004,2423536,46,0.412,0.566
"edison","2020-11-04T02:50:24Z",2020,11,4,2,50,24,1604487024,2429301,46,0.412,0.566
"edison","2020-11-04T02:50:43Z",2020,11,4,2,50,43,1604487043,2438410,46,0.412,0.566
"edison","2020-11-04T02:50:57Z",2020,11,4,2,50,57,1604487057,2465955,47,0.412,0.566
"edison","2020-11-04T02:51:39Z",2020,11,4,2,51,39,1604487099,2467549,47,0.411,0.566
"edison","2020-11-04T02:52:14Z",2020,11,4,2,52,14,1604487134,2467576,47,0.411,0.566
"edison","2020-11-04T02:53:36Z",2020,11,4,2,53,36,1604487216,2477837,47,0.411,0.566
"edison","2020-11-04T02:53:51Z",2020,11,4,2,53,51,1604487231,2477851,47,0.411,0.566
"edison","2020-11-04T02:54:49Z",2020,11,4,2,54,49,1604487289,2479520,47,0.411,0.567
"edison","2020-11-04T02:55:06Z",2020,11,4,2,55,6,1604487306,2484863,47,0.411,0.567
"edison","2020-11-04T02:55:25Z",2020,11,4,2,55,25,1604487325,2498675,47,0.41,0.568
"edison","2020-11-04T02:55:34Z",2020,11,4,2,55,34,1604487334,2573660,49,0.415,0.563
"edison","2020-11-04T02:55:54Z",2020,11,4,2,55,54,1604487354,2583157,49,0.414,0.563
"edison","2020-11-04T02:57:10Z",2020,11,4,2,57,10,1604487430,2583171,49,0.414,0.563
"edison","2020-11-04T03:00:18Z",2020,11,4,3,0,18,1604487618,2600050,49,0.416,0.562
"edison","2020-11-04T03:00:48Z",2020,11,4,3,0,48,1604487648,2605454,49,0.416,0.562
"edison","2020-11-04T03:02:54Z",2020,11,4,3,2,54,1604487774,2611137,49,0.415,0.562
"edison","2020-11-04T03:05:34Z",2020,11,4,3,5,34,1604487934,2634948,50,0.417,0.561
"edison","2020-11-04T03:06:35Z",2020,11,4,3,6,35,1604487995,2644586,50,0.417,0.561
"edison","2020-11-04T03:06:46Z",2020,11,4,3,6,46,1604488006,2650208,50,0.416,0.561
"edison","2020-11-04T03:08:30Z",2020,11,4,3,8,30,1604488110,2653354,50,0.417,0.561
"edison","2020-11-04T03:09:46Z",2020,11,4,3,9,46,1604488186,2654220,50,0.417,0.561
"edison","2020-11-04T03:10:04Z",2020,11,4,3,10,4,1604488204,2655330,50,0.417,0.561
"edison","2020-11-04T03:11:13Z",2020,11,4,3,11,13,1604488273,2655627,50,0.417,0.561
"edison","2020-11-04T03:12:28Z",2020,11,4,3,12,28,1604488348,2660937,50,0.417,0.561
"edison","2020-11-04T03:13:33Z",2020,11,4,3,13,33,1604488413,2660962,50,0.417,0.561
"edison","2020-11-04T03:14:17Z",2020,11,4,3,14,17,1604488457,2664821,50,0.417,0.561
"edison","2020-11-04T03:16:53Z",2020,11,4,3,16,53,1604488613,2669310,50,0.416,0.561
"edison","2020-11-04T03:18:00Z",2020,11,4,3,18,0,1604488680,2678227,51,0.416,0.561
"edison","2020-11-04T03:18:54Z",2020,11,4,3,18,54,1604488734,2681966,51,0.416,0.561
"edison","2020-11-04T03:19:45Z",2020,11,4,3,19,45,1604488785,2699275,51,0.415,0.562
"edison","2020-11-04T03:21:21Z",2020,11,4,3,21,21,1604488881,2699619,51,0.415,0.562
"edison","2020-11-04T03:21:54Z",2020,11,4,3,21,54,1604488914,2699657,51,0.415,0.562
"edison","2020-11-04T03:22:32Z",2020,11,4,3,22,32,1604488952,2702556,51,0.415,0.562
"edison","2020-11-04T03:23:35Z",2020,11,4,3,23,35,1604489015,2754797,52,0.415,0.563
"edison","2020-11-04T03:23:48Z",2020,11,4,3,23,48,1604489028,2837797,54,0.42,0.557
"edison","2020-11-04T03:26:39Z",2020,11,4,3,26,39,1604489199,2837828,54,0.42,0.557
"edison","2020-11-04T03:27:15Z",2020,11,4,3,27,15,1604489235,2838312,54,0.42,0.557
"edison","2020-11-04T03:28:17Z",2020,11,4,3,28,17,1604489297,2874269,54,0.423,0.554
"edison","2020-11-04T03:30:13Z",2020,11,4,3,30,13,1604489413,2879494,54,0.423,0.555
"edison","2020-11-04T03:30:44Z",2020,11,4,3,30,44,1604489444,2879583,54,0.423,0.555
"edison","2020-11-04T03:31:30Z",2020,11,4,3,31,30,1604489490,2885469,54,0.422,0.555
"edison","2020-11-04T03:31:47Z",2020,11,4,3,31,47,1604489507,2919725,55,0.422,0.555
"edison","2020-11-04T03:32:01Z",2020,11,4,3,32,1,1604489521,2919738,55,0.422,0.555
"edison","2020-11-04T03:32:38Z",2020,11,4,3,32,38,1604489558,2919741,55,0.422,0.555
"edison","2020-11-04T03:33:12Z",2020,11,4,3,33,12,1604489592,2919789,55,0.422,0.555
"edison","2020-11-04T03:34:03Z",2020,11,4,3,34,3,1604489643,2955677,56,0.422,0.555
"edison","2020-11-04T03:34:11Z",2020,11,4,3,34,11,1604489651,2977188,56,0.421,0.556
"edison","2020-11-04T03:36:53Z",2020,11,4,3,36,53,1604489813,2985596,56,0.421,0.556
"edison","2020-11-04T03:37:03Z",2020,11,4,3,37,3,1604489823,2996161,57,0.42,0.557
"edison","2020-11-04T03:38:22Z",2020,11,4,3,38,22,1604489902,2996180,57,0.42,0.557
"edison","2020-11-04T03:38:52Z",2020,11,4,3,38,52,1604489932,3005822,57,0.42,0.557
"edison","2020-11-04T03:40:13Z",2020,11,4,3,40,13,1604490013,3013236,57,0.419,0.558
"edison","2020-11-04T03:42:28Z",2020,11,4,3,42,28,1604490148,3014644,57,0.419,0.558
"edison","2020-11-04T03:43:46Z",2020,11,4,3,43,46,1604490226,3021146,57,0.42,0.557
"edison","2020-11-04T03:43:59Z",2020,11,4,3,43,59,1604490239,3021158,57,0.42,0.557
"edison","2020-11-04T03:46:21Z",2020,11,4,3,46,21,1604490381,3050154,58,0.423,0.554
"edison","2020-11-04T03:46:44Z",2020,11,4,3,46,44,1604490404,3055506,58,0.422,0.554
"edison","2020-11-04T03:47:20Z",2020,11,4,3,47,20,1604490440,3055542,58,0.422,0.554
"edison","2020-11-04T03:49:32Z",2020,11,4,3,49,32,1604490572,3069334,58,0.424,0.553
"edison","2020-11-04T03:50:20Z",2020,11,4,3,50,20,1604490620,3070736,58,0.423,0.553
"edison","2020-11-04T03:52:35Z",2020,11,4,3,52,35,1604490755,3099340,58,0.422,0.555
"edison","2020-11-04T03:55:36Z",2020,11,4,3,55,36,1604490936,3152302,59,0.423,0.554
"edison","2020-11-04T03:57:52Z",2020,11,4,3,57,52,1604491072,3229572,61,0.433,0.544
"edison","2020-11-04T04:00:40Z",2020,11,4,4,0,40,1604491240,3230973,61,0.433,0.544
"edison","2020-11-04T04:03:33Z",2020,11,4,4,3,33,1604491413,3230983,61,0.433,0.544
"edison","2020-11-04T04:06:50Z",2020,11,4,4,6,50,1604491610,3300761,62,0.43,0.547
"edison","2020-11-04T04:07:21Z",2020,11,4,4,7,21,1604491641,3300778,62,0.43,0.547
"edison","2020-11-04T04:13:48Z",2020,11,4,4,13,48,1604492028,3307734,62,0.43,0.547
"edison","2020-11-04T04:14:14Z",2020,11,4,4,14,14,1604492054,3358910,63,0.432,0.545
"edison","2020-11-04T04:15:33Z",2020,11,4,4,15,33,1604492133,3380926,64,0.431,0.546
"edison","2020-11-04T04:16:01Z",2020,11,4,4,16,1,1604492161,3383448,64,0.431,0.546
"edison","2020-11-04T04:17:25Z",2020,11,4,4,17,25,1604492245,3464805,65,0.434,0.543
"edison","2020-11-04T04:23:20Z",2020,11,4,4,23,20,1604492600,3465552,65,0.434,0.543
"edison","2020-11-04T04:25:17Z",2020,11,4,4,25,17,1604492717,3465566,65,0.434,0.543
"edison","2020-11-04T04:25:22Z",2020,11,4,4,25,22,1604492722,3465638,65,0.434,0.543
"edison","2020-11-04T04:26:17Z",2020,11,4,4,26,17,1604492777,3467542,65,0.434,0.543
"edison","2020-11-04T04:30:05Z",2020,11,4,4,30,5,1604493005,3499036,66,0.434,0.542
"edison","2020-11-04T04:31:59Z",2020,11,4,4,31,59,1604493119,3507315,66,0.435,0.542
"edison","2020-11-04T04:33:58Z",2020,11,4,4,33,58,1604493238,3523452,66,0.435,0.541
"edison","2020-11-04T04:35:49Z",2020,11,4,4,35,49,1604493349,3525298,67,0.435,0.541
"edison","2020-11-04T04:39:19Z",2020,11,4,4,39,19,1604493559,3534184,69,0.436,0.541
"edison","2020-11-04T04:41:10Z",2020,11,4,4,41,10,1604493670,3719779,73,0.442,0.535
"edison","2020-11-04T04:41:35Z",2020,11,4,4,41,35,1604493695,3719843,73,0.442,0.535
"edison","2020-11-04T04:42:40Z",2020,11,4,4,42,40,1604493760,3721908,73,0.442,0.535
"edison","2020-11-04T04:44:20Z",2020,11,4,4,44,20,1604493860,3725107,73,0.442,0.535
"edison","2020-11-04T04:46:24Z",2020,11,4,4,46,24,1604493984,3739299,73,0.441,0.536
"edison","2020-11-04T04:47:43Z",2020,11,4,4,47,43,1604494063,3740008,73,0.441,0.536
"edison","2020-11-04T04:48:28Z",2020,11,4,4,48,28,1604494108,3740292,73,0.441,0.536
"edison","2020-11-04T04:49:03Z",2020,11,4,4,49,3,1604494143,3742741,73,0.441,0.536
