"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:51:24Z",2020,11,4,9,51,24,1604512284,0,0,0,0
"edison","2020-11-04T01:08:08Z",2020,11,4,1,8,8,1604480888,17859,0,0.83,0.135
"edison","2020-11-04T01:33:59Z",2020,11,4,1,33,59,1604482439,224064,4,0.41,0.572
"edison","2020-11-04T01:34:10Z",2020,11,4,1,34,10,1604482450,265204,4,0.433,0.547
"edison","2020-11-04T01:36:52Z",2020,11,4,1,36,52,1604482612,319199,5,0.424,0.557
"edison","2020-11-04T01:40:09Z",2020,11,4,1,40,9,1604482809,319301,5,0.424,0.557
"edison","2020-11-04T01:41:01Z",2020,11,4,1,41,1,1604482861,491966,8,0.413,0.568
"edison","2020-11-04T01:41:21Z",2020,11,4,1,41,21,1604482881,499552,8,0.415,0.566
"edison","2020-11-04T01:44:59Z",2020,11,4,1,44,59,1604483099,524046,8,0.427,0.553
"edison","2020-11-04T01:50:40Z",2020,11,4,1,50,40,1604483440,525266,8,0.428,0.553
"edison","2020-11-04T01:51:22Z",2020,11,4,1,51,22,1604483482,534799,9,0.429,0.551
"edison","2020-11-04T01:52:13Z",2020,11,4,1,52,13,1604483533,547442,9,0.435,0.545
"edison","2020-11-04T01:52:47Z",2020,11,4,1,52,47,1604483567,547448,9,0.435,0.545
"edison","2020-11-04T01:57:22Z",2020,11,4,1,57,22,1604483842,547706,9,0.435,0.545
"edison","2020-11-04T01:59:15Z",2020,11,4,1,59,15,1604483955,603585,10,0.429,0.551
"edison","2020-11-04T01:59:23Z",2020,11,4,1,59,23,1604483963,632842,10,0.426,0.554
"edison","2020-11-04T01:59:36Z",2020,11,4,1,59,36,1604483976,657795,11,0.426,0.554
"edison","2020-11-04T02:00:19Z",2020,11,4,2,0,19,1604484019,694599,11,0.411,0.569
"edison","2020-11-04T02:00:53Z",2020,11,4,2,0,53,1604484053,694831,11,0.411,0.569
"edison","2020-11-04T02:01:23Z",2020,11,4,2,1,23,1604484083,696130,11,0.411,0.569
"edison","2020-11-04T02:03:30Z",2020,11,4,2,3,30,1604484210,697253,11,0.412,0.568
"edison","2020-11-04T02:04:56Z",2020,11,4,2,4,56,1604484296,702946,11,0.413,0.567
"edison","2020-11-04T02:06:20Z",2020,11,4,2,6,20,1604484380,703542,11,0.413,0.567
"edison","2020-11-04T02:07:40Z",2020,11,4,2,7,40,1604484460,704579,11,0.413,0.567
"edison","2020-11-04T02:07:53Z",2020,11,4,2,7,53,1604484473,804676,13,0.412,0.569
"edison","2020-11-04T02:09:50Z",2020,11,4,2,9,50,1604484590,805480,13,0.412,0.568
"edison","2020-11-04T02:10:58Z",2020,11,4,2,10,58,1604484658,814912,13,0.415,0.566
"edison","2020-11-04T02:11:39Z",2020,11,4,2,11,39,1604484699,820145,13,0.416,0.564
"edison","2020-11-04T02:12:24Z",2020,11,4,2,12,24,1604484744,822301,13,0.417,0.563
"edison","2020-11-04T02:13:13Z",2020,11,4,2,13,13,1604484793,825078,13,0.418,0.562
"edison","2020-11-04T02:14:08Z",2020,11,4,2,14,8,1604484848,826290,13,0.419,0.562
"edison","2020-11-04T02:14:43Z",2020,11,4,2,14,43,1604484883,831805,13,0.42,0.56
"edison","2020-11-04T02:15:00Z",2020,11,4,2,15,0,1604484900,897811,14,0.4,0.581
"edison","2020-11-04T02:16:15Z",2020,11,4,2,16,15,1604484975,900305,14,0.401,0.58
"edison","2020-11-04T02:17:31Z",2020,11,4,2,17,31,1604485051,906093,15,0.403,0.578
"edison","2020-11-04T02:17:59Z",2020,11,4,2,17,59,1604485079,925948,15,0.406,0.574
"edison","2020-11-04T02:22:03Z",2020,11,4,2,22,3,1604485323,932757,15,0.409,0.572
"edison","2020-11-04T02:22:52Z",2020,11,4,2,22,52,1604485372,934371,15,0.409,0.571
"edison","2020-11-04T02:25:46Z",2020,11,4,2,25,46,1604485546,935879,15,0.41,0.571
"edison","2020-11-04T02:26:19Z",2020,11,4,2,26,19,1604485579,944415,15,0.412,0.569
"edison","2020-11-04T02:26:42Z",2020,11,4,2,26,42,1604485602,945725,15,0.412,0.569
"edison","2020-11-04T02:28:30Z",2020,11,4,2,28,30,1604485710,946302,15,0.412,0.568
"edison","2020-11-04T02:28:56Z",2020,11,4,2,28,56,1604485736,952442,15,0.413,0.567
"edison","2020-11-04T02:29:49Z",2020,11,4,2,29,49,1604485789,998936,16,0.413,0.568
