"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:41Z",2020,11,4,8,4,41,1604505881,0,0,0,0
"edison","2020-11-04T03:13:02Z",2020,11,4,3,13,2,1604488382,375,0,0.651,0.333
"edison","2020-11-04T03:13:16Z",2020,11,4,3,13,16,1604488396,206786,11,0.325,0.66
"edison","2020-11-04T03:13:54Z",2020,11,4,3,13,54,1604488434,219444,12,0.338,0.647
"edison","2020-11-04T03:14:10Z",2020,11,4,3,14,10,1604488450,222000,12,0.341,0.644
"edison","2020-11-04T03:17:36Z",2020,11,4,3,17,36,1604488656,262953,14,0.357,0.629
"edison","2020-11-04T03:18:29Z",2020,11,4,3,18,29,1604488709,278859,15,0.361,0.624
"edison","2020-11-04T03:21:30Z",2020,11,4,3,21,30,1604488890,280093,15,0.362,0.623
"edison","2020-11-04T03:22:16Z",2020,11,4,3,22,16,1604488936,295154,16,0.369,0.616
"edison","2020-11-04T03:22:32Z",2020,11,4,3,22,32,1604488952,295254,16,0.369,0.615
"edison","2020-11-04T03:26:20Z",2020,11,4,3,26,20,1604489180,295770,16,0.37,0.615
"edison","2020-11-04T03:26:41Z",2020,11,4,3,26,41,1604489201,336487,18,0.366,0.619
"edison","2020-11-04T03:26:50Z",2020,11,4,3,26,50,1604489210,345932,19,0.368,0.616
"edison","2020-11-04T03:27:41Z",2020,11,4,3,27,41,1604489261,347299,19,0.369,0.615
"edison","2020-11-04T03:28:40Z",2020,11,4,3,28,40,1604489320,353528,19,0.37,0.614
"edison","2020-11-04T03:30:28Z",2020,11,4,3,30,28,1604489428,356018,20,0.372,0.613
"edison","2020-11-04T03:31:28Z",2020,11,4,3,31,28,1604489488,361769,20,0.375,0.61
"edison","2020-11-04T03:33:57Z",2020,11,4,3,33,57,1604489637,361804,20,0.375,0.609
"edison","2020-11-04T03:34:12Z",2020,11,4,3,34,12,1604489652,363678,20,0.377,0.608
"edison","2020-11-04T03:35:21Z",2020,11,4,3,35,21,1604489721,367914,20,0.379,0.606
"edison","2020-11-04T03:35:45Z",2020,11,4,3,35,45,1604489745,368799,20,0.38,0.604
"edison","2020-11-04T03:37:16Z",2020,11,4,3,37,16,1604489836,373518,20,0.381,0.603
"edison","2020-11-04T03:38:07Z",2020,11,4,3,38,7,1604489887,420843,23,0.397,0.587
"edison","2020-11-04T03:38:30Z",2020,11,4,3,38,30,1604489910,430245,24,0.401,0.582
"edison","2020-11-04T03:38:51Z",2020,11,4,3,38,51,1604489931,434227,24,0.405,0.579
"edison","2020-11-04T03:39:18Z",2020,11,4,3,39,18,1604489958,461659,25,0.408,0.575
"edison","2020-11-04T03:40:39Z",2020,11,4,3,40,39,1604490039,463460,25,0.41,0.574
"edison","2020-11-04T03:41:51Z",2020,11,4,3,41,51,1604490111,733211,40,0.412,0.569
"edison","2020-11-04T03:44:43Z",2020,11,4,3,44,43,1604490283,743249,41,0.413,0.568
"edison","2020-11-04T03:45:15Z",2020,11,4,3,45,15,1604490315,743258,41,0.413,0.568
"edison","2020-11-04T03:46:17Z",2020,11,4,3,46,17,1604490377,746945,41,0.415,0.567
"edison","2020-11-04T03:47:20Z",2020,11,4,3,47,20,1604490440,762234,42,0.415,0.567
"edison","2020-11-04T03:47:58Z",2020,11,4,3,47,58,1604490478,768608,42,0.417,0.565
"edison","2020-11-04T03:49:25Z",2020,11,4,3,49,25,1604490565,771315,42,0.418,0.564
"edison","2020-11-04T03:50:19Z",2020,11,4,3,50,19,1604490619,774239,42,0.418,0.563
"edison","2020-11-04T03:50:51Z",2020,11,4,3,50,51,1604490651,775405,42,0.419,0.563
"edison","2020-11-04T03:52:00Z",2020,11,4,3,52,0,1604490720,775423,42,0.419,0.563
"edison","2020-11-04T03:53:19Z",2020,11,4,3,53,19,1604490799,776176,43,0.419,0.562
"edison","2020-11-04T03:54:55Z",2020,11,4,3,54,55,1604490895,783679,43,0.423,0.559
"edison","2020-11-04T03:56:27Z",2020,11,4,3,56,27,1604490987,784632,43,0.423,0.559
"edison","2020-11-04T03:57:58Z",2020,11,4,3,57,58,1604491078,785556,43,0.423,0.559
"edison","2020-11-04T03:58:32Z",2020,11,4,3,58,32,1604491112,799294,44,0.426,0.556
"edison","2020-11-04T03:59:08Z",2020,11,4,3,59,8,1604491148,807291,44,0.428,0.553
"edison","2020-11-04T03:59:40Z",2020,11,4,3,59,40,1604491180,817332,45,0.43,0.552
"edison","2020-11-04T04:00:19Z",2020,11,4,4,0,19,1604491219,856182,47,0.44,0.541
"edison","2020-11-04T04:02:54Z",2020,11,4,4,2,54,1604491374,857440,47,0.441,0.541
"edison","2020-11-04T04:03:17Z",2020,11,4,4,3,17,1604491397,860326,47,0.441,0.54
"edison","2020-11-04T04:03:25Z",2020,11,4,4,3,25,1604491405,878259,48,0.447,0.535
"edison","2020-11-04T04:05:03Z",2020,11,4,4,5,3,1604491503,949873,52,0.444,0.538
"edison","2020-11-04T04:05:49Z",2020,11,4,4,5,49,1604491549,957816,52,0.447,0.535
"edison","2020-11-04T04:06:34Z",2020,11,4,4,6,34,1604491594,962668,53,0.447,0.535
"edison","2020-11-04T04:07:39Z",2020,11,4,4,7,39,1604491659,973916,53,0.451,0.531
"edison","2020-11-04T04:10:51Z",2020,11,4,4,10,51,1604491851,1018223,56,0.461,0.521
"edison","2020-11-04T04:11:17Z",2020,11,4,4,11,17,1604491877,1022044,56,0.462,0.52
"edison","2020-11-04T04:11:46Z",2020,11,4,4,11,46,1604491906,1025758,56,0.462,0.52
"edison","2020-11-04T04:13:19Z",2020,11,4,4,13,19,1604491999,1030127,56,0.464,0.518
"edison","2020-11-04T04:14:31Z",2020,11,4,4,14,31,1604492071,1030132,56,0.464,0.518
"edison","2020-11-04T04:14:39Z",2020,11,4,4,14,39,1604492079,1040890,57,0.465,0.516
"edison","2020-11-04T04:15:06Z",2020,11,4,4,15,6,1604492106,1055029,58,0.469,0.513
"edison","2020-11-04T04:15:53Z",2020,11,4,4,15,53,1604492153,1055204,58,0.469,0.513
"edison","2020-11-04T04:16:16Z",2020,11,4,4,16,16,1604492176,1055679,58,0.469,0.513
"edison","2020-11-04T04:16:30Z",2020,11,4,4,16,30,1604492190,1070333,59,0.471,0.51
"edison","2020-11-04T04:17:33Z",2020,11,4,4,17,33,1604492253,1074429,59,0.473,0.509
"edison","2020-11-04T04:18:06Z",2020,11,4,4,18,6,1604492286,1074452,59,0.473,0.509
"edison","2020-11-04T04:18:53Z",2020,11,4,4,18,53,1604492333,1075943,59,0.473,0.509
"edison","2020-11-04T04:19:23Z",2020,11,4,4,19,23,1604492363,1075992,59,0.473,0.509
"edison","2020-11-04T04:20:02Z",2020,11,4,4,20,2,1604492402,1077210,59,0.473,0.508
"edison","2020-11-04T04:20:38Z",2020,11,4,4,20,38,1604492438,1108708,61,0.477,0.505
"edison","2020-11-04T04:21:07Z",2020,11,4,4,21,7,1604492467,1128412,62,0.482,0.5
"edison","2020-11-04T04:21:13Z",2020,11,4,4,21,13,1604492473,1128532,62,0.482,0.5
"edison","2020-11-04T04:22:32Z",2020,11,4,4,22,32,1604492552,1128538,62,0.482,0.5
"edison","2020-11-04T04:22:59Z",2020,11,4,4,22,59,1604492579,1128558,62,0.482,0.5
"edison","2020-11-04T04:23:32Z",2020,11,4,4,23,32,1604492612,1148453,63,0.486,0.496
"edison","2020-11-04T04:24:06Z",2020,11,4,4,24,6,1604492646,1148459,63,0.486,0.496
"edison","2020-11-04T04:24:22Z",2020,11,4,4,24,22,1604492662,1159874,64,0.485,0.496
"edison","2020-11-04T04:24:34Z",2020,11,4,4,24,34,1604492674,1171928,64,0.487,0.495
"edison","2020-11-04T04:25:20Z",2020,11,4,4,25,20,1604492720,1175328,64,0.488,0.494
