"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_greenfieldt","vote_shares_ernstj"
"edison","2020-11-04T08:04:41Z",2020,11,4,8,4,41,1604505881,0,0,0,0
"edison","2020-11-04T03:14:00Z",2020,11,4,3,14,0,1604488440,219983,12,0.631,0.345
"edison","2020-11-04T03:17:36Z",2020,11,4,3,17,36,1604488656,260603,14,0.617,0.359
"edison","2020-11-04T03:18:30Z",2020,11,4,3,18,30,1604488710,276328,15,0.613,0.362
"edison","2020-11-04T03:22:06Z",2020,11,4,3,22,6,1604488926,277565,15,0.612,0.364
"edison","2020-11-04T03:22:15Z",2020,11,4,3,22,15,1604488935,292498,16,0.604,0.371
"edison","2020-11-04T03:26:20Z",2020,11,4,3,26,20,1604489180,293007,16,0.604,0.372
"edison","2020-11-04T03:26:38Z",2020,11,4,3,26,38,1604489198,333605,18,0.607,0.369
"edison","2020-11-04T03:27:22Z",2020,11,4,3,27,22,1604489242,342971,19,0.605,0.371
"edison","2020-11-04T03:28:30Z",2020,11,4,3,28,30,1604489310,344328,19,0.604,0.372
"edison","2020-11-04T03:29:21Z",2020,11,4,3,29,21,1604489361,350543,19,0.603,0.373
"edison","2020-11-04T03:30:28Z",2020,11,4,3,30,28,1604489428,353007,19,0.601,0.374
"edison","2020-11-04T03:31:27Z",2020,11,4,3,31,27,1604489487,358709,20,0.598,0.377
"edison","2020-11-04T03:34:54Z",2020,11,4,3,34,54,1604489694,360565,20,0.597,0.378
"edison","2020-11-04T03:35:20Z",2020,11,4,3,35,20,1604489720,364720,20,0.595,0.381
"edison","2020-11-04T03:35:39Z",2020,11,4,3,35,39,1604489739,365355,20,0.594,0.381
"edison","2020-11-04T03:38:00Z",2020,11,4,3,38,0,1604489880,373348,20,0.591,0.384
"edison","2020-11-04T03:38:39Z",2020,11,4,3,38,39,1604489919,418997,23,0.575,0.4
"edison","2020-11-04T03:38:52Z",2020,11,4,3,38,52,1604489932,422966,23,0.572,0.403
"edison","2020-11-04T03:39:59Z",2020,11,4,3,39,59,1604489999,450015,25,0.568,0.406
"edison","2020-11-04T03:40:39Z",2020,11,4,3,40,39,1604490039,451810,25,0.567,0.407
"edison","2020-11-04T03:42:09Z",2020,11,4,3,42,9,1604490129,726134,40,0.56,0.413
"edison","2020-11-04T03:44:02Z",2020,11,4,3,44,2,1604490242,728547,40,0.559,0.414
"edison","2020-11-04T03:44:43Z",2020,11,4,3,44,43,1604490283,738515,40,0.558,0.415
"edison","2020-11-04T03:46:20Z",2020,11,4,3,46,20,1604490380,742134,41,0.557,0.415
"edison","2020-11-04T03:47:57Z",2020,11,4,3,47,57,1604490477,763597,42,0.555,0.418
"edison","2020-11-04T03:49:25Z",2020,11,4,3,49,25,1604490565,766266,42,0.554,0.419
"edison","2020-11-04T03:50:07Z",2020,11,4,3,50,7,1604490607,766858,42,0.554,0.419
"edison","2020-11-04T03:51:15Z",2020,11,4,3,51,15,1604490675,769761,42,0.553,0.42
"edison","2020-11-04T03:51:44Z",2020,11,4,3,51,44,1604490704,770904,42,0.553,0.42
"edison","2020-11-04T03:54:09Z",2020,11,4,3,54,9,1604490849,771657,42,0.553,0.42
"edison","2020-11-04T03:54:54Z",2020,11,4,3,54,54,1604490894,779081,43,0.55,0.423
"edison","2020-11-04T03:57:18Z",2020,11,4,3,57,18,1604491038,780934,43,0.549,0.424
"edison","2020-11-04T03:58:26Z",2020,11,4,3,58,26,1604491106,785370,43,0.547,0.426
"edison","2020-11-04T03:58:55Z",2020,11,4,3,58,55,1604491135,786299,43,0.547,0.426
"edison","2020-11-04T03:59:12Z",2020,11,4,3,59,12,1604491152,794595,44,0.546,0.426
"edison","2020-11-04T03:59:37Z",2020,11,4,3,59,37,1604491177,804572,44,0.545,0.428
"edison","2020-11-04T03:59:55Z",2020,11,4,3,59,55,1604491195,834038,46,0.538,0.435
"edison","2020-11-04T04:00:15Z",2020,11,4,4,0,15,1604491215,842992,46,0.535,0.437
"edison","2020-11-04T04:01:13Z",2020,11,4,4,1,13,1604491273,850862,47,0.533,0.439
"edison","2020-11-04T04:02:55Z",2020,11,4,4,2,55,1604491375,852104,47,0.533,0.439
"edison","2020-11-04T04:03:21Z",2020,11,4,4,3,21,1604491401,869867,48,0.528,0.445
"edison","2020-11-04T04:03:32Z",2020,11,4,4,3,32,1604491412,871949,48,0.527,0.445
"edison","2020-11-04T04:03:44Z",2020,11,4,4,3,44,1604491424,874798,48,0.527,0.446
"edison","2020-11-04T04:05:49Z",2020,11,4,4,5,49,1604491549,880550,48,0.525,0.447
"edison","2020-11-04T04:07:06Z",2020,11,4,4,7,6,1604491626,885325,49,0.525,0.448
"edison","2020-11-04T04:08:24Z",2020,11,4,4,8,24,1604491704,896543,49,0.52,0.452
"edison","2020-11-04T04:10:52Z",2020,11,4,4,10,52,1604491852,944299,52,0.51,0.462
"edison","2020-11-04T04:12:00Z",2020,11,4,4,12,0,1604491920,951910,52,0.508,0.464
"edison","2020-11-04T04:14:01Z",2020,11,4,4,14,1,1604492041,956201,52,0.507,0.465
"edison","2020-11-04T04:15:07Z",2020,11,4,4,15,7,1604492107,974939,53,0.503,0.468
"edison","2020-11-04T04:15:45Z",2020,11,4,4,15,45,1604492145,980878,54,0.502,0.47
"edison","2020-11-04T04:18:23Z",2020,11,4,4,18,23,1604492303,982523,54,0.501,0.471
"edison","2020-11-04T04:20:36Z",2020,11,4,4,20,36,1604492436,1014379,56,0.499,0.473
"edison","2020-11-04T04:21:04Z",2020,11,4,4,21,4,1604492464,1033897,57,0.493,0.478
"edison","2020-11-04T04:21:48Z",2020,11,4,4,21,48,1604492508,1035969,57,0.493,0.479
"edison","2020-11-04T04:23:32Z",2020,11,4,4,23,32,1604492612,1055136,58,0.489,0.482
"edison","2020-11-04T04:23:51Z",2020,11,4,4,23,51,1604492631,1058511,58,0.489,0.483
"edison","2020-11-04T04:24:43Z",2020,11,4,4,24,43,1604492683,1075410,59,0.487,0.485
"edison","2020-11-04T04:25:05Z",2020,11,4,4,25,5,1604492705,1086683,60,0.487,0.484
"edison","2020-11-04T04:26:07Z",2020,11,4,4,26,7,1604492767,1092241,60,0.487,0.485
"edison","2020-11-04T04:26:17Z",2020,11,4,4,26,17,1604492777,1099445,60,0.486,0.485
"edison","2020-11-04T04:29:07Z",2020,11,4,4,29,7,1604492947,1104432,61,0.485,0.486
"edison","2020-11-04T04:29:19Z",2020,11,4,4,29,19,1604492959,1115857,61,0.483,0.489
"edison","2020-11-04T04:29:27Z",2020,11,4,4,29,27,1604492967,1121046,61,0.482,0.489
"edison","2020-11-04T04:30:20Z",2020,11,4,4,30,20,1604493020,1124305,62,0.481,0.49
"edison","2020-11-04T04:31:00Z",2020,11,4,4,31,0,1604493060,1160121,64,0.477,0.495
"edison","2020-11-04T04:32:04Z",2020,11,4,4,32,4,1604493124,1168082,64,0.476,0.495
"edison","2020-11-04T04:35:15Z",2020,11,4,4,35,15,1604493315,1174647,64,0.475,0.496
"edison","2020-11-04T04:35:38Z",2020,11,4,4,35,38,1604493338,1182540,65,0.474,0.497
"edison","2020-11-04T04:36:59Z",2020,11,4,4,36,59,1604493419,1183141,65,0.474,0.497
"edison","2020-11-04T04:37:35Z",2020,11,4,4,37,35,1604493455,1184505,65,0.474,0.497
"edison","2020-11-04T04:37:47Z",2020,11,4,4,37,47,1604493467,1184651,65,0.474,0.497
"edison","2020-11-04T04:39:04Z",2020,11,4,4,39,4,1604493544,1191443,65,0.473,0.498
"edison","2020-11-04T04:39:18Z",2020,11,4,4,39,18,1604493558,1204388,66,0.471,0.5
"edison","2020-11-04T04:39:56Z",2020,11,4,4,39,56,1604493596,1208240,66,0.47,0.501
"edison","2020-11-04T04:41:05Z",2020,11,4,4,41,5,1604493665,1218278,67,0.47,0.5
"edison","2020-11-04T04:44:20Z",2020,11,4,4,44,20,1604493860,1219755,67,0.47,0.501
"edison","2020-11-04T04:44:33Z",2020,11,4,4,44,33,1604493873,1233095,68,0.469,0.502
"edison","2020-11-04T04:45:29Z",2020,11,4,4,45,29,1604493929,1332005,73,0.47,0.501
"edison","2020-11-04T04:46:33Z",2020,11,4,4,46,33,1604493993,1362992,75,0.468,0.503
"edison","2020-11-04T04:47:08Z",2020,11,4,4,47,8,1604494028,1365247,75,0.468,0.503
"edison","2020-11-04T04:50:03Z",2020,11,4,4,50,3,1604494203,1367477,75,0.467,0.503
"edison","2020-11-04T04:50:27Z",2020,11,4,4,50,27,1604494227,1372943,75,0.467,0.503
"edison","2020-11-04T04:50:38Z",2020,11,4,4,50,38,1604494238,1376010,75,0.467,0.504
"edison","2020-11-04T04:51:27Z",2020,11,4,4,51,27,1604494287,1416562,78,0.466,0.504
"edison","2020-11-04T04:51:51Z",2020,11,4,4,51,51,1604494311,1420429,78,0.465,0.505
"edison","2020-11-04T04:52:39Z",2020,11,4,4,52,39,1604494359,1431392,78,0.464,0.506
"edison","2020-11-04T04:54:21Z",2020,11,4,4,54,21,1604494461,1446961,79,0.462,0.508
"edison","2020-11-04T04:56:13Z",2020,11,4,4,56,13,1604494573,1448071,79,0.462,0.508
"edison","2020-11-04T04:58:57Z",2020,11,4,4,58,57,1604494737,1454637,80,0.462,0.508
"edison","2020-11-04T04:59:50Z",2020,11,4,4,59,50,1604494790,1457063,80,0.461,0.509
"edison","2020-11-04T05:00:18Z",2020,11,4,5,0,18,1604494818,1457384,80,0.461,0.509
"edison","2020-11-04T05:00:50Z",2020,11,4,5,0,50,1604494850,1466001,80,0.46,0.51
