"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_marshallr","vote_shares_bollierb"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T01:10:06Z",2020,11,4,1,10,6,1604481006,4950,0,0.539,0.43
"edison","2020-11-04T01:18:29Z",2020,11,4,1,18,29,1604481509,6500,0,0.551,0.414
"edison","2020-11-04T01:21:21Z",2020,11,4,1,21,21,1604481681,7800,1,0.581,0.382
"edison","2020-11-04T01:29:48Z",2020,11,4,1,29,48,1604482188,22839,2,0.435,0.533
"edison","2020-11-04T01:31:44Z",2020,11,4,1,31,44,1604482304,24062,2,0.442,0.525
"edison","2020-11-04T01:31:44Z",2020,11,4,1,31,44,1604482304,24062,2,0.442,0.525
"edison","2020-11-04T01:35:52Z",2020,11,4,1,35,52,1604482552,39179,3,0.472,0.493
"edison","2020-11-04T01:36:10Z",2020,11,4,1,36,10,1604482570,291440,22,0.422,0.573
"edison","2020-11-04T01:45:39Z",2020,11,4,1,45,39,1604483139,292195,22,0.422,0.572
"edison","2020-11-04T01:50:00Z",2020,11,4,1,50,0,1604483400,297546,22,0.424,0.57
"edison","2020-11-04T01:50:52Z",2020,11,4,1,50,52,1604483452,303333,23,0.426,0.566
"edison","2020-11-04T01:51:26Z",2020,11,4,1,51,26,1604483486,309366,23,0.429,0.563
"edison","2020-11-04T01:51:50Z",2020,11,4,1,51,50,1604483510,334779,25,0.437,0.553
"edison","2020-11-04T01:57:11Z",2020,11,4,1,57,11,1604483831,335889,25,0.437,0.552
"edison","2020-11-04T01:58:11Z",2020,11,4,1,58,11,1604483891,336680,25,0.438,0.551
"edison","2020-11-04T01:58:15Z",2020,11,4,1,58,15,1604483895,468635,35,0.451,0.532
"edison","2020-11-04T02:03:16Z",2020,11,4,2,3,16,1604484196,471392,35,0.451,0.531
"edison","2020-11-04T02:05:02Z",2020,11,4,2,5,2,1604484302,471934,35,0.452,0.53
"edison","2020-11-04T02:06:33Z",2020,11,4,2,6,33,1604484393,473372,36,0.453,0.529
"edison","2020-11-04T02:08:06Z",2020,11,4,2,8,6,1604484486,488388,37,0.456,0.525
