"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:00:43Z",2020,11,4,9,0,43,1604509243,0,0,0,0
"edison","2020-11-04T02:22:18Z",2020,11,4,2,22,18,1604485338,93185,3,0.577,0.402
"edison","2020-11-04T02:31:11Z",2020,11,4,2,31,11,1604485871,102887,3,0.575,0.404
"edison","2020-11-04T02:51:31Z",2020,11,4,2,51,31,1604487091,116159,4,0.594,0.383
"edison","2020-11-04T03:04:53Z",2020,11,4,3,4,53,1604487893,123990,4,0.589,0.388
"edison","2020-11-04T03:11:06Z",2020,11,4,3,11,6,1604488266,130551,4,0.592,0.384
"edison","2020-11-04T03:15:09Z",2020,11,4,3,15,9,1604488509,174915,6,0.59,0.386
"edison","2020-11-04T03:18:00Z",2020,11,4,3,18,0,1604488680,298321,10,0.449,0.53
"edison","2020-11-04T03:29:15Z",2020,11,4,3,29,15,1604489355,299218,10,0.448,0.529
"edison","2020-11-04T03:58:43Z",2020,11,4,3,58,43,1604491123,301996,10,0.449,0.527
"edison","2020-11-04T04:14:18Z",2020,11,4,4,14,18,1604492058,613630,20,0.262,0.718
"edison","2020-11-04T04:19:42Z",2020,11,4,4,19,42,1604492382,727108,23,0.291,0.688
"edison","2020-11-04T04:27:34Z",2020,11,4,4,27,34,1604492854,886699,28,0.256,0.725
"edison","2020-11-04T04:30:17Z",2020,11,4,4,30,17,1604493017,1085754,35,0.286,0.696
"edison","2020-11-04T04:31:28Z",2020,11,4,4,31,28,1604493088,1394315,45,0.264,0.717
"edison","2020-11-04T04:34:07Z",2020,11,4,4,34,7,1604493247,1419372,46,0.27,0.712
"edison","2020-11-04T04:36:21Z",2020,11,4,4,36,21,1604493381,1505560,48,0.29,0.69
"edison","2020-11-04T04:36:59Z",2020,11,4,4,36,59,1604493419,1516848,49,0.292,0.688
"edison","2020-11-04T04:39:28Z",2020,11,4,4,39,28,1604493568,1614585,52,0.315,0.664
"edison","2020-11-04T04:42:00Z",2020,11,4,4,42,0,1604493720,1652912,53,0.32,0.66
"edison","2020-11-04T04:43:58Z",2020,11,4,4,43,58,1604493838,1666645,54,0.324,0.656
"edison","2020-11-04T04:46:16Z",2020,11,4,4,46,16,1604493976,1895108,61,0.329,0.652
"edison","2020-11-04T05:13:56Z",2020,11,4,5,13,56,1604495636,2058939,66,0.349,0.633
"edison","2020-11-04T05:15:13Z",2020,11,4,5,15,13,1604495713,2059679,66,0.349,0.632
"edison","2020-11-04T05:18:12Z",2020,11,4,5,18,12,1604495892,2059780,66,0.349,0.632
"edison","2020-11-04T05:21:20Z",2020,11,4,5,21,20,1604496080,2074916,67,0.352,0.629
"edison","2020-11-04T05:53:14Z",2020,11,4,5,53,14,1604497994,2078419,67,0.352,0.629
"edison","2020-11-04T11:46:51Z",2020,11,4,11,46,51,1604519211,2107782,68,0.347,0.636
"edison","2020-11-04T15:31:49Z",2020,11,4,15,31,49,1604532709,2133487,68,0.349,0.634
"edison","2020-11-04T16:15:49Z",2020,11,4,16,15,49,1604535349,2145505,69,0.351,0.631
"edison","2020-11-04T18:39:51Z",2020,11,4,18,39,51,1604543991,2146009,69,0.351,0.631
"edison","2020-11-04T21:22:55Z",2020,11,4,21,22,55,1604553775,2165706,70,0.351,0.631
"edison","2020-11-08T17:23:59Z",2020,11,8,17,23,59,1604885039,2484719,80,0.346,0.635
"edison","2020-11-09T00:50:39Z",2020,11,9,0,50,39,1604911839,2486679,80,0.346,0.636
"edison","2020-11-09T01:38:51Z",2020,11,9,1,38,51,1604914731,2497959,80,0.345,0.637
"edison","2020-11-10T19:18:52Z",2020,11,10,19,18,52,1605064732,2612113,84,0.34,0.64
"edison","2020-11-10T21:18:45Z",2020,11,10,21,18,45,1605071925,2613307,84,0.341,0.64
"edison","2020-11-10T21:35:44Z",2020,11,10,21,35,44,1605072944,2613310,84,0.341,0.64
"edison","2020-11-10T22:54:52Z",2020,11,10,22,54,52,1605077692,2626192,84,0.339,0.642
"edison","2020-11-10T23:09:44Z",2020,11,10,23,9,44,1605078584,2626194,84,0.339,0.642
"edison","2020-11-10T23:20:46Z",2020,11,10,23,20,46,1605079246,2635818,85,0.339,0.642
"edison","2020-11-11T00:47:48Z",2020,11,11,0,47,48,1605084468,2666203,86,0.338,0.643
"edison","2020-11-11T18:37:50Z",2020,11,11,18,37,50,1605148670,2666217,86,0.338,0.643
"edison","2020-11-11T22:55:48Z",2020,11,11,22,55,48,1605164148,2689793,86,0.337,0.644
"edison","2020-11-12T01:33:46Z",2020,11,12,1,33,46,1605173626,2732714,88,0.335,0.646
"edison","2020-11-12T16:37:51Z",2020,11,12,16,37,51,1605227871,2733810,88,0.335,0.646
"edison","2020-11-12T17:25:46Z",2020,11,12,17,25,46,1605230746,2734258,88,0.335,0.646
"edison","2020-11-12T18:47:45Z",2020,11,12,18,47,45,1605235665,2734829,88,0.335,0.646
"edison","2020-11-12T19:16:46Z",2020,11,12,19,16,46,1605237406,2739404,88,0.335,0.646
"edison","2020-11-12T19:32:44Z",2020,11,12,19,32,44,1605238364,2740104,88,0.335,0.646
"edison","2020-11-12T20:17:45Z",2020,11,12,20,17,45,1605241065,2742229,88,0.335,0.646
"edison","2020-11-12T20:57:45Z",2020,11,12,20,57,45,1605243465,2742702,88,0.335,0.646
"edison","2020-11-12T21:22:45Z",2020,11,12,21,22,45,1605244965,2743788,88,0.335,0.646
"edison","2020-11-12T21:54:48Z",2020,11,12,21,54,48,1605246888,2744241,88,0.335,0.646
"edison","2020-11-12T22:28:47Z",2020,11,12,22,28,47,1605248927,2745631,88,0.335,0.646
"edison","2020-11-12T23:01:47Z",2020,11,12,23,1,47,1605250907,2752543,88,0.335,0.646
"edison","2020-11-12T23:57:57Z",2020,11,12,23,57,57,1605254277,2754536,88,0.335,0.646
"edison","2020-11-13T00:51:45Z",2020,11,13,0,51,45,1605257505,2766186,89,0.335,0.646
"edison","2020-11-13T03:50:00Z",2020,11,13,3,50,0,1605268200,2790933,90,0.334,0.647
"edison","2020-11-13T15:37:50Z",2020,11,13,15,37,50,1605310670,2797260,90,0.333,0.648
"edison","2020-11-13T16:28:45Z",2020,11,13,16,28,45,1605313725,2797265,90,0.333,0.648
