"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:00:04Z",2020,11,4,10,0,4,1604512804,0,0,0,0
"edison","2020-11-04T01:14:54Z",2020,11,4,1,14,54,1604481294,615,0,0.345,0.615
"edison","2020-11-04T01:22:54Z",2020,11,4,1,22,54,1604481774,3110,0,0.376,0.595
"edison","2020-11-04T01:25:26Z",2020,11,4,1,25,26,1604481926,3301,0,0.365,0.605
"edison","2020-11-04T01:29:06Z",2020,11,4,1,29,6,1604482146,9194,0,0.28,0.693
"edison","2020-11-04T01:32:01Z",2020,11,4,1,32,1,1604482321,16873,0,0.301,0.674
"edison","2020-11-04T01:47:25Z",2020,11,4,1,47,25,1604483245,29334,1,0.289,0.687
"edison","2020-11-04T01:48:09Z",2020,11,4,1,48,9,1604483289,31617,1,0.29,0.687
"edison","2020-11-04T01:54:08Z",2020,11,4,1,54,8,1604483648,35864,1,0.309,0.668
"edison","2020-11-04T01:54:18Z",2020,11,4,1,54,18,1604483658,41341,1,0.339,0.638
"edison","2020-11-04T01:54:47Z",2020,11,4,1,54,47,1604483687,48533,1,0.336,0.641
"edison","2020-11-04T01:55:37Z",2020,11,4,1,55,37,1604483737,62238,2,0.327,0.649
"edison","2020-11-04T01:56:40Z",2020,11,4,1,56,40,1604483800,70085,2,0.357,0.619
"edison","2020-11-04T01:56:40Z",2020,11,4,1,56,40,1604483800,70085,2,0.357,0.619
"edison","2020-11-04T01:56:57Z",2020,11,4,1,56,57,1604483817,73024,2,0.36,0.616
"edison","2020-11-04T01:57:15Z",2020,11,4,1,57,15,1604483835,79829,2,0.36,0.617
"edison","2020-11-04T01:58:00Z",2020,11,4,1,58,0,1604483880,82302,2,0.365,0.611
"edison","2020-11-04T01:58:24Z",2020,11,4,1,58,24,1604483904,85186,2,0.359,0.616
"edison","2020-11-04T02:02:28Z",2020,11,4,2,2,28,1604484148,94631,3,0.368,0.608
"edison","2020-11-04T02:03:36Z",2020,11,4,2,3,36,1604484216,116177,3,0.332,0.645
"edison","2020-11-04T02:04:25Z",2020,11,4,2,4,25,1604484265,119506,3,0.341,0.636
"edison","2020-11-04T02:05:02Z",2020,11,4,2,5,2,1604484302,126343,3,0.334,0.644
"edison","2020-11-04T02:10:27Z",2020,11,4,2,10,27,1604484627,128657,3,0.331,0.646
"edison","2020-11-04T02:16:37Z",2020,11,4,2,16,37,1604484997,132788,4,0.326,0.652
"edison","2020-11-04T02:20:46Z",2020,11,4,2,20,46,1604485246,142988,4,0.325,0.652
"edison","2020-11-04T02:20:54Z",2020,11,4,2,20,54,1604485254,152466,4,0.322,0.655
"edison","2020-11-04T02:21:59Z",2020,11,4,2,21,59,1604485319,192848,5,0.276,0.701
"edison","2020-11-04T02:25:00Z",2020,11,4,2,25,0,1604485500,202243,5,0.277,0.7
"edison","2020-11-04T02:25:24Z",2020,11,4,2,25,24,1604485524,202720,5,0.278,0.699
"edison","2020-11-04T02:27:12Z",2020,11,4,2,27,12,1604485632,220094,6,0.276,0.702
"edison","2020-11-04T02:28:10Z",2020,11,4,2,28,10,1604485690,232098,6,0.273,0.705
"edison","2020-11-04T02:28:34Z",2020,11,4,2,28,34,1604485714,240695,6,0.273,0.704
"edison","2020-11-04T02:28:45Z",2020,11,4,2,28,45,1604485725,243109,7,0.265,0.713
"edison","2020-11-04T02:30:54Z",2020,11,4,2,30,54,1604485854,250322,7,0.272,0.705
"edison","2020-11-04T02:32:08Z",2020,11,4,2,32,8,1604485928,276004,7,0.261,0.717
