"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:00:04Z",2020,11,4,10,0,4,1604512804,0,0,0,0
"edison","2020-11-04T01:09:14Z",2020,11,4,1,9,14,1604480954,36561,1,0.263,0.724
"edison","2020-11-04T01:13:29Z",2020,11,4,1,13,29,1604481209,38469,1,0.281,0.707
"edison","2020-11-04T01:13:52Z",2020,11,4,1,13,52,1604481232,54591,1,0.397,0.589
"edison","2020-11-04T01:20:24Z",2020,11,4,1,20,24,1604481624,65840,1,0.435,0.549
"edison","2020-11-04T01:20:50Z",2020,11,4,1,20,50,1604481650,134852,2,0.552,0.431
"edison","2020-11-04T01:22:30Z",2020,11,4,1,22,30,1604481750,136064,2,0.554,0.429
"edison","2020-11-04T01:25:54Z",2020,11,4,1,25,54,1604481954,189834,3,0.584,0.398
"edison","2020-11-04T01:26:24Z",2020,11,4,1,26,24,1604481984,198052,3,0.583,0.399
"edison","2020-11-04T01:28:36Z",2020,11,4,1,28,36,1604482116,216387,4,0.568,0.413
"edison","2020-11-04T01:28:51Z",2020,11,4,1,28,51,1604482131,232274,4,0.575,0.407
"edison","2020-11-04T01:32:32Z",2020,11,4,1,32,32,1604482352,232460,4,0.575,0.406
"edison","2020-11-04T01:32:51Z",2020,11,4,1,32,51,1604482371,254286,4,0.579,0.402
"edison","2020-11-04T01:37:59Z",2020,11,4,1,37,59,1604482679,257353,5,0.58,0.401
"edison","2020-11-04T01:39:31Z",2020,11,4,1,39,31,1604482771,284659,5,0.576,0.406
"edison","2020-11-04T01:39:54Z",2020,11,4,1,39,54,1604482794,285117,5,0.576,0.405
"edison","2020-11-04T01:40:08Z",2020,11,4,1,40,8,1604482808,285164,5,0.576,0.405
"edison","2020-11-04T01:41:08Z",2020,11,4,1,41,8,1604482868,285529,5,0.576,0.405
"edison","2020-11-04T01:43:02Z",2020,11,4,1,43,2,1604482982,289631,5,0.577,0.404
"edison","2020-11-04T01:43:16Z",2020,11,4,1,43,16,1604482996,392781,7,0.577,0.402
"edison","2020-11-04T01:43:27Z",2020,11,4,1,43,27,1604483007,404321,7,0.579,0.399
"edison","2020-11-04T01:43:55Z",2020,11,4,1,43,55,1604483035,433755,8,0.579,0.4
"edison","2020-11-04T01:46:03Z",2020,11,4,1,46,3,1604483163,435199,8,0.579,0.4
"edison","2020-11-04T01:46:50Z",2020,11,4,1,46,50,1604483210,439375,8,0.579,0.4
"edison","2020-11-04T01:48:02Z",2020,11,4,1,48,2,1604483282,477151,8,0.591,0.388
"edison","2020-11-04T01:50:30Z",2020,11,4,1,50,30,1604483430,498880,9,0.597,0.382
"edison","2020-11-04T01:51:17Z",2020,11,4,1,51,17,1604483477,550389,10,0.582,0.397
"edison","2020-11-04T01:51:26Z",2020,11,4,1,51,26,1604483486,573857,10,0.578,0.401
"edison","2020-11-04T01:51:52Z",2020,11,4,1,51,52,1604483512,574417,10,0.568,0.406
"edison","2020-11-04T01:53:23Z",2020,11,4,1,53,23,1604483603,641548,11,0.571,0.404
"edison","2020-11-04T01:55:13Z",2020,11,4,1,55,13,1604483713,663038,12,0.57,0.404
"edison","2020-11-04T01:56:48Z",2020,11,4,1,56,48,1604483808,663321,12,0.57,0.404
"edison","2020-11-04T01:57:38Z",2020,11,4,1,57,38,1604483858,671666,12,0.569,0.405
"edison","2020-11-04T01:58:41Z",2020,11,4,1,58,41,1604483921,702274,12,0.57,0.404
"edison","2020-11-04T01:59:28Z",2020,11,4,1,59,28,1604483968,702415,12,0.57,0.404
"edison","2020-11-04T02:01:11Z",2020,11,4,2,1,11,1604484071,876300,15,0.593,0.384
