"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_lewisj","vote_shares_smitht"
"edison","2020-11-04T09:57:04Z",2020,11,4,9,57,4,1604512624,0,0,0,0
"edison","2020-11-04T02:31:22Z",2020,11,4,2,31,22,1604485882,16345,0,0.503,0.409
"edison","2020-11-04T02:31:36Z",2020,11,4,2,31,36,1604485896,245423,7,0.288,0.648
"edison","2020-11-04T02:32:26Z",2020,11,4,2,32,26,1604485946,250625,7,0.293,0.643
"edison","2020-11-04T02:42:08Z",2020,11,4,2,42,8,1604486528,316106,9,0.329,0.603
"edison","2020-11-04T02:47:19Z",2020,11,4,2,47,19,1604486839,316387,9,0.329,0.603
"edison","2020-11-04T02:49:29Z",2020,11,4,2,49,29,1604486969,859820,25,0.322,0.605
"edison","2020-11-04T02:54:33Z",2020,11,4,2,54,33,1604487273,865987,25,0.323,0.605
"edison","2020-11-04T03:00:50Z",2020,11,4,3,0,50,1604487650,974195,29,0.338,0.587
"edison","2020-11-04T03:10:08Z",2020,11,4,3,10,8,1604488208,1092463,32,0.358,0.567
"edison","2020-11-04T03:21:57Z",2020,11,4,3,21,57,1604488917,1116780,33,0.361,0.564
"edison","2020-11-04T03:22:18Z",2020,11,4,3,22,18,1604488938,1122113,33,0.361,0.564
"edison","2020-11-04T03:32:00Z",2020,11,4,3,32,0,1604489520,1183918,35,0.365,0.559
"edison","2020-11-04T03:33:46Z",2020,11,4,3,33,46,1604489626,1189876,35,0.366,0.558
"edison","2020-11-04T03:42:53Z",2020,11,4,3,42,53,1604490173,1226799,36,0.37,0.554
"edison","2020-11-04T03:43:22Z",2020,11,4,3,43,22,1604490202,1239849,36,0.37,0.554
"edison","2020-11-04T03:51:14Z",2020,11,4,3,51,14,1604490674,1340023,39,0.382,0.542
"edison","2020-11-04T03:51:19Z",2020,11,4,3,51,19,1604490679,1350400,40,0.383,0.541
"edison","2020-11-04T03:51:42Z",2020,11,4,3,51,42,1604490702,1363170,40,0.384,0.54
"edison","2020-11-04T03:59:10Z",2020,11,4,3,59,10,1604491150,1438965,42,0.388,0.536
"edison","2020-11-04T04:11:41Z",2020,11,4,4,11,41,1604491901,1502604,44,0.392,0.531
