"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:00:43Z",2020,11,4,9,0,43,1604509243,0,0,0,0
"edison","2020-11-04T01:13:29Z",2020,11,4,1,13,29,1604481209,709,0,0.681,0.305
"edison","2020-11-04T01:16:15Z",2020,11,4,1,16,15,1604481375,1440,0,0.643,0.346
"edison","2020-11-04T01:23:50Z",2020,11,4,1,23,50,1604481830,2107,0,0.657,0.331
"edison","2020-11-04T01:25:39Z",2020,11,4,1,25,39,1604481939,3493,0,0.614,0.372
"edison","2020-11-04T01:26:22Z",2020,11,4,1,26,22,1604481982,5142,0,0.636,0.349
"edison","2020-11-04T01:28:30Z",2020,11,4,1,28,30,1604482110,10978,0,0.648,0.339
"edison","2020-11-04T01:29:03Z",2020,11,4,1,29,3,1604482143,12901,0,0.632,0.355
"edison","2020-11-04T01:31:53Z",2020,11,4,1,31,53,1604482313,13974,0,0.644,0.343
"edison","2020-11-04T01:34:57Z",2020,11,4,1,34,57,1604482497,14433,0,0.644,0.342
"edison","2020-11-04T01:38:07Z",2020,11,4,1,38,7,1604482687,14555,0,0.647,0.34
"edison","2020-11-04T01:38:54Z",2020,11,4,1,38,54,1604482734,17336,1,0.639,0.349
"edison","2020-11-04T01:39:24Z",2020,11,4,1,39,24,1604482764,18659,1,0.645,0.342
"edison","2020-11-04T01:39:54Z",2020,11,4,1,39,54,1604482794,20397,1,0.653,0.335
"edison","2020-11-04T01:41:20Z",2020,11,4,1,41,20,1604482880,73611,2,0.453,0.534
"edison","2020-11-04T01:44:33Z",2020,11,4,1,44,33,1604483073,75895,2,0.461,0.527
"edison","2020-11-04T01:46:24Z",2020,11,4,1,46,24,1604483184,76228,2,0.463,0.525
"edison","2020-11-04T01:46:50Z",2020,11,4,1,46,50,1604483210,77084,2,0.467,0.521
"edison","2020-11-04T01:47:01Z",2020,11,4,1,47,1,1604483221,79871,3,0.475,0.513
"edison","2020-11-04T01:49:47Z",2020,11,4,1,49,47,1604483387,80810,3,0.479,0.509
