"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T02:07:28Z",2020,11,4,2,7,28,1604484448,5883,1,0.512,0.459
"edison","2020-11-04T02:16:19Z",2020,11,4,2,16,19,1604484979,10648,1,0.534,0.438
"edison","2020-11-04T02:19:39Z",2020,11,4,2,19,39,1604485179,89257,9,0.598,0.38
"edison","2020-11-04T02:19:54Z",2020,11,4,2,19,54,1604485194,251344,27,0.475,0.505
"edison","2020-11-04T02:20:35Z",2020,11,4,2,20,35,1604485235,251975,27,0.474,0.503
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,258152,27,0.481,0.496
"edison","2020-11-04T02:27:48Z",2020,11,4,2,27,48,1604485668,268031,28,0.488,0.489
"edison","2020-11-04T02:32:26Z",2020,11,4,2,32,26,1604485946,268061,28,0.488,0.489
"edison","2020-11-04T02:35:26Z",2020,11,4,2,35,26,1604486126,269873,29,0.491,0.486
"edison","2020-11-04T02:43:06Z",2020,11,4,2,43,6,1604486586,291970,31,0.503,0.475
"edison","2020-11-04T02:44:24Z",2020,11,4,2,44,24,1604486664,292900,31,0.503,0.475
"edison","2020-11-04T02:44:55Z",2020,11,4,2,44,55,1604486695,296753,31,0.503,0.474
"edison","2020-11-04T02:48:46Z",2020,11,4,2,48,46,1604486926,304640,32,0.507,0.47
"edison","2020-11-04T02:54:26Z",2020,11,4,2,54,26,1604487266,342182,36,0.492,0.486
"edison","2020-11-04T02:57:02Z",2020,11,4,2,57,2,1604487422,350196,37,0.495,0.483
"edison","2020-11-04T02:59:38Z",2020,11,4,2,59,38,1604487578,350219,37,0.495,0.483
"edison","2020-11-04T03:00:18Z",2020,11,4,3,0,18,1604487618,353267,37,0.496,0.482
"edison","2020-11-04T03:03:33Z",2020,11,4,3,3,33,1604487813,363089,38,0.502,0.476
"edison","2020-11-04T03:06:01Z",2020,11,4,3,6,1,1604487961,363642,38,0.503,0.475
"edison","2020-11-04T03:08:01Z",2020,11,4,3,8,1,1604488081,368335,39,0.507,0.471
"edison","2020-11-04T03:08:42Z",2020,11,4,3,8,42,1604488122,371552,39,0.509,0.469
"edison","2020-11-04T03:11:48Z",2020,11,4,3,11,48,1604488308,372886,39,0.51,0.468
"edison","2020-11-04T03:16:18Z",2020,11,4,3,16,18,1604488578,372964,39,0.51,0.468
"edison","2020-11-04T03:51:19Z",2020,11,4,3,51,19,1604490679,422002,45,0.535,0.443
"edison","2020-11-04T03:52:31Z",2020,11,4,3,52,31,1604490751,489185,52,0.517,0.461
