"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_sasseb","vote_shares_janicekc"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T02:08:29Z",2020,11,4,2,8,29,1604484509,5713,1,0.613,0.254
"edison","2020-11-04T02:16:44Z",2020,11,4,2,16,44,1604485004,10352,1,0.624,0.24
"edison","2020-11-04T02:19:54Z",2020,11,4,2,19,54,1604485194,222467,24,0.607,0.329
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,225214,24,0.608,0.327
"edison","2020-11-04T02:23:11Z",2020,11,4,2,23,11,1604485391,228124,24,0.611,0.324
"edison","2020-11-04T02:27:47Z",2020,11,4,2,27,47,1604485667,237300,25,0.616,0.319
"edison","2020-11-04T02:31:37Z",2020,11,4,2,31,37,1604485897,243314,26,0.601,0.311
"edison","2020-11-04T02:32:54Z",2020,11,4,2,32,54,1604485974,243629,26,0.6,0.31
"edison","2020-11-04T02:35:25Z",2020,11,4,2,35,25,1604486125,245353,26,0.602,0.309
"edison","2020-11-04T02:37:49Z",2020,11,4,2,37,49,1604486269,249697,26,0.604,0.307
"edison","2020-11-04T02:38:51Z",2020,11,4,2,38,51,1604486331,266835,28,0.613,0.301
"edison","2020-11-04T02:40:29Z",2020,11,4,2,40,29,1604486429,271274,29,0.614,0.3
"edison","2020-11-04T02:44:02Z",2020,11,4,2,44,2,1604486642,271811,29,0.613,0.3
"edison","2020-11-04T02:45:51Z",2020,11,4,2,45,51,1604486751,271996,29,0.613,0.3
"edison","2020-11-04T02:48:47Z",2020,11,4,2,48,47,1604486927,279377,30,0.616,0.297
"edison","2020-11-04T02:54:25Z",2020,11,4,2,54,25,1604487265,309477,33,0.609,0.306
"edison","2020-11-04T02:55:21Z",2020,11,4,2,55,21,1604487321,310481,33,0.61,0.305
"edison","2020-11-04T02:57:00Z",2020,11,4,2,57,0,1604487420,311700,33,0.611,0.304
"edison","2020-11-04T02:59:24Z",2020,11,4,2,59,24,1604487564,312455,33,0.609,0.304
"edison","2020-11-04T03:00:18Z",2020,11,4,3,0,18,1604487618,320209,34,0.611,0.303
"edison","2020-11-04T03:00:36Z",2020,11,4,3,0,36,1604487636,320730,34,0.61,0.302
"edison","2020-11-04T03:03:27Z",2020,11,4,3,3,27,1604487807,324829,34,0.612,0.301
"edison","2020-11-04T03:05:34Z",2020,11,4,3,5,34,1604487934,329307,35,0.616,0.299
"edison","2020-11-04T03:06:37Z",2020,11,4,3,6,37,1604487997,329840,35,0.616,0.299
