"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:41Z",2020,11,4,8,4,41,1604505881,0,0,0,0
"edison","2020-11-04T04:53:10Z",2020,11,4,4,53,10,1604494390,411,0,0.91,0.075
"edison","2020-11-04T05:02:47Z",2020,11,4,5,2,47,1604494967,4588,0,0.787,0.189
"edison","2020-11-04T05:29:51Z",2020,11,4,5,29,51,1604496591,16783,1,0.746,0.222
"edison","2020-11-04T05:40:54Z",2020,11,4,5,40,54,1604497254,24581,2,0.75,0.22
"edison","2020-11-04T05:46:13Z",2020,11,4,5,46,13,1604497573,42577,3,0.763,0.209
"edison","2020-11-04T05:49:45Z",2020,11,4,5,49,45,1604497785,65559,5,0.734,0.239
"edison","2020-11-04T06:23:22Z",2020,11,4,6,23,22,1604499802,92907,7,0.678,0.295
"edison","2020-11-04T06:32:49Z",2020,11,4,6,32,49,1604500369,817380,59,0.468,0.515
"edison","2020-11-04T06:35:22Z",2020,11,4,6,35,22,1604500522,1031716,74,0.465,0.516
"edison","2020-11-04T06:44:49Z",2020,11,4,6,44,49,1604501089,1037092,74,0.467,0.514
"edison","2020-11-04T06:48:01Z",2020,11,4,6,48,1,1604501281,1039324,75,0.468,0.514
"edison","2020-11-04T06:50:19Z",2020,11,4,6,50,19,1604501419,1067662,77,0.472,0.509
"edison","2020-11-04T06:51:05Z",2020,11,4,6,51,5,1604501465,1072701,77,0.473,0.508
"edison","2020-11-04T06:51:49Z",2020,11,4,6,51,49,1604501509,1081263,78,0.476,0.505
"edison","2020-11-04T06:54:56Z",2020,11,4,6,54,56,1604501696,1090777,78,0.477,0.504
"edison","2020-11-04T07:07:53Z",2020,11,4,7,7,53,1604502473,1091308,78,0.477,0.504
"edison","2020-11-04T07:44:00Z",2020,11,4,7,44,0,1604504640,1093605,78,0.478,0.503
"edison","2020-11-04T07:47:53Z",2020,11,4,7,47,53,1604504873,1095189,79,0.478,0.503
"edison","2020-11-04T08:59:16Z",2020,11,4,8,59,16,1604509156,1103031,79,0.479,0.502
"edison","2020-11-04T10:20:55Z",2020,11,4,10,20,55,1604514055,1187419,85,0.485,0.495
"edison","2020-11-04T10:26:39Z",2020,11,4,10,26,39,1604514399,1190267,85,0.486,0.494
"edison","2020-11-04T10:45:08Z",2020,11,4,10,45,8,1604515508,1192915,86,0.487,0.493
"edison","2020-11-05T17:08:20Z",2020,11,5,17,8,20,1604624900,1207200,87,0.485,0.495
"edison","2020-11-05T17:15:03Z",2020,11,5,17,15,3,1604625303,1208195,87,0.485,0.495
"edison","2020-11-05T17:18:00Z",2020,11,5,17,18,0,1604625480,1209206,87,0.485,0.495
"edison","2020-11-05T17:20:46Z",2020,11,5,17,20,46,1604625646,1209214,87,0.485,0.495
"edison","2020-11-05T17:28:58Z",2020,11,5,17,28,58,1604626138,1221403,88,0.485,0.494
"edison","2020-11-05T18:02:27Z",2020,11,5,18,2,27,1604628147,1222316,88,0.485,0.494
