"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:01:23Z",2020,11,4,9,1,23,1604509283,0,0,0,0
"edison","2020-11-04T01:22:53Z",2020,11,4,1,22,53,1604481773,41777,1,0.469,0.511
"edison","2020-11-04T01:24:17Z",2020,11,4,1,24,17,1604481857,143654,3,0.311,0.676
"edison","2020-11-04T01:30:45Z",2020,11,4,1,30,45,1604482245,292971,7,0.391,0.594
"edison","2020-11-04T01:35:37Z",2020,11,4,1,35,37,1604482537,562859,13,0.499,0.486
"edison","2020-11-04T01:40:07Z",2020,11,4,1,40,7,1604482807,677369,15,0.491,0.494
"edison","2020-11-04T01:43:51Z",2020,11,4,1,43,51,1604483031,703447,16,0.493,0.492
"edison","2020-11-04T01:56:46Z",2020,11,4,1,56,46,1604483806,967776,22,0.416,0.571
"edison","2020-11-04T01:59:17Z",2020,11,4,1,59,17,1604483957,1017118,23,0.424,0.564
"edison","2020-11-04T01:59:32Z",2020,11,4,1,59,32,1604483972,1188646,26,0.396,0.592
"edison","2020-11-04T02:11:32Z",2020,11,4,2,11,32,1604484692,1290434,29,0.397,0.591
"edison","2020-11-04T02:15:30Z",2020,11,4,2,15,30,1604484930,1323034,29,0.4,0.587
"edison","2020-11-04T02:15:52Z",2020,11,4,2,15,52,1604484952,1323035,29,0.4,0.587
"edison","2020-11-04T02:27:21Z",2020,11,4,2,27,21,1604485641,1323124,29,0.4,0.587
"edison","2020-11-04T02:27:48Z",2020,11,4,2,27,48,1604485668,1501735,33,0.394,0.593
"edison","2020-11-04T02:28:26Z",2020,11,4,2,28,26,1604485706,1649532,37,0.383,0.604
"edison","2020-11-04T02:30:41Z",2020,11,4,2,30,41,1604485841,2023210,45,0.423,0.564
"edison","2020-11-04T02:32:09Z",2020,11,4,2,32,9,1604485929,2202470,49,0.424,0.563
"edison","2020-11-04T02:34:10Z",2020,11,4,2,34,10,1604486050,2415974,54,0.416,0.572
"edison","2020-11-04T02:42:47Z",2020,11,4,2,42,47,1604486567,2416148,54,0.416,0.572
"edison","2020-11-04T02:43:06Z",2020,11,4,2,43,6,1604486586,2433667,54,0.415,0.572
"edison","2020-11-04T02:45:28Z",2020,11,4,2,45,28,1604486728,2433694,54,0.415,0.572
"edison","2020-11-04T02:51:37Z",2020,11,4,2,51,37,1604487097,2433695,54,0.415,0.572
"edison","2020-11-04T02:59:01Z",2020,11,4,2,59,1,1604487541,2545398,57,0.414,0.573
"edison","2020-11-04T03:00:48Z",2020,11,4,3,0,48,1604487648,2545443,57,0.414,0.573
"edison","2020-11-04T03:03:29Z",2020,11,4,3,3,29,1604487809,2566288,57,0.413,0.574
"edison","2020-11-04T03:17:31Z",2020,11,4,3,17,31,1604488651,2566563,57,0.413,0.574
"edison","2020-11-04T03:21:03Z",2020,11,4,3,21,3,1604488863,2566724,57,0.413,0.574
"edison","2020-11-04T03:25:44Z",2020,11,4,3,25,44,1604489144,2566724,57,0.382,0.605
"edison","2020-11-04T03:45:44Z",2020,11,4,3,45,44,1604490344,2566771,57,0.382,0.605
"edison","2020-11-04T04:14:17Z",2020,11,4,4,14,17,1604492057,2705588,60,0.376,0.611
"edison","2020-11-04T04:20:22Z",2020,11,4,4,20,22,1604492422,2717342,60,0.377,0.61
"edison","2020-11-04T04:25:36Z",2020,11,4,4,25,36,1604492736,2745701,61,0.378,0.609
"edison","2020-11-04T04:26:30Z",2020,11,4,4,26,30,1604492790,2745745,61,0.378,0.609
"edison","2020-11-04T04:33:22Z",2020,11,4,4,33,22,1604493202,2748053,61,0.379,0.608
"edison","2020-11-04T04:56:14Z",2020,11,4,4,56,14,1604494574,2748064,61,0.379,0.608
