"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_bookerc","vote_shares_mehtar"
"edison","2020-11-04T09:04:43Z",2020,11,4,9,4,43,1604509483,0,0,0,0
"edison","2020-11-04T01:24:14Z",2020,11,4,1,24,14,1604481854,41035,1,0.488,0.488
"edison","2020-11-04T01:25:13Z",2020,11,4,1,25,13,1604481913,141310,3,0.665,0.319
"edison","2020-11-04T01:31:45Z",2020,11,4,1,31,45,1604482305,288060,6,0.589,0.394
"edison","2020-11-04T01:31:45Z",2020,11,4,1,31,45,1604482305,288060,6,0.589,0.394
"edison","2020-11-04T01:36:59Z",2020,11,4,1,36,59,1604482619,548591,12,0.485,0.499
"edison","2020-11-04T01:40:39Z",2020,11,4,1,40,39,1604482839,659743,15,0.493,0.491
"edison","2020-11-04T01:44:51Z",2020,11,4,1,44,51,1604483091,685506,15,0.491,0.492
"edison","2020-11-04T01:58:49Z",2020,11,4,1,58,49,1604483929,942363,21,0.57,0.414
"edison","2020-11-04T02:00:53Z",2020,11,4,2,0,53,1604484053,1108264,25,0.599,0.384
"edison","2020-11-04T02:01:41Z",2020,11,4,2,1,41,1604484101,1207311,27,0.596,0.387
"edison","2020-11-04T02:02:21Z",2020,11,4,2,2,21,1604484141,1207371,27,0.596,0.387
"edison","2020-11-04T02:12:08Z",2020,11,4,2,12,8,1604484728,1207434,27,0.596,0.387
"edison","2020-11-04T02:14:35Z",2020,11,4,2,14,35,1604484875,1254849,28,0.59,0.393
"edison","2020-11-04T02:15:54Z",2020,11,4,2,15,54,1604484954,1254850,28,0.59,0.393
"edison","2020-11-04T02:16:14Z",2020,11,4,2,16,14,1604484974,1286869,29,0.586,0.397
"edison","2020-11-04T02:28:25Z",2020,11,4,2,28,25,1604485705,1432915,32,0.599,0.384
"edison","2020-11-04T02:28:49Z",2020,11,4,2,28,49,1604485729,1607431,36,0.602,0.382
"edison","2020-11-04T02:31:37Z",2020,11,4,2,31,37,1604485897,1972181,44,0.602,0.382
"edison","2020-11-04T02:33:01Z",2020,11,4,2,33,1,1604485981,2148715,48,0.597,0.387
"edison","2020-11-04T02:33:27Z",2020,11,4,2,33,27,1604486007,2284138,51,0.603,0.381
"edison","2020-11-04T02:34:12Z",2020,11,4,2,34,12,1604486052,2284142,51,0.603,0.381
