"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:21Z",2020,11,4,8,4,21,1604505861,0,0,0,0
"edison","2020-11-04T00:24:22Z",2020,11,4,0,24,22,1604478262,15,0,0.933,0.067
"edison","2020-11-04T00:30:48Z",2020,11,4,0,30,48,1604478648,0,0,0,0
"edison","2020-11-04T00:44:21Z",2020,11,4,0,44,21,1604479461,363,0,0.766,0.234
"edison","2020-11-04T00:44:48Z",2020,11,4,0,44,48,1604479488,618,0,0.629,0.371
"edison","2020-11-04T01:18:50Z",2020,11,4,1,18,50,1604481530,2687918,45,0.428,0.562
"edison","2020-11-04T01:20:12Z",2020,11,4,1,20,12,1604481612,3289832,55,0.431,0.558
"edison","2020-11-04T01:23:24Z",2020,11,4,1,23,24,1604481804,3542888,60,0.448,0.541
"edison","2020-11-04T01:26:21Z",2020,11,4,1,26,21,1604481981,3556494,60,0.449,0.54
"edison","2020-11-04T01:26:40Z",2020,11,4,1,26,40,1604482000,3556515,60,0.449,0.54
"edison","2020-11-04T01:28:47Z",2020,11,4,1,28,47,1604482127,3556561,60,0.449,0.54
"edison","2020-11-04T01:29:09Z",2020,11,4,1,29,9,1604482149,3659190,62,0.449,0.539
"edison","2020-11-04T01:29:47Z",2020,11,4,1,29,47,1604482187,3659255,62,0.449,0.539
"edison","2020-11-04T01:32:13Z",2020,11,4,1,32,13,1604482333,3861173,65,0.458,0.531
"edison","2020-11-04T01:33:45Z",2020,11,4,1,33,45,1604482425,3861199,65,0.458,0.531
"edison","2020-11-04T01:35:13Z",2020,11,4,1,35,13,1604482513,3912908,66,0.459,0.53
"edison","2020-11-04T01:38:11Z",2020,11,4,1,38,11,1604482691,3932585,66,0.461,0.528
"edison","2020-11-04T01:38:29Z",2020,11,4,1,38,29,1604482709,3932957,66,0.461,0.528
"edison","2020-11-04T01:39:32Z",2020,11,4,1,39,32,1604482772,3934623,66,0.461,0.528
"edison","2020-11-04T01:40:24Z",2020,11,4,1,40,24,1604482824,3934670,66,0.461,0.528
"edison","2020-11-04T01:41:13Z",2020,11,4,1,41,13,1604482873,3985448,67,0.463,0.526
"edison","2020-11-04T01:43:23Z",2020,11,4,1,43,23,1604483003,3985506,67,0.463,0.526
"edison","2020-11-04T01:44:13Z",2020,11,4,1,44,13,1604483053,4005782,68,0.464,0.525
"edison","2020-11-04T01:45:19Z",2020,11,4,1,45,19,1604483119,4020983,68,0.465,0.524
"edison","2020-11-04T01:46:13Z",2020,11,4,1,46,13,1604483173,4021020,68,0.465,0.524
"edison","2020-11-04T01:48:15Z",2020,11,4,1,48,15,1604483295,4128066,70,0.468,0.521
"edison","2020-11-04T01:52:20Z",2020,11,4,1,52,20,1604483540,4258113,72,0.47,0.519
"edison","2020-11-04T01:55:15Z",2020,11,4,1,55,15,1604483715,4309844,73,0.472,0.517
"edison","2020-11-04T01:56:55Z",2020,11,4,1,56,55,1604483815,4309980,73,0.472,0.517
"edison","2020-11-04T01:58:14Z",2020,11,4,1,58,14,1604483894,4309993,73,0.472,0.517
"edison","2020-11-04T01:59:09Z",2020,11,4,1,59,9,1604483949,4359496,74,0.475,0.514
"edison","2020-11-04T02:02:28Z",2020,11,4,2,2,28,1604484148,4432053,75,0.477,0.511
"edison","2020-11-04T02:04:27Z",2020,11,4,2,4,27,1604484267,4432086,75,0.477,0.511
"edison","2020-11-04T02:06:18Z",2020,11,4,2,6,18,1604484378,4537247,77,0.479,0.51
"edison","2020-11-04T02:07:07Z",2020,11,4,2,7,7,1604484427,4537318,77,0.479,0.51
"edison","2020-11-04T02:08:40Z",2020,11,4,2,8,40,1604484520,4539788,77,0.479,0.51
"edison","2020-11-04T02:10:12Z",2020,11,4,2,10,12,1604484612,4539820,77,0.479,0.51
