"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_tillist","vote_shares_cunninghamc"
"edison","2020-11-04T07:59:41Z",2020,11,4,7,59,41,1604505581,0,0,0,0
"edison","2020-11-04T00:24:40Z",2020,11,4,0,24,40,1604478280,15,0,0.933,0.067
"edison","2020-11-04T00:37:10Z",2020,11,4,0,37,10,1604479030,0,0,0,0
"edison","2020-11-04T00:44:38Z",2020,11,4,0,44,38,1604479478,355,0,0.811,0.189
"edison","2020-11-04T00:45:04Z",2020,11,4,0,45,4,1604479504,595,0,0.655,0.345
"edison","2020-11-04T01:20:12Z",2020,11,4,1,20,12,1604481612,664444,11,0.454,0.507
"edison","2020-11-04T01:23:14Z",2020,11,4,1,23,14,1604481794,1060911,18,0.521,0.439
"edison","2020-11-04T01:24:15Z",2020,11,4,1,24,15,1604481855,1552834,26,0.456,0.504
"edison","2020-11-04T01:26:10Z",2020,11,4,1,26,10,1604481970,1652339,28,0.46,0.5
"edison","2020-11-04T01:26:50Z",2020,11,4,1,26,50,1604482010,3528929,60,0.441,0.519
"edison","2020-11-04T01:27:21Z",2020,11,4,1,27,21,1604482041,3533322,60,0.442,0.518
"edison","2020-11-04T01:29:14Z",2020,11,4,1,29,14,1604482154,3635309,61,0.442,0.518
"edison","2020-11-04T01:32:14Z",2020,11,4,1,32,14,1604482334,3835488,65,0.45,0.51
"edison","2020-11-04T01:35:13Z",2020,11,4,1,35,13,1604482513,3888255,66,0.451,0.509
"edison","2020-11-04T01:38:11Z",2020,11,4,1,38,11,1604482691,3907812,66,0.452,0.508
"edison","2020-11-04T01:41:13Z",2020,11,4,1,41,13,1604482873,3958268,67,0.453,0.506
"edison","2020-11-04T01:44:13Z",2020,11,4,1,44,13,1604483053,3978343,67,0.455,0.505
"edison","2020-11-04T01:46:35Z",2020,11,4,1,46,35,1604483195,3993378,67,0.456,0.504
"edison","2020-11-04T01:48:15Z",2020,11,4,1,48,15,1604483295,4099606,69,0.458,0.502
