"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T07:02:20Z",2020,11,4,7,2,20,1604502140,0,0,0,0
"edison","2020-11-04T01:12:18Z",2020,11,4,1,12,18,1604481138,31010,2,0.757,0.229
"edison","2020-11-04T01:12:56Z",2020,11,4,1,12,56,1604481176,48564,3,0.667,0.318
"edison","2020-11-04T01:13:20Z",2020,11,4,1,13,20,1604481200,111687,7,0.622,0.363
"edison","2020-11-04T01:15:56Z",2020,11,4,1,15,56,1604481356,116084,7,0.618,0.367
"edison","2020-11-04T01:16:56Z",2020,11,4,1,16,56,1604481416,125570,8,0.615,0.369
"edison","2020-11-04T01:17:55Z",2020,11,4,1,17,55,1604481475,136836,8,0.615,0.368
"edison","2020-11-04T01:19:57Z",2020,11,4,1,19,57,1604481597,143268,9,0.618,0.366
"edison","2020-11-04T01:20:57Z",2020,11,4,1,20,57,1604481657,144352,9,0.618,0.366
"edison","2020-11-04T01:21:57Z",2020,11,4,1,21,57,1604481717,149107,9,0.62,0.364
"edison","2020-11-04T01:23:56Z",2020,11,4,1,23,56,1604481836,155203,10,0.616,0.368
"edison","2020-11-04T01:24:58Z",2020,11,4,1,24,58,1604481898,171978,11,0.622,0.362
"edison","2020-11-04T01:25:56Z",2020,11,4,1,25,56,1604481956,186564,11,0.623,0.36
"edison","2020-11-04T01:27:59Z",2020,11,4,1,27,59,1604482079,192491,12,0.628,0.356
"edison","2020-11-04T01:29:02Z",2020,11,4,1,29,2,1604482142,213939,13,0.627,0.356
"edison","2020-11-04T01:29:57Z",2020,11,4,1,29,57,1604482197,221533,14,0.626,0.357
"edison","2020-11-04T01:31:58Z",2020,11,4,1,31,58,1604482318,328852,20,0.538,0.444
"edison","2020-11-04T01:32:58Z",2020,11,4,1,32,58,1604482378,332408,20,0.541,0.441
"edison","2020-11-04T01:33:58Z",2020,11,4,1,33,58,1604482438,339031,21,0.544,0.438
"edison","2020-11-04T01:35:01Z",2020,11,4,1,35,1,1604482501,345548,21,0.547,0.434
"edison","2020-11-04T01:36:59Z",2020,11,4,1,36,59,1604482619,349489,21,0.549,0.433
"edison","2020-11-04T01:37:59Z",2020,11,4,1,37,59,1604482679,353986,22,0.551,0.43
"edison","2020-11-04T01:38:59Z",2020,11,4,1,38,59,1604482739,358196,22,0.554,0.427
"edison","2020-11-04T01:40:58Z",2020,11,4,1,40,58,1604482858,409202,25,0.53,0.451
"edison","2020-11-04T01:41:59Z",2020,11,4,1,41,59,1604482919,416416,26,0.534,0.447
"edison","2020-11-04T01:43:01Z",2020,11,4,1,43,1,1604482981,442466,27,0.533,0.448
"edison","2020-11-04T01:44:58Z",2020,11,4,1,44,58,1604483098,448452,28,0.536,0.445
"edison","2020-11-04T01:46:03Z",2020,11,4,1,46,3,1604483163,473619,29,0.539,0.442
"edison","2020-11-04T01:47:01Z",2020,11,4,1,47,1,1604483221,485087,30,0.542,0.438
"edison","2020-11-04T01:49:01Z",2020,11,4,1,49,1,1604483341,495591,30,0.548,0.432
"edison","2020-11-04T01:49:59Z",2020,11,4,1,49,59,1604483399,508541,31,0.55,0.43
"edison","2020-11-04T01:51:05Z",2020,11,4,1,51,5,1604483465,535641,33,0.553,0.427
"edison","2020-11-04T01:52:59Z",2020,11,4,1,52,59,1604483579,549694,34,0.557,0.422
"edison","2020-11-04T01:54:00Z",2020,11,4,1,54,0,1604483640,560325,34,0.561,0.419
"edison","2020-11-04T01:55:04Z",2020,11,4,1,55,4,1604483704,576581,35,0.565,0.414
"edison","2020-11-04T01:57:03Z",2020,11,4,1,57,3,1604483823,591858,36,0.569,0.41
"edison","2020-11-04T01:58:01Z",2020,11,4,1,58,1,1604483881,602808,37,0.574,0.406
"edison","2020-11-04T01:58:55Z",2020,11,4,1,58,55,1604483935,610479,37,0.574,0.405
"edison","2020-11-04T01:59:04Z",2020,11,4,1,59,4,1604483944,625380,38,0.58,0.4
