"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:24Z",2020,11,4,10,1,24,1604512884,0,0,0,0
"edison","2020-11-04T04:07:31Z",2020,11,4,4,7,31,1604491651,29562,1,0.404,0.574
"edison","2020-11-04T04:09:48Z",2020,11,4,4,9,48,1604491788,423330,19,0.183,0.793
"edison","2020-11-04T04:11:37Z",2020,11,4,4,11,37,1604491897,543126,24,0.253,0.722
"edison","2020-11-04T04:13:25Z",2020,11,4,4,13,25,1604492005,670062,29,0.293,0.682
"edison","2020-11-04T04:13:51Z",2020,11,4,4,13,51,1604492031,674636,30,0.296,0.679
"edison","2020-11-04T04:14:58Z",2020,11,4,4,14,58,1604492098,678445,30,0.299,0.676
"edison","2020-11-04T04:19:14Z",2020,11,4,4,19,14,1604492354,679445,30,0.3,0.675
"edison","2020-11-04T04:20:21Z",2020,11,4,4,20,21,1604492421,890397,39,0.314,0.659
"edison","2020-11-04T04:23:42Z",2020,11,4,4,23,42,1604492622,940337,41,0.312,0.661
"edison","2020-11-04T04:23:51Z",2020,11,4,4,23,51,1604492631,990159,43,0.329,0.644
"edison","2020-11-04T04:23:59Z",2020,11,4,4,23,59,1604492639,1027591,45,0.335,0.638
"edison","2020-11-04T04:24:19Z",2020,11,4,4,24,19,1604492659,1209147,53,0.342,0.631
"edison","2020-11-04T04:25:23Z",2020,11,4,4,25,23,1604492723,1214179,53,0.343,0.63
"edison","2020-11-04T04:29:07Z",2020,11,4,4,29,7,1604492947,1228669,54,0.346,0.627
"edison","2020-11-04T04:30:35Z",2020,11,4,4,30,35,1604493035,1902602,83,0.385,0.59
"edison","2020-11-04T04:36:25Z",2020,11,4,4,36,25,1604493385,1902668,83,0.385,0.59
"edison","2020-11-04T04:37:19Z",2020,11,4,4,37,19,1604493439,1903754,83,0.385,0.589
"edison","2020-11-04T04:37:37Z",2020,11,4,4,37,37,1604493457,1903823,83,0.385,0.589
"edison","2020-11-04T04:40:07Z",2020,11,4,4,40,7,1604493607,1906803,83,0.385,0.588
"edison","2020-11-04T04:43:33Z",2020,11,4,4,43,33,1604493813,1955038,86,0.39,0.583
"edison","2020-11-04T05:01:34Z",2020,11,4,5,1,34,1604494894,1969724,86,0.391,0.583
"edison","2020-11-04T05:05:30Z",2020,11,4,5,5,30,1604495130,1971636,86,0.39,0.583
"edison","2020-11-04T05:16:37Z",2020,11,4,5,16,37,1604495797,1976089,86,0.391,0.582
"edison","2020-11-04T05:33:19Z",2020,11,4,5,33,19,1604496799,1979771,87,0.391,0.582
"edison","2020-11-04T05:34:36Z",2020,11,4,5,34,36,1604496876,1979815,87,0.391,0.582
"edison","2020-11-04T05:43:41Z",2020,11,4,5,43,41,1604497421,2001437,88,0.389,0.583
"edison","2020-11-04T05:47:07Z",2020,11,4,5,47,7,1604497627,2002432,88,0.39,0.583
"edison","2020-11-04T06:02:17Z",2020,11,4,6,2,17,1604498537,2013330,88,0.39,0.583
"edison","2020-11-04T06:15:50Z",2020,11,4,6,15,50,1604499350,2018188,88,0.39,0.582
"edison","2020-11-04T06:28:26Z",2020,11,4,6,28,26,1604500106,2018935,88,0.39,0.582
"edison","2020-11-04T06:30:53Z",2020,11,4,6,30,53,1604500253,2029375,89,0.392,0.581
"edison","2020-11-04T06:31:54Z",2020,11,4,6,31,54,1604500314,2031155,89,0.391,0.581
"edison","2020-11-04T06:46:21Z",2020,11,4,6,46,21,1604501181,2031251,89,0.391,0.581
"edison","2020-11-04T06:51:57Z",2020,11,4,6,51,57,1604501517,2038238,89,0.392,0.58
"edison","2020-11-04T06:59:53Z",2020,11,4,6,59,53,1604501993,2056346,90,0.393,0.579
"edison","2020-11-04T07:00:40Z",2020,11,4,7,0,40,1604502040,2059948,90,0.394,0.578
"edison","2020-11-04T07:20:55Z",2020,11,4,7,20,55,1604503255,2073767,91,0.393,0.579
