"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:00:04Z",2020,11,4,10,0,4,1604512804,0,0,0,0
"edison","2020-11-04T01:06:57Z",2020,11,4,1,6,57,1604480817,56598,2,0.724,0.264
"edison","2020-11-04T01:07:57Z",2020,11,4,1,7,57,1604480877,76207,3,0.73,0.258
"edison","2020-11-04T01:09:05Z",2020,11,4,1,9,5,1604480945,101623,3,0.734,0.255
"edison","2020-11-04T01:10:00Z",2020,11,4,1,10,0,1604481000,124565,4,0.737,0.252
"edison","2020-11-04T01:10:57Z",2020,11,4,1,10,57,1604481057,130377,4,0.739,0.25
"edison","2020-11-04T01:12:05Z",2020,11,4,1,12,5,1604481125,140712,5,0.743,0.246
"edison","2020-11-04T01:12:57Z",2020,11,4,1,12,57,1604481177,149743,5,0.744,0.246
"edison","2020-11-04T01:13:58Z",2020,11,4,1,13,58,1604481238,186335,6,0.751,0.237
"edison","2020-11-04T01:14:57Z",2020,11,4,1,14,57,1604481297,195425,7,0.752,0.237
"edison","2020-11-04T01:15:38Z",2020,11,4,1,15,38,1604481338,211957,7,0.747,0.241
"edison","2020-11-04T01:15:59Z",2020,11,4,1,15,59,1604481359,253249,9,0.723,0.266
"edison","2020-11-04T01:16:56Z",2020,11,4,1,16,56,1604481416,253685,9,0.722,0.266
"edison","2020-11-04T01:18:58Z",2020,11,4,1,18,58,1604481538,293180,10,0.721,0.267
"edison","2020-11-04T01:19:57Z",2020,11,4,1,19,57,1604481597,325756,11,0.721,0.267
"edison","2020-11-04T01:20:59Z",2020,11,4,1,20,59,1604481659,353145,12,0.724,0.264
"edison","2020-11-04T01:21:41Z",2020,11,4,1,21,41,1604481701,353196,12,0.724,0.264
"edison","2020-11-04T01:22:55Z",2020,11,4,1,22,55,1604481775,359805,12,0.727,0.262
"edison","2020-11-04T01:23:58Z",2020,11,4,1,23,58,1604481838,401106,14,0.725,0.263
"edison","2020-11-04T01:24:56Z",2020,11,4,1,24,56,1604481896,406564,14,0.726,0.262
"edison","2020-11-04T01:25:57Z",2020,11,4,1,25,57,1604481957,420639,14,0.727,0.261
"edison","2020-11-04T01:26:57Z",2020,11,4,1,26,57,1604482017,428544,15,0.727,0.26
"edison","2020-11-04T01:27:02Z",2020,11,4,1,27,2,1604482022,428563,15,0.727,0.26
"edison","2020-11-04T01:27:57Z",2020,11,4,1,27,57,1604482077,476993,16,0.727,0.261
"edison","2020-11-04T01:28:55Z",2020,11,4,1,28,55,1604482135,477602,16,0.727,0.26
"edison","2020-11-04T01:29:23Z",2020,11,4,1,29,23,1604482163,478332,16,0.727,0.26
"edison","2020-11-04T01:29:58Z",2020,11,4,1,29,58,1604482198,478627,16,0.727,0.26
"edison","2020-11-04T01:30:56Z",2020,11,4,1,30,56,1604482256,489286,17,0.726,0.261
"edison","2020-11-04T01:32:00Z",2020,11,4,1,32,0,1604482320,547224,19,0.728,0.259
"edison","2020-11-04T01:33:19Z",2020,11,4,1,33,19,1604482399,657641,23,0.684,0.303
"edison","2020-11-04T01:33:56Z",2020,11,4,1,33,56,1604482436,658588,23,0.684,0.303
"edison","2020-11-04T01:34:11Z",2020,11,4,1,34,11,1604482451,687002,24,0.684,0.303
"edison","2020-11-04T01:34:56Z",2020,11,4,1,34,56,1604482496,687581,24,0.684,0.303
"edison","2020-11-04T01:36:01Z",2020,11,4,1,36,1,1604482561,688291,24,0.684,0.303
"edison","2020-11-04T01:36:57Z",2020,11,4,1,36,57,1604482617,692557,24,0.685,0.302
"edison","2020-11-04T01:37:58Z",2020,11,4,1,37,58,1604482678,693711,24,0.685,0.302
"edison","2020-11-04T01:38:58Z",2020,11,4,1,38,58,1604482738,726660,25,0.689,0.298
"edison","2020-11-04T01:40:55Z",2020,11,4,1,40,55,1604482855,749878,26,0.691,0.295
"edison","2020-11-04T01:41:56Z",2020,11,4,1,41,56,1604482916,751010,26,0.692,0.295
"edison","2020-11-04T01:49:58Z",2020,11,4,1,49,58,1604483398,962272,33,0.681,0.305
"edison","2020-11-04T01:50:18Z",2020,11,4,1,50,18,1604483418,962296,33,0.681,0.305
"edison","2020-11-04T01:50:58Z",2020,11,4,1,50,58,1604483458,964885,33,0.681,0.305
"edison","2020-11-04T01:52:04Z",2020,11,4,1,52,4,1604483524,1023089,35,0.686,0.3
"edison","2020-11-04T01:52:58Z",2020,11,4,1,52,58,1604483578,1034509,36,0.687,0.299
"edison","2020-11-04T01:54:03Z",2020,11,4,1,54,3,1604483643,1304815,45,0.612,0.372
"edison","2020-11-04T01:54:58Z",2020,11,4,1,54,58,1604483698,1323620,45,0.615,0.369
"edison","2020-11-04T01:55:09Z",2020,11,4,1,55,9,1604483709,1323638,45,0.615,0.369
"edison","2020-11-04T01:55:56Z",2020,11,4,1,55,56,1604483756,1329596,46,0.616,0.368
"edison","2020-11-04T01:56:24Z",2020,11,4,1,56,24,1604483784,1330670,46,0.616,0.367
"edison","2020-11-04T01:57:01Z",2020,11,4,1,57,1,1604483821,1335678,46,0.617,0.367
"edison","2020-11-04T01:57:10Z",2020,11,4,1,57,10,1604483830,1335738,46,0.617,0.367
"edison","2020-11-04T01:57:57Z",2020,11,4,1,57,57,1604483877,1339476,46,0.617,0.366
"edison","2020-11-04T02:10:47Z",2020,11,4,2,10,47,1604484647,1649153,57,0.619,0.364
"edison","2020-11-04T02:13:20Z",2020,11,4,2,13,20,1604484800,1694533,58,0.623,0.36
"edison","2020-11-04T02:13:48Z",2020,11,4,2,13,48,1604484828,1694556,58,0.623,0.36
"edison","2020-11-04T02:19:16Z",2020,11,4,2,19,16,1604485156,1769819,61,0.622,0.36
"edison","2020-11-04T02:19:55Z",2020,11,4,2,19,55,1604485195,1778177,61,0.623,0.36
"edison","2020-11-04T02:22:04Z",2020,11,4,2,22,4,1604485324,1794686,62,0.624,0.358
"edison","2020-11-04T02:22:26Z",2020,11,4,2,22,26,1604485346,1796670,62,0.624,0.358
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,1797031,62,0.624,0.358
"edison","2020-11-04T02:28:17Z",2020,11,4,2,28,17,1604485697,1878947,65,0.629,0.354
"edison","2020-11-04T02:29:53Z",2020,11,4,2,29,53,1604485793,1899177,65,0.63,0.352
"edison","2020-11-04T02:30:53Z",2020,11,4,2,30,53,1604485853,2199523,76,0.591,0.391
"edison","2020-11-04T02:31:35Z",2020,11,4,2,31,35,1604485895,2218099,76,0.592,0.39
"edison","2020-11-04T02:34:54Z",2020,11,4,2,34,54,1604486094,2226229,77,0.593,0.39
