"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T06:01:19Z",2020,11,4,6,1,19,1604498479,0,0,0,0
"edison","2020-11-04T00:07:32Z",2020,11,4,0,7,32,1604477252,2349,0,0.533,0.461
"edison","2020-11-04T00:11:27Z",2020,11,4,0,11,27,1604477487,2681,0,0.477,0.518
"edison","2020-11-04T00:12:14Z",2020,11,4,0,12,14,1604477534,3259,0,0.515,0.478
"edison","2020-11-04T00:14:02Z",2020,11,4,0,14,2,1604477642,3664,0,0.558,0.436
"edison","2020-11-04T00:15:04Z",2020,11,4,0,15,4,1604477704,7386,0,0.689,0.302
"edison","2020-11-04T00:16:00Z",2020,11,4,0,16,0,1604477760,7902,0,0.69,0.3
"edison","2020-11-04T00:20:51Z",2020,11,4,0,20,51,1604478051,28918,1,0.612,0.366
"edison","2020-11-04T00:21:36Z",2020,11,4,0,21,36,1604478096,29819,1,0.612,0.366
"edison","2020-11-04T00:24:25Z",2020,11,4,0,24,25,1604478265,90359,2,0.646,0.337
"edison","2020-11-04T00:25:04Z",2020,11,4,0,25,4,1604478304,100347,2,0.652,0.331
"edison","2020-11-04T00:26:06Z",2020,11,4,0,26,6,1604478366,101496,2,0.654,0.329
"edison","2020-11-04T00:30:40Z",2020,11,4,0,30,40,1604478640,105511,2,0.655,0.328
"edison","2020-11-04T00:33:03Z",2020,11,4,0,33,3,1604478783,115001,2,0.648,0.335
"edison","2020-11-04T00:34:01Z",2020,11,4,0,34,1,1604478841,118522,3,0.647,0.335
"edison","2020-11-04T00:34:33Z",2020,11,4,0,34,33,1604478873,119251,3,0.648,0.335
"edison","2020-11-04T00:35:14Z",2020,11,4,0,35,14,1604478914,370911,8,0.49,0.493
"edison","2020-11-04T00:36:02Z",2020,11,4,0,36,2,1604478962,376185,8,0.493,0.49
"edison","2020-11-04T00:37:07Z",2020,11,4,0,37,7,1604479027,391190,8,0.502,0.482
"edison","2020-11-04T00:38:37Z",2020,11,4,0,38,37,1604479117,391750,8,0.502,0.482
"edison","2020-11-04T00:43:23Z",2020,11,4,0,43,23,1604479403,394507,8,0.503,0.48
"edison","2020-11-04T00:44:42Z",2020,11,4,0,44,42,1604479482,415354,9,0.519,0.464
"edison","2020-11-04T00:46:04Z",2020,11,4,0,46,4,1604479564,586215,12,0.563,0.42
"edison","2020-11-04T00:49:37Z",2020,11,4,0,49,37,1604479777,602868,13,0.557,0.426
"edison","2020-11-04T00:49:49Z",2020,11,4,0,49,49,1604479789,620931,13,0.556,0.426
"edison","2020-11-04T00:53:08Z",2020,11,4,0,53,8,1604479988,634731,14,0.561,0.42
"edison","2020-11-04T00:55:08Z",2020,11,4,0,55,8,1604480108,646874,14,0.564,0.417
"edison","2020-11-04T00:57:07Z",2020,11,4,0,57,7,1604480227,825352,18,0.578,0.403
"edison","2020-11-04T00:58:31Z",2020,11,4,0,58,31,1604480311,828295,18,0.579,0.402
"edison","2020-11-04T01:01:16Z",2020,11,4,1,1,16,1604480476,848583,18,0.58,0.401
"edison","2020-11-04T01:01:57Z",2020,11,4,1,1,57,1604480517,849585,18,0.58,0.401
"edison","2020-11-04T01:05:02Z",2020,11,4,1,5,2,1604480702,850943,18,0.58,0.401
"edison","2020-11-04T01:06:08Z",2020,11,4,1,6,8,1604480768,1096238,23,0.589,0.393
"edison","2020-11-04T01:09:43Z",2020,11,4,1,9,43,1604480983,1112605,24,0.588,0.393
"edison","2020-11-04T01:11:33Z",2020,11,4,1,11,33,1604481093,1174042,25,0.586,0.395
"edison","2020-11-04T01:12:21Z",2020,11,4,1,12,21,1604481141,1229862,26,0.587,0.394
"edison","2020-11-04T01:13:20Z",2020,11,4,1,13,20,1604481200,1230783,26,0.587,0.394
"edison","2020-11-04T01:15:09Z",2020,11,4,1,15,9,1604481309,1237693,26,0.586,0.393
"edison","2020-11-04T01:16:36Z",2020,11,4,1,16,36,1604481396,1237704,26,0.586,0.393
"edison","2020-11-04T01:17:11Z",2020,11,4,1,17,11,1604481431,1237721,26,0.586,0.393
"edison","2020-11-04T01:17:51Z",2020,11,4,1,17,51,1604481471,1247175,27,0.585,0.394
"edison","2020-11-04T01:18:21Z",2020,11,4,1,18,21,1604481501,1250264,27,0.585,0.394
"edison","2020-11-04T01:20:28Z",2020,11,4,1,20,28,1604481628,1259818,27,0.583,0.395
"edison","2020-11-04T01:21:02Z",2020,11,4,1,21,2,1604481662,1271297,27,0.582,0.396
"edison","2020-11-04T01:21:45Z",2020,11,4,1,21,45,1604481705,1271310,27,0.582,0.396
"edison","2020-11-04T01:21:53Z",2020,11,4,1,21,53,1604481713,1294184,28,0.583,0.396
"edison","2020-11-04T01:22:21Z",2020,11,4,1,22,21,1604481741,1324032,28,0.583,0.395
"edison","2020-11-04T01:23:14Z",2020,11,4,1,23,14,1604481794,1347167,29,0.582,0.397
"edison","2020-11-04T01:24:12Z",2020,11,4,1,24,12,1604481852,1355529,29,0.582,0.396
"edison","2020-11-04T01:25:13Z",2020,11,4,1,25,13,1604481913,1360412,29,0.583,0.396
"edison","2020-11-04T01:26:03Z",2020,11,4,1,26,3,1604481963,1386956,30,0.583,0.395
"edison","2020-11-04T01:26:51Z",2020,11,4,1,26,51,1604482011,1389517,30,0.583,0.396
"edison","2020-11-04T01:29:03Z",2020,11,4,1,29,3,1604482143,1391099,30,0.583,0.396
"edison","2020-11-04T01:32:14Z",2020,11,4,1,32,14,1604482334,1394583,30,0.583,0.396
"edison","2020-11-04T01:33:42Z",2020,11,4,1,33,42,1604482422,1486658,32,0.577,0.402
"edison","2020-11-04T01:41:19Z",2020,11,4,1,41,19,1604482879,1494437,32,0.578,0.401
"edison","2020-11-04T01:42:10Z",2020,11,4,1,42,10,1604482930,1614447,34,0.578,0.402
"edison","2020-11-04T01:43:11Z",2020,11,4,1,43,11,1604482991,1624033,35,0.578,0.402
"edison","2020-11-04T01:51:34Z",2020,11,4,1,51,34,1604483494,1624089,35,0.578,0.402
"edison","2020-11-04T01:52:07Z",2020,11,4,1,52,7,1604483527,1624096,35,0.578,0.402
"edison","2020-11-04T01:52:13Z",2020,11,4,1,52,13,1604483533,1632794,35,0.577,0.402
"edison","2020-11-04T01:53:22Z",2020,11,4,1,53,22,1604483602,1650359,35,0.577,0.402
"edison","2020-11-04T01:53:48Z",2020,11,4,1,53,48,1604483628,1650367,35,0.577,0.402
"edison","2020-11-04T01:53:55Z",2020,11,4,1,53,55,1604483635,1650391,35,0.577,0.402
"edison","2020-11-04T01:54:28Z",2020,11,4,1,54,28,1604483668,1659401,35,0.578,0.402
"edison","2020-11-04T01:55:04Z",2020,11,4,1,55,4,1604483704,1701553,36,0.579,0.401
"edison","2020-11-04T01:59:26Z",2020,11,4,1,59,26,1604483966,1714052,36,0.577,0.402
"edison","2020-11-04T02:00:46Z",2020,11,4,2,0,46,1604484046,1714054,36,0.577,0.402
"edison","2020-11-04T02:01:16Z",2020,11,4,2,1,16,1604484076,1714158,36,0.577,0.402
"edison","2020-11-04T02:03:12Z",2020,11,4,2,3,12,1604484192,1714899,36,0.577,0.402
"edison","2020-11-04T02:04:10Z",2020,11,4,2,4,10,1604484250,1715544,37,0.577,0.402
"edison","2020-11-04T02:05:11Z",2020,11,4,2,5,11,1604484311,1785195,38,0.58,0.4
"edison","2020-11-04T02:05:44Z",2020,11,4,2,5,44,1604484344,1785244,38,0.58,0.4
"edison","2020-11-04T02:09:09Z",2020,11,4,2,9,9,1604484549,1785325,38,0.58,0.4
"edison","2020-11-04T02:09:49Z",2020,11,4,2,9,49,1604484589,1790420,38,0.58,0.399
"edison","2020-11-04T02:10:00Z",2020,11,4,2,10,0,1604484600,1791279,38,0.58,0.399
"edison","2020-11-04T02:10:17Z",2020,11,4,2,10,17,1604484617,1791292,38,0.58,0.399
"edison","2020-11-04T02:13:19Z",2020,11,4,2,13,19,1604484799,1791310,38,0.58,0.399
"edison","2020-11-04T02:16:15Z",2020,11,4,2,16,15,1604484975,1796622,38,0.58,0.399
"edison","2020-11-04T02:16:27Z",2020,11,4,2,16,27,1604484987,1824169,39,0.58,0.4
"edison","2020-11-04T02:18:47Z",2020,11,4,2,18,47,1604485127,1867776,40,0.579,0.401
"edison","2020-11-04T02:23:29Z",2020,11,4,2,23,29,1604485409,1875457,40,0.578,0.402
"edison","2020-11-04T02:24:11Z",2020,11,4,2,24,11,1604485451,1876346,40,0.578,0.402
"edison","2020-11-04T02:25:49Z",2020,11,4,2,25,49,1604485549,1923182,41,0.577,0.404
"edison","2020-11-04T02:32:15Z",2020,11,4,2,32,15,1604485935,1924933,41,0.577,0.404
"edison","2020-11-04T02:32:33Z",2020,11,4,2,32,33,1604485953,1967828,42,0.569,0.412
"edison","2020-11-04T02:33:41Z",2020,11,4,2,33,41,1604486021,1968766,42,0.569,0.412
"edison","2020-11-04T02:34:44Z",2020,11,4,2,34,44,1604486084,1979139,42,0.566,0.415
"edison","2020-11-04T02:36:25Z",2020,11,4,2,36,25,1604486185,1981539,42,0.567,0.415
"edison","2020-11-04T02:36:32Z",2020,11,4,2,36,32,1604486192,2032919,43,0.566,0.416
"edison","2020-11-04T02:44:24Z",2020,11,4,2,44,24,1604486664,2033311,43,0.566,0.415
