"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_warnerm","vote_shares_gaded"
"edison","2020-11-04T05:56:19Z",2020,11,4,5,56,19,1604498179,0,0,0,0
"edison","2020-11-04T00:11:44Z",2020,11,4,0,11,44,1604477504,333,0,0.946,0.054
"edison","2020-11-04T00:12:32Z",2020,11,4,0,12,32,1604477552,898,0,0.549,0.451
"edison","2020-11-04T00:14:02Z",2020,11,4,0,14,2,1604477642,1293,0,0.452,0.548
"edison","2020-11-04T00:15:05Z",2020,11,4,0,15,5,1604477705,4981,0,0.28,0.72
"edison","2020-11-04T00:16:00Z",2020,11,4,0,16,0,1604477760,5488,0,0.283,0.717
"edison","2020-11-04T00:21:25Z",2020,11,4,0,21,25,1604478085,26405,1,0.383,0.617
"edison","2020-11-04T00:21:54Z",2020,11,4,0,21,54,1604478114,27298,1,0.384,0.616
"edison","2020-11-04T00:24:25Z",2020,11,4,0,24,25,1604478265,92455,2,0.377,0.623
"edison","2020-11-04T00:25:04Z",2020,11,4,0,25,4,1604478304,101732,2,0.369,0.631
"edison","2020-11-04T00:26:09Z",2020,11,4,0,26,9,1604478369,102870,2,0.367,0.633
"edison","2020-11-04T00:30:53Z",2020,11,4,0,30,53,1604478653,106360,2,0.365,0.635
"edison","2020-11-04T00:33:24Z",2020,11,4,0,33,24,1604478804,115710,2,0.372,0.628
"edison","2020-11-04T00:34:01Z",2020,11,4,0,34,1,1604478841,119210,3,0.372,0.628
"edison","2020-11-04T00:34:52Z",2020,11,4,0,34,52,1604478892,119957,3,0.372,0.628
"edison","2020-11-04T00:35:17Z",2020,11,4,0,35,17,1604478917,370809,8,0.511,0.489
"edison","2020-11-04T00:36:02Z",2020,11,4,0,36,2,1604478962,376225,8,0.509,0.491
"edison","2020-11-04T00:37:15Z",2020,11,4,0,37,15,1604479035,391077,8,0.501,0.499
"edison","2020-11-04T00:38:46Z",2020,11,4,0,38,46,1604479126,391628,8,0.501,0.499
"edison","2020-11-04T00:45:27Z",2020,11,4,0,45,27,1604479527,412307,9,0.486,0.514
"edison","2020-11-04T00:46:04Z",2020,11,4,0,46,4,1604479564,572599,12,0.451,0.549
"edison","2020-11-04T00:50:14Z",2020,11,4,0,50,14,1604479814,590122,13,0.451,0.549
"edison","2020-11-04T00:50:40Z",2020,11,4,0,50,40,1604479840,608744,13,0.458,0.542
"edison","2020-11-04T00:53:08Z",2020,11,4,0,53,8,1604479988,622075,13,0.453,0.547
"edison","2020-11-04T00:55:10Z",2020,11,4,0,55,10,1604480110,632483,13,0.45,0.55
"edison","2020-11-04T00:55:26Z",2020,11,4,0,55,26,1604480126,634189,13,0.45,0.55
"edison","2020-11-04T00:57:17Z",2020,11,4,0,57,17,1604480237,810710,17,0.436,0.564
"edison","2020-11-04T00:58:44Z",2020,11,4,0,58,44,1604480324,814596,17,0.435,0.565
"edison","2020-11-04T01:05:03Z",2020,11,4,1,5,3,1604480703,815953,17,0.435,0.565
"edison","2020-11-04T01:06:05Z",2020,11,4,1,6,5,1604480765,1060463,23,0.425,0.575
"edison","2020-11-04T01:09:55Z",2020,11,4,1,9,55,1604480995,1076678,23,0.426,0.574
"edison","2020-11-04T01:11:32Z",2020,11,4,1,11,32,1604481092,1111487,24,0.426,0.574
"edison","2020-11-04T01:12:22Z",2020,11,4,1,12,22,1604481142,1172578,25,0.426,0.574
"edison","2020-11-04T01:13:46Z",2020,11,4,1,13,46,1604481226,1173498,25,0.426,0.574
"edison","2020-11-04T01:15:00Z",2020,11,4,1,15,0,1604481300,1175169,25,0.426,0.574
"edison","2020-11-04T01:19:06Z",2020,11,4,1,19,6,1604481546,1185071,25,0.426,0.574
"edison","2020-11-04T01:20:40Z",2020,11,4,1,20,40,1604481640,1193450,25,0.427,0.573
"edison","2020-11-04T01:21:02Z",2020,11,4,1,21,2,1604481662,1204864,26,0.428,0.572
"edison","2020-11-04T01:22:28Z",2020,11,4,1,22,28,1604481748,1254228,27,0.426,0.574
"edison","2020-11-04T01:23:14Z",2020,11,4,1,23,14,1604481794,1288889,27,0.428,0.572
"edison","2020-11-04T01:24:12Z",2020,11,4,1,24,12,1604481852,1297197,28,0.427,0.573
"edison","2020-11-04T01:25:12Z",2020,11,4,1,25,12,1604481912,1302913,28,0.427,0.573
"edison","2020-11-04T01:26:10Z",2020,11,4,1,26,10,1604481970,1348980,29,0.43,0.57
"edison","2020-11-04T01:27:07Z",2020,11,4,1,27,7,1604482027,1351091,29,0.43,0.57
"edison","2020-11-04T01:29:21Z",2020,11,4,1,29,21,1604482161,1352658,29,0.43,0.57
"edison","2020-11-04T01:32:13Z",2020,11,4,1,32,13,1604482333,1357541,29,0.43,0.57
"edison","2020-11-04T01:33:42Z",2020,11,4,1,33,42,1604482422,1450202,31,0.435,0.565
"edison","2020-11-04T01:41:19Z",2020,11,4,1,41,19,1604482879,1457767,31,0.434,0.566
"edison","2020-11-04T01:42:13Z",2020,11,4,1,42,13,1604482933,1578095,34,0.434,0.566
"edison","2020-11-04T01:43:29Z",2020,11,4,1,43,29,1604483009,1587528,34,0.434,0.566
"edison","2020-11-04T01:52:14Z",2020,11,4,1,52,14,1604483534,1588268,34,0.434,0.566
"edison","2020-11-04T01:53:23Z",2020,11,4,1,53,23,1604483603,1608431,34,0.434,0.566
"edison","2020-11-04T01:54:28Z",2020,11,4,1,54,28,1604483668,1617154,34,0.433,0.567
"edison","2020-11-04T01:55:04Z",2020,11,4,1,55,4,1604483704,1658553,35,0.433,0.567
"edison","2020-11-04T01:59:53Z",2020,11,4,1,59,53,1604483993,1670628,36,0.434,0.566
"edison","2020-11-04T02:03:12Z",2020,11,4,2,3,12,1604484192,1671372,36,0.434,0.566
"edison","2020-11-04T02:04:11Z",2020,11,4,2,4,11,1604484251,1671991,36,0.434,0.566
"edison","2020-11-04T02:05:10Z",2020,11,4,2,5,10,1604484310,1749937,37,0.432,0.568
"edison","2020-11-04T02:10:23Z",2020,11,4,2,10,23,1604484623,1755585,37,0.431,0.569
"edison","2020-11-04T02:16:14Z",2020,11,4,2,16,14,1604484974,1760673,37,0.432,0.568
"edison","2020-11-04T02:16:28Z",2020,11,4,2,16,28,1604484988,1788048,38,0.432,0.568
"edison","2020-11-04T02:18:44Z",2020,11,4,2,18,44,1604485124,1834086,39,0.433,0.567
"edison","2020-11-04T02:23:49Z",2020,11,4,2,23,49,1604485429,1839178,39,0.434,0.566
"edison","2020-11-04T02:24:11Z",2020,11,4,2,24,11,1604485451,1840065,39,0.434,0.566
"edison","2020-11-04T02:25:55Z",2020,11,4,2,25,55,1604485555,1888113,40,0.434,0.566
"edison","2020-11-04T02:32:36Z",2020,11,4,2,32,36,1604485956,1889853,40,0.434,0.566
"edison","2020-11-04T02:34:00Z",2020,11,4,2,34,0,1604486040,1890734,40,0.434,0.566
"edison","2020-11-04T02:34:43Z",2020,11,4,2,34,43,1604486083,1901055,40,0.437,0.563
"edison","2020-11-04T02:36:32Z",2020,11,4,2,36,32,1604486192,1957549,42,0.438,0.562
"edison","2020-11-04T02:44:24Z",2020,11,4,2,44,24,1604486664,1957937,42,0.438,0.562
"edison","2020-11-04T02:46:11Z",2020,11,4,2,46,11,1604486771,2025071,43,0.44,0.56
"edison","2020-11-04T02:48:30Z",2020,11,4,2,48,30,1604486910,2030437,43,0.44,0.56
"edison","2020-11-04T02:56:41Z",2020,11,4,2,56,41,1604487401,2406885,51,0.474,0.526
"edison","2020-11-04T03:01:52Z",2020,11,4,3,1,52,1604487712,2408555,51,0.474,0.526
"edison","2020-11-04T03:02:43Z",2020,11,4,3,2,43,1604487763,2424153,52,0.473,0.527
"edison","2020-11-04T03:03:48Z",2020,11,4,3,3,48,1604487828,2426781,52,0.473,0.527
"edison","2020-11-04T03:06:32Z",2020,11,4,3,6,32,1604487992,2438835,52,0.473,0.527
"edison","2020-11-04T03:06:59Z",2020,11,4,3,6,59,1604488019,2443268,52,0.473,0.527
"edison","2020-11-04T03:10:25Z",2020,11,4,3,10,25,1604488225,2444191,52,0.473,0.527
"edison","2020-11-04T03:16:31Z",2020,11,4,3,16,31,1604488591,2453693,52,0.473,0.527
"edison","2020-11-04T03:18:16Z",2020,11,4,3,18,16,1604488696,2462472,52,0.474,0.526
"edison","2020-11-04T03:19:09Z",2020,11,4,3,19,9,1604488749,2489548,53,0.477,0.523
"edison","2020-11-04T03:27:14Z",2020,11,4,3,27,14,1604489234,2500899,53,0.477,0.523
"edison","2020-11-04T03:36:50Z",2020,11,4,3,36,50,1604489810,2504184,53,0.477,0.523
"edison","2020-11-04T03:39:18Z",2020,11,4,3,39,18,1604489958,2504601,53,0.477,0.523
"edison","2020-11-04T03:39:43Z",2020,11,4,3,39,43,1604489983,2539428,54,0.481,0.519
"edison","2020-11-04T03:41:08Z",2020,11,4,3,41,8,1604490068,2544054,54,0.481,0.519
"edison","2020-11-04T03:43:31Z",2020,11,4,3,43,31,1604490211,2545316,54,0.481,0.519
"edison","2020-11-04T03:44:41Z",2020,11,4,3,44,41,1604490281,2549918,54,0.481,0.519
"edison","2020-11-04T03:46:17Z",2020,11,4,3,46,17,1604490377,2553302,54,0.481,0.519
"edison","2020-11-04T03:47:17Z",2020,11,4,3,47,17,1604490437,2554384,54,0.481,0.519
"edison","2020-11-04T03:49:33Z",2020,11,4,3,49,33,1604490573,2599251,55,0.486,0.514
"edison","2020-11-04T03:53:30Z",2020,11,4,3,53,30,1604490810,2608010,55,0.487,0.513
"edison","2020-11-04T03:54:17Z",2020,11,4,3,54,17,1604490857,2619010,56,0.488,0.512
"edison","2020-11-04T03:54:38Z",2020,11,4,3,54,38,1604490878,2666735,57,0.488,0.512
"edison","2020-11-04T04:00:25Z",2020,11,4,4,0,25,1604491225,2666738,57,0.488,0.512
"edison","2020-11-04T04:03:44Z",2020,11,4,4,3,44,1604491424,2738819,58,0.496,0.504
