"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T04:11:18Z",2020,11,4,4,11,18,1604491878,3478,0,0.679,0.306
"edison","2020-11-04T04:18:15Z",2020,11,4,4,18,15,1604492295,16186,0,0.527,0.454
"edison","2020-11-04T04:21:18Z",2020,11,4,4,21,18,1604492478,48769,1,0.502,0.472
"edison","2020-11-04T04:21:51Z",2020,11,4,4,21,51,1604492511,832963,22,0.437,0.533
"edison","2020-11-04T04:22:03Z",2020,11,4,4,22,3,1604492523,1206182,32,0.414,0.556
"edison","2020-11-04T04:22:13Z",2020,11,4,4,22,13,1604492533,1227293,32,0.416,0.554
"edison","2020-11-04T04:22:28Z",2020,11,4,4,22,28,1604492548,3108414,82,0.357,0.619
"edison","2020-11-04T04:22:42Z",2020,11,4,4,22,42,1604492562,3117944,82,0.358,0.619
"edison","2020-11-04T04:23:25Z",2020,11,4,4,23,25,1604492605,3117974,82,0.358,0.619
"edison","2020-11-04T04:24:23Z",2020,11,4,4,24,23,1604492663,3118055,82,0.358,0.619
"edison","2020-11-04T04:25:17Z",2020,11,4,4,25,17,1604492717,3124170,82,0.358,0.618
"edison","2020-11-04T04:29:56Z",2020,11,4,4,29,56,1604492996,3189915,84,0.362,0.612
"edison","2020-11-04T04:31:08Z",2020,11,4,4,31,8,1604493068,3190016,84,0.362,0.612
"edison","2020-11-04T04:31:42Z",2020,11,4,4,31,42,1604493102,3190155,84,0.362,0.612
"edison","2020-11-04T04:32:05Z",2020,11,4,4,32,5,1604493125,3263913,86,0.365,0.609
"edison","2020-11-04T04:33:00Z",2020,11,4,4,33,0,1604493180,3263971,86,0.365,0.609
"edison","2020-11-04T04:37:10Z",2020,11,4,4,37,10,1604493430,3297092,87,0.367,0.607
"edison","2020-11-04T04:46:50Z",2020,11,4,4,46,50,1604494010,3306840,87,0.367,0.607
"edison","2020-11-04T04:47:08Z",2020,11,4,4,47,8,1604494028,3307060,87,0.367,0.607
"edison","2020-11-04T04:54:15Z",2020,11,4,4,54,15,1604494455,3307060,87,0.367,0.609
"edison","2020-11-04T05:12:16Z",2020,11,4,5,12,16,1604495536,3307813,87,0.367,0.609
"edison","2020-11-04T05:30:33Z",2020,11,4,5,30,33,1604496633,3307965,87,0.367,0.609
