"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T00:48:39Z",2020,11,4,0,48,39,1604479719,30211,4,0.446,0.535
"edison","2020-11-04T01:03:20Z",2020,11,4,1,3,20,1604480600,34425,4,0.474,0.508
"edison","2020-11-04T01:04:36Z",2020,11,4,1,4,36,1604480676,34543,4,0.472,0.506
"edison","2020-11-04T01:13:51Z",2020,11,4,1,13,51,1604481231,41188,5,0.5,0.48
"edison","2020-11-04T01:16:07Z",2020,11,4,1,16,7,1604481367,53771,7,0.525,0.456
"edison","2020-11-04T01:19:01Z",2020,11,4,1,19,1,1604481541,75713,10,0.56,0.421
"edison","2020-11-04T01:23:59Z",2020,11,4,1,23,59,1604481839,84834,11,0.563,0.418
"edison","2020-11-04T01:25:43Z",2020,11,4,1,25,43,1604481943,89067,11,0.565,0.415
"edison","2020-11-04T01:26:30Z",2020,11,4,1,26,30,1604481990,103986,13,0.563,0.417
"edison","2020-11-04T01:28:50Z",2020,11,4,1,28,50,1604482130,106962,13,0.569,0.412
"edison","2020-11-04T01:33:30Z",2020,11,4,1,33,30,1604482410,134350,17,0.589,0.392
"edison","2020-11-04T01:33:35Z",2020,11,4,1,33,35,1604482415,148260,19,0.602,0.379
"edison","2020-11-04T01:35:47Z",2020,11,4,1,35,47,1604482547,149460,19,0.604,0.377
"edison","2020-11-04T01:38:58Z",2020,11,4,1,38,58,1604482738,165978,21,0.617,0.365
"edison","2020-11-04T01:40:39Z",2020,11,4,1,40,39,1604482839,169766,21,0.62,0.362
"edison","2020-11-04T01:45:12Z",2020,11,4,1,45,12,1604483112,177077,22,0.621,0.36
"edison","2020-11-04T01:45:50Z",2020,11,4,1,45,50,1604483150,179522,23,0.623,0.357
"edison","2020-11-04T01:46:42Z",2020,11,4,1,46,42,1604483202,188386,24,0.625,0.355
"edison","2020-11-04T01:47:09Z",2020,11,4,1,47,9,1604483229,194305,24,0.629,0.351
"edison","2020-11-04T01:47:58Z",2020,11,4,1,47,58,1604483278,198705,25,0.633,0.347
"edison","2020-11-04T01:48:16Z",2020,11,4,1,48,16,1604483296,201021,25,0.635,0.346
"edison","2020-11-04T01:48:25Z",2020,11,4,1,48,25,1604483305,232364,29,0.624,0.357
"edison","2020-11-04T01:50:30Z",2020,11,4,1,50,30,1604483430,284782,36,0.62,0.361
