"sid","cid","county_name","county_fips"
1,1,"01","unknown"
1,2,"02","unknown"
1,3,"03","unknown"
1,4,"04","unknown"
1,5,"05","unknown"
1,6,"06","unknown"
1,7,"07","unknown"
1,8,"08","unknown"
1,9,"09","unknown"
1,10,"1","unknown"
1,11,"10","unknown"
1,12,"11","unknown"
1,13,"12","unknown"
1,14,"13","unknown"
1,15,"14","unknown"
1,16,"15","unknown"
1,17,"16","unknown"
1,18,"17","unknown"
1,19,"18","unknown"
1,20,"19","unknown"
1,21,"2","unknown"
1,22,"20","unknown"
1,23,"21","unknown"
1,24,"22","unknown"
1,25,"23","unknown"
1,26,"24","unknown"
1,27,"25","unknown"
1,28,"26","unknown"
1,29,"27","unknown"
1,30,"28","unknown"
1,31,"29","unknown"
1,32,"3","unknown"
1,33,"30","unknown"
1,34,"31","unknown"
1,35,"32","unknown"
1,36,"33","unknown"
1,37,"34","unknown"
1,38,"35","unknown"
1,39,"36","unknown"
1,40,"37","unknown"
1,41,"38","unknown"
1,42,"39","unknown"
1,43,"4","unknown"
1,44,"40","unknown"
1,45,"5","unknown"
1,46,"6","unknown"
1,47,"7","unknown"
1,48,"8","unknown"
1,49,"9","unknown"
1,50,"STATE","unknown"
