"sid","cid","vid","county_name","vote_type","county_fips"
1,1,1,"01","electionday","unknown"
1,2,1,"02","electionday","unknown"
1,3,1,"03","electionday","unknown"
1,4,1,"04","electionday","unknown"
1,5,1,"05","electionday","unknown"
1,6,1,"06","electionday","unknown"
1,7,1,"07","electionday","unknown"
1,8,1,"08","electionday","unknown"
1,9,1,"09","electionday","unknown"
1,10,2,"1","absentee","unknown"
1,10,3,"1","early","unknown"
1,10,4,"1","provisional","unknown"
1,11,1,"10","electionday","unknown"
1,11,2,"10","absentee","unknown"
1,11,3,"10","early","unknown"
1,11,4,"10","provisional","unknown"
1,12,2,"11","absentee","unknown"
1,12,3,"11","early","unknown"
1,12,4,"11","provisional","unknown"
1,12,1,"11","electionday","unknown"
1,13,1,"12","electionday","unknown"
1,13,2,"12","absentee","unknown"
1,13,3,"12","early","unknown"
1,13,4,"12","provisional","unknown"
1,14,1,"13","electionday","unknown"
1,14,2,"13","absentee","unknown"
1,14,3,"13","early","unknown"
1,14,4,"13","provisional","unknown"
1,15,1,"14","electionday","unknown"
1,15,2,"14","absentee","unknown"
1,15,3,"14","early","unknown"
1,15,4,"14","provisional","unknown"
1,16,1,"15","electionday","unknown"
1,16,2,"15","absentee","unknown"
1,16,3,"15","early","unknown"
1,16,4,"15","provisional","unknown"
1,17,1,"16","electionday","unknown"
1,17,2,"16","absentee","unknown"
1,17,3,"16","early","unknown"
1,17,4,"16","provisional","unknown"
1,18,2,"17","absentee","unknown"
1,18,3,"17","early","unknown"
1,18,4,"17","provisional","unknown"
1,18,1,"17","electionday","unknown"
1,19,2,"18","absentee","unknown"
1,19,3,"18","early","unknown"
1,19,4,"18","provisional","unknown"
1,19,1,"18","electionday","unknown"
1,20,1,"19","electionday","unknown"
1,20,2,"19","absentee","unknown"
1,20,3,"19","early","unknown"
1,20,4,"19","provisional","unknown"
1,21,2,"2","absentee","unknown"
1,21,3,"2","early","unknown"
1,21,4,"2","provisional","unknown"
1,22,2,"20","absentee","unknown"
1,22,3,"20","early","unknown"
1,22,4,"20","provisional","unknown"
1,22,1,"20","electionday","unknown"
1,23,2,"21","absentee","unknown"
1,23,3,"21","early","unknown"
1,23,4,"21","provisional","unknown"
1,23,1,"21","electionday","unknown"
1,24,1,"22","electionday","unknown"
1,24,2,"22","absentee","unknown"
1,24,3,"22","early","unknown"
1,24,4,"22","provisional","unknown"
1,25,1,"23","electionday","unknown"
1,25,2,"23","absentee","unknown"
1,25,3,"23","early","unknown"
1,25,4,"23","provisional","unknown"
1,26,1,"24","electionday","unknown"
1,26,2,"24","absentee","unknown"
1,26,3,"24","early","unknown"
1,26,4,"24","provisional","unknown"
1,27,1,"25","electionday","unknown"
1,27,2,"25","absentee","unknown"
1,27,3,"25","early","unknown"
1,27,4,"25","provisional","unknown"
1,28,2,"26","absentee","unknown"
1,28,3,"26","early","unknown"
1,28,4,"26","provisional","unknown"
1,28,1,"26","electionday","unknown"
1,29,1,"27","electionday","unknown"
1,29,2,"27","absentee","unknown"
1,29,3,"27","early","unknown"
1,29,4,"27","provisional","unknown"
1,30,1,"28","electionday","unknown"
1,30,2,"28","absentee","unknown"
1,30,3,"28","early","unknown"
1,30,4,"28","provisional","unknown"
1,31,1,"29","electionday","unknown"
1,31,2,"29","absentee","unknown"
1,31,3,"29","early","unknown"
1,31,4,"29","provisional","unknown"
1,32,2,"3","absentee","unknown"
1,32,3,"3","early","unknown"
1,32,4,"3","provisional","unknown"
1,33,1,"30","electionday","unknown"
1,33,2,"30","absentee","unknown"
1,33,3,"30","early","unknown"
1,33,4,"30","provisional","unknown"
1,34,1,"31","electionday","unknown"
1,34,2,"31","absentee","unknown"
1,34,3,"31","early","unknown"
1,34,4,"31","provisional","unknown"
1,35,1,"32","electionday","unknown"
1,35,2,"32","absentee","unknown"
1,35,3,"32","early","unknown"
1,35,4,"32","provisional","unknown"
1,36,2,"33","absentee","unknown"
1,36,3,"33","early","unknown"
1,36,4,"33","provisional","unknown"
1,36,1,"33","electionday","unknown"
1,37,1,"34","electionday","unknown"
1,37,2,"34","absentee","unknown"
1,37,3,"34","early","unknown"
1,37,4,"34","provisional","unknown"
1,38,1,"35","electionday","unknown"
1,38,2,"35","absentee","unknown"
1,38,3,"35","early","unknown"
1,38,4,"35","provisional","unknown"
1,39,2,"36","absentee","unknown"
1,39,3,"36","early","unknown"
1,39,4,"36","provisional","unknown"
1,39,1,"36","electionday","unknown"
1,40,1,"37","electionday","unknown"
1,40,2,"37","absentee","unknown"
1,40,3,"37","early","unknown"
1,40,4,"37","provisional","unknown"
1,41,1,"38","electionday","unknown"
1,41,2,"38","absentee","unknown"
