"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,1,1,1,1,710,466,239,5
0,1,1,2,1,138,90,47,1
0,1,1,3,1,163,107,54,2
0,1,1,4,1,210,123,85,2
0,1,1,5,1,345,210,128,7
0,1,1,6,1,227,122,103,2
0,1,1,7,1,595,379,209,7
0,1,1,8,1,333,190,140,3
0,1,1,9,1,436,257,165,14
0,1,2,10,1,1024,838,183,3
0,1,2,11,1,545,349,181,15
0,1,2,12,1,804,555,236,13
0,1,2,13,1,274,199,74,1
0,1,3,14,1,1086,899,179,8
0,1,3,15,1,1009,870,130,9
0,1,3,16,1,1155,988,159,8
0,1,3,17,1,529,425,98,6
0,1,3,18,1,1007,886,116,5
0,1,4,19,1,373,163,204,6
0,1,4,20,1,748,422,306,20
0,1,4,21,1,446,216,222,8
0,1,4,22,1,572,247,315,10
0,1,4,23,1,1088,845,228,15
0,1,4,24,1,1113,829,266,18
0,1,4,25,1,138,66,71,1
0,1,5,26,1,107,83,22,2
0,1,5,27,1,1356,883,452,21
0,1,5,28,1,528,319,202,7
0,1,5,29,1,131,103,27,1
0,1,5,30,1,221,153,66,2
0,1,5,31,1,205,173,30,2
0,1,5,32,1,318,177,137,4
0,1,5,33,1,43,18,23,2
0,1,5,34,1,832,522,296,14
0,1,6,35,1,66,56,8,2
0,1,6,36,1,57,2,55,0
0,1,6,37,1,36,5,28,3
0,1,6,38,1,104,71,32,1
0,1,6,39,1,47,39,8,0
0,1,6,40,1,73,65,6,2
0,1,6,41,1,18,4,14,0
0,1,6,42,1,52,39,13,0
0,1,6,43,1,285,197,82,6
0,1,6,44,1,71,6,63,2
0,1,6,45,1,62,59,3,0
0,1,6,46,1,64,52,11,1
0,1,6,47,1,369,278,88,3
0,1,6,48,1,164,40,121,3
0,1,6,49,1,244,195,42,7
0,1,6,50,1,99,75,24,0
0,1,6,51,1,298,203,91,4
0,1,6,52,1,151,125,22,4
0,1,6,53,1,49,45,4,0
0,1,6,54,1,35,8,24,3
0,1,6,55,1,45,13,30,2
0,1,6,56,1,205,170,30,5
0,1,6,57,1,263,177,83,3
0,1,6,58,1,83,41,39,3
0,1,6,59,1,484,410,67,7
0,1,6,60,1,441,314,121,6
0,1,6,61,1,9,0,9,0
0,1,6,62,1,31,11,19,1
0,1,6,63,1,86,18,67,1
0,1,6,64,1,44,10,34,0
0,1,6,65,1,454,379,69,6
0,1,6,66,1,516,394,119,3
0,1,6,67,1,31,10,20,1
0,1,7,68,1,503,434,64,5
0,1,7,69,1,520,423,95,2
0,1,7,70,1,353,304,46,3
0,1,7,71,1,546,449,94,3
0,1,7,72,1,351,298,47,6
0,1,7,73,1,496,423,71,2
0,1,7,74,1,782,664,110,8
0,1,8,75,1,1021,882,128,11
0,1,8,76,1,915,765,140,10
0,1,8,77,1,721,646,71,4
0,1,8,78,1,955,831,115,9
0,1,8,79,1,363,314,47,2
0,1,8,80,1,888,800,82,6
0,1,9,81,1,1099,994,102,3
0,1,9,82,1,321,288,32,1
0,1,9,83,1,933,795,127,11
0,1,9,84,1,1168,956,204,8
0,1,9,85,1,194,171,22,1
0,1,9,86,1,120,95,23,2
0,1,9,87,1,499,381,112,6
0,1,9,88,1,425,298,122,5
0,1,9,89,1,240,168,67,5
0,1,9,90,1,431,319,106,6
0,1,9,91,1,105,72,31,2
0,1,10,92,2,1885,645,1220,20
0,1,10,92,3,1460,645,804,11
0,1,10,92,4,323,153,169,1
0,1,11,93,1,757,655,97,5
0,1,11,94,2,2728,1396,1316,16
0,1,11,94,3,1942,1545,391,6
0,1,11,94,4,0,0,0,0
0,1,11,95,1,446,396,48,2
0,1,11,96,1,369,321,44,4
0,1,11,97,1,368,317,48,3
0,1,11,98,1,389,345,42,2
0,1,11,99,1,214,176,36,2
0,1,11,100,1,448,378,67,3
0,1,11,101,1,259,109,143,7
0,1,11,102,1,756,644,102,10
0,1,11,103,1,168,146,18,4
0,1,11,104,1,795,678,110,7
0,1,12,105,2,2073,963,1082,28
0,1,12,105,3,3221,2200,998,23
0,1,12,105,4,0,0,0,0
0,1,12,106,1,462,370,89,3
0,1,12,107,1,436,338,96,2
0,1,12,108,1,297,234,61,2
0,1,12,109,1,454,351,96,7
0,1,12,110,1,429,322,103,4
0,1,12,111,1,351,293,53,5
0,1,12,112,1,652,510,135,7
0,1,12,113,1,486,384,96,6
0,1,12,114,1,626,532,88,6
0,1,13,115,1,1150,954,186,10
0,1,13,116,2,2721,1392,1314,15
0,1,13,116,3,2068,1506,558,4
0,1,13,116,4,0,0,0,0
0,1,13,117,1,646,494,147,5
0,1,13,118,1,400,354,44,2
0,1,13,119,1,523,440,78,5
0,1,13,120,1,963,786,173,4
0,1,13,121,1,544,439,100,5
0,1,13,122,1,843,754,80,9
0,1,14,123,1,32,17,15,0
0,1,14,124,1,452,359,90,3
0,1,14,125,1,427,345,77,5
0,1,14,126,2,0,0,0,0
0,1,14,126,3,417,233,182,2
0,1,14,126,4,312,212,98,2
0,1,14,127,1,682,520,154,8
0,1,14,128,1,614,473,134,7
0,1,14,129,1,600,439,154,7
0,1,15,130,1,906,710,190,6
0,1,15,131,2,5169,2493,2655,21
0,1,15,131,3,562,322,238,2
0,1,15,131,4,185,132,51,2
0,1,15,132,1,513,388,122,3
0,1,15,133,1,263,200,61,2
0,1,15,134,1,602,453,145,4
0,1,15,135,1,586,442,141,3
0,1,15,136,1,416,313,97,6
0,1,15,137,1,605,478,126,1
0,1,16,138,1,508,319,179,10
0,1,16,139,2,1864,760,1088,16
0,1,16,139,3,692,316,373,3
0,1,16,139,4,329,188,136,5
0,1,16,140,1,330,249,81,0
0,1,16,141,1,415,226,179,10
0,1,16,142,1,285,175,107,3
0,1,16,143,1,392,193,192,7
0,1,17,144,1,338,215,116,7
0,1,17,145,1,373,230,136,7
0,1,17,146,2,2748,759,1958,31
0,1,17,146,3,1236,525,701,10
0,1,17,146,4,0,0,0,0
0,1,17,147,1,483,292,187,4
0,1,17,148,1,488,287,193,8
0,1,17,149,1,683,423,255,5
0,1,17,150,1,341,201,137,3
0,1,17,151,1,370,223,143,4
0,1,18,152,2,0,0,0,0
0,1,18,152,3,1373,518,846,9
0,1,18,152,4,0,0,0,0
0,1,18,153,1,246,134,109,3
0,1,18,154,1,358,194,152,12
0,1,18,155,1,288,153,131,4
0,1,18,156,1,630,377,247,6
0,1,18,157,1,358,205,144,9
0,1,18,158,1,158,83,70,5
0,1,18,159,1,278,159,117,2
0,1,19,160,2,0,0,0,0
0,1,19,160,3,1709,643,1048,18
0,1,19,160,4,0,0,0,0
0,1,19,161,1,291,133,152,6
0,1,19,162,1,141,66,71,4
0,1,19,163,1,127,63,62,2
0,1,19,164,1,142,83,58,1
0,1,19,165,1,304,174,126,4
0,1,19,166,1,320,178,136,6
0,1,19,167,1,180,107,72,1
0,1,19,168,1,188,95,88,5
0,1,19,169,1,221,119,100,2
0,1,19,170,1,284,144,134,6
0,1,20,171,1,334,183,147,4
0,1,20,172,1,440,183,244,13
0,1,20,173,2,1720,389,1307,24
0,1,20,173,3,757,249,501,7
0,1,20,173,4,0,0,0,0
0,1,20,174,1,309,157,145,7
0,1,20,175,1,378,201,174,3
0,1,20,176,1,403,231,167,5
0,1,20,177,1,218,130,86,2
0,1,21,178,2,1548,725,812,11
0,1,21,178,3,904,488,411,5
0,1,21,178,4,572,417,151,4
0,1,22,179,2,2842,581,2244,17
0,1,22,179,3,1777,555,1208,14
0,1,22,179,4,0,0,0,0
0,1,22,180,1,102,55,44,3
