"sid","cid","vid","county_name","vote_type","county_fips"
2,1,1,"ARKANSAS","total","unknown"
2,2,1,"ASHLEY","total","unknown"
2,3,1,"BAXTER","total","unknown"
2,4,1,"BENTON","total","unknown"
2,5,1,"BOONE","total","unknown"
2,6,1,"BRADLEY","total","unknown"
2,7,1,"CALHOUN","total","unknown"
2,8,1,"CARROLL","total","unknown"
2,9,1,"CHICOT","total","unknown"
2,10,1,"CLARK","total","unknown"
2,11,1,"CLAY","total","unknown"
2,12,1,"CLEBURNE","total","unknown"
2,13,1,"CLEVELAND","total","unknown"
2,14,1,"COLUMBIA","total","unknown"
2,15,1,"CONWAY","total","unknown"
2,16,1,"CRAIGHEAD","total","unknown"
2,17,1,"CRAWFORD","total","unknown"
2,18,1,"CRITTENDEN","total","unknown"
2,19,1,"CROSS","total","unknown"
2,20,1,"DALLAS","total","unknown"
2,21,1,"DESHA","total","unknown"
2,22,1,"DREW","total","unknown"
2,23,1,"FAULKNER","total","unknown"
2,24,1,"FRANKLIN","total","unknown"
2,25,1,"FULTON","total","unknown"
2,26,1,"GARLAND","total","unknown"
2,27,1,"GRANT","total","unknown"
2,28,1,"GREENE","total","unknown"
2,29,1,"HEMPSTEAD","total","unknown"
2,30,1,"HOT SPRING","total","unknown"
2,31,1,"HOWARD","total","unknown"
2,32,1,"INDEPENDENCE","total","unknown"
2,33,1,"IZARD","total","unknown"
2,34,1,"JACKSON","total","unknown"
2,35,1,"JEFFERSON","total","unknown"
2,36,1,"JOHNSON","total","unknown"
2,37,1,"LAFAYETTE","total","unknown"
2,38,1,"LAWRENCE","total","unknown"
2,39,1,"LEE","total","unknown"
2,40,1,"LINCOLN","total","unknown"
2,41,1,"LITTLE RIVER","total","unknown"
2,42,1,"LOGAN","total","unknown"
2,43,1,"LONOKE","total","unknown"
2,44,1,"MADISON","total","unknown"
2,45,1,"MARION","total","unknown"
2,46,1,"MILLER","total","unknown"
2,47,1,"MISSISSIPPI","total","unknown"
2,48,1,"MONROE","total","unknown"
2,49,1,"MONTGOMERY","total","unknown"
2,50,1,"NEVADA","total","unknown"
2,51,1,"NEWTON","total","unknown"
2,52,1,"OUACHITA","total","unknown"
2,53,1,"PERRY","total","unknown"
2,54,1,"PHILLIPS","total","unknown"
2,55,1,"PIKE","total","unknown"
2,56,1,"POINSETT","total","unknown"
2,57,1,"POLK","total","unknown"
2,58,1,"POPE","total","unknown"
2,59,1,"PRAIRIE","total","unknown"
2,60,1,"PULASKI","total","unknown"
2,61,1,"RANDOLPH","total","unknown"
2,62,1,"SALINE","total","unknown"
2,63,1,"SCOTT","total","unknown"
2,64,1,"SEARCY","total","unknown"
2,65,1,"SEBASTIAN","total","unknown"
2,66,1,"SEVIER","total","unknown"
2,67,1,"SHARP","total","unknown"
2,68,1,"ST FRANCIS","total","unknown"
2,69,1,"STONE","total","unknown"
2,70,1,"UNION","total","unknown"
2,71,1,"VAN BUREN","total","unknown"
2,72,1,"WASHINGTON","total","unknown"
2,73,1,"WHITE","total","unknown"
2,74,1,"WOODRUFF","total","unknown"
2,75,1,"YELL","total","unknown"
