"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,2,1,1,1,109,96,10,3
0,2,1,2,1,45,34,11,0
0,2,1,3,1,78,72,5,1
0,2,1,4,1,78,67,9,2
0,2,1,5,1,26,24,1,1
0,2,1,6,1,94,77,16,1
0,2,1,7,1,41,32,9,0
0,2,1,8,1,196,62,123,11
0,2,1,9,1,305,226,71,8
0,2,1,10,1,375,300,67,8
0,2,1,11,1,70,63,7,0
0,2,1,12,1,69,50,17,2
0,2,1,13,1,111,90,20,1
0,2,1,14,1,65,41,22,2
0,2,1,15,1,159,129,26,4
0,2,1,16,1,93,80,11,2
0,2,1,17,1,58,18,36,4
0,2,1,18,1,26,15,10,1
0,2,1,19,1,329,241,83,5
0,2,1,20,1,467,410,51,6
0,2,1,21,1,47,38,7,2
0,2,1,22,1,105,88,14,3
0,2,1,23,1,96,86,10,0
0,2,1,24,1,173,147,23,3
0,2,1,25,1,94,87,6,1
0,2,1,26,1,83,74,8,1
0,2,1,27,1,11,7,4,0
0,2,1,28,1,728,193,498,37
0,2,1,29,1,1064,688,342,34
0,2,1,30,1,1089,766,296,27
0,2,2,31,1,26,22,3,1
0,2,2,32,1,11,7,4,0
0,2,2,33,1,214,177,34,3
0,2,2,34,1,408,355,42,11
0,2,2,35,1,515,182,297,36
0,2,2,36,1,651,298,323,30
0,2,2,37,1,878,685,175,18
0,2,2,38,1,60,34,23,3
0,2,2,39,1,253,211,39,3
0,2,2,40,1,629,547,74,8
0,2,2,41,1,467,418,45,4
0,2,2,42,1,221,45,160,16
0,2,2,43,1,256,189,55,12
0,2,2,44,1,394,309,76,9
0,2,2,45,1,397,345,47,5
0,2,2,46,1,88,83,5,0
0,2,2,47,1,96,19,69,8
0,2,2,48,1,8,5,3,0
0,2,2,49,1,155,142,11,2
0,2,2,50,1,463,379,77,7
0,2,2,51,1,266,212,50,4
0,2,2,52,1,93,29,55,9
0,2,2,53,1,15,7,6,2
0,2,2,54,1,173,84,84,5
0,2,2,55,1,33,24,8,1
0,2,2,56,1,49,41,5,3
0,2,2,57,1,282,212,62,8
0,2,2,58,1,594,406,178,10
0,2,2,59,1,173,40,100,33
0,2,2,60,1,58,41,15,2
0,2,3,61,1,766,637,115,14
0,2,3,62,1,812,638,156,18
0,2,3,63,1,461,332,116,13
0,2,3,64,1,408,292,107,9
0,2,3,65,1,777,610,148,19
0,2,3,66,1,352,285,61,6
0,2,3,67,1,224,146,69,9
0,2,3,68,1,645,487,143,15
0,2,3,69,1,410,314,87,9
0,2,3,70,1,241,188,49,4
0,2,3,71,1,66,46,14,6
0,2,3,72,1,38,32,5,1
0,2,3,73,1,35,30,3,2
0,2,3,74,1,88,65,22,1
0,2,3,75,1,253,191,55,7
