"sid","cid","county_name","county_fips"
3,1,"ADAMS","08001"
3,2,"ALAMOSA","08003"
3,3,"ARAPAHOE","08005"
3,4,"ARCHULETA","08007"
3,5,"BACA","08009"
3,6,"BENT","08011"
3,7,"BOULDER","08013"
3,8,"BROOMFIELD","08014"
3,9,"CHAFFEE","08015"
3,10,"CHEYENNE","08017"
3,11,"CLEAR CREEK","08019"
3,12,"CONEJOS","08021"
3,13,"COSTILLA","08023"
3,14,"CROWLEY","08025"
3,15,"CUSTER","08027"
3,16,"DELTA","08029"
3,17,"DENVER","08031"
3,18,"DOLORES","08033"
3,19,"DOUGLAS","08035"
3,20,"EAGLE","08037"
3,21,"EL PASO","08041"
3,22,"ELBERT","08039"
3,23,"FREMONT","08043"
3,24,"GARFIELD","08045"
3,25,"GILPIN","08047"
3,26,"GRAND","08049"
3,27,"GUNNISON","08051"
3,28,"HINSDALE","08053"
3,29,"HUERFANO","08055"
3,30,"JACKSON","08057"
3,31,"JEFFERSON","08059"
3,32,"KIOWA","08061"
3,33,"KIT CARSON","08063"
3,34,"LA PLATA","08067"
3,35,"LAKE","08065"
3,36,"LARIMER","08069"
3,37,"LAS ANIMAS","08071"
3,38,"LINCOLN","08073"
3,39,"LOGAN","08075"
3,40,"MESA","08077"
3,41,"MINERAL","08079"
3,42,"MOFFAT","08081"
3,43,"MONTEZUMA","08083"
3,44,"MONTROSE","08085"
3,45,"MORGAN","08087"
3,46,"OTERO","08089"
3,47,"OURAY","08091"
3,48,"PARK","08093"
3,49,"PHILLIPS","08095"
3,50,"PITKIN","08097"
3,51,"PROWERS","08099"
3,52,"PUEBLO","08101"
3,53,"RIO BLANCO","08103"
3,54,"RIO GRANDE","08105"
3,55,"ROUTT","08107"
3,56,"SAGUACHE","08109"
3,57,"SAN JUAN","08111"
3,58,"SAN MIGUEL","08113"
3,59,"SEDGWICK","08115"
3,60,"SUMMIT","08117"
3,61,"TELLER","08119"
3,62,"WASHINGTON","08121"
3,63,"WELD","08123"
3,64,"YUMA","08125"
