"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,4,1,1,1,349,227,111,11
0,4,1,1,2,1214,306,895,13
0,4,1,2,1,232,140,87,5
0,4,1,2,2,1125,244,867,14
0,4,1,3,1,298,210,80,8
0,4,1,3,2,1105,314,777,14
0,4,1,4,1,120,71,43,6
0,4,1,4,2,501,140,350,11
0,4,1,5,1,125,56,68,1
0,4,1,5,2,604,89,508,7
0,4,1,6,1,147,80,61,6
0,4,1,6,2,511,105,397,9
0,4,1,7,1,229,185,39,5
0,4,1,7,2,945,483,442,20
0,4,1,8,1,191,155,33,3
0,4,1,8,2,717,427,270,20
0,4,1,9,1,340,242,95,3
0,4,1,9,2,999,399,580,20
0,4,1,10,1,539,439,93,7
0,4,1,10,2,1216,693,496,27
0,4,1,11,1,250,197,48,5
0,4,1,11,2,663,345,305,13
0,4,1,12,1,199,166,31,2
0,4,1,12,2,755,480,263,12
0,4,1,13,1,396,284,109,3
0,4,1,13,2,784,283,494,7
0,4,1,14,1,73,40,32,1
0,4,1,14,2,334,85,243,6
0,4,1,15,1,189,166,18,5
0,4,1,15,2,429,316,109,4
0,4,1,16,1,230,194,31,5
0,4,1,16,2,524,375,139,10
0,4,1,17,1,71,48,22,1
0,4,1,17,2,293,91,197,5
0,4,1,18,1,65,48,17,0
0,4,1,18,2,118,47,69,2
0,4,1,19,1,131,107,24,0
0,4,1,19,2,258,166,89,3
0,4,1,20,1,228,152,74,2
0,4,1,20,2,312,158,151,3
0,4,1,21,1,737,610,117,10
0,4,1,21,2,2103,1128,941,34
0,4,1,22,1,86,65,21,0
0,4,1,22,2,197,61,134,2
0,4,1,23,1,738,594,137,7
0,4,1,23,2,1208,591,603,14
0,4,1,24,1,497,398,96,3
0,4,1,24,2,970,447,515,8
0,4,1,25,1,420,313,105,2
0,4,1,25,2,563,220,337,6
0,4,1,26,1,412,339,65,8
0,4,1,26,2,1230,706,491,33
0,4,1,27,1,303,222,77,4
0,4,1,27,2,603,214,376,13
0,4,1,28,1,465,331,127,7
0,4,1,28,2,1196,357,812,27
0,4,1,29,1,498,318,177,3
0,4,1,29,2,944,240,691,13
0,4,1,30,1,61,38,22,1
0,4,1,30,2,207,32,169,6
0,4,1,31,1,81,57,22,2
0,4,1,31,2,196,48,144,4
0,4,1,32,1,66,62,3,1
0,4,1,32,2,140,54,84,2
0,4,1,33,1,88,64,22,2
0,4,1,33,2,215,77,135,3
0,4,1,34,1,140,85,52,3
0,4,1,34,2,702,147,535,20
0,4,1,35,1,68,46,22,0
0,4,1,35,2,261,111,147,3
0,4,1,36,1,232,156,72,4
0,4,1,36,2,995,286,693,16
0,4,1,37,1,368,256,105,7
0,4,1,37,2,1044,395,635,14
0,4,1,38,1,228,112,110,6
0,4,1,38,2,970,161,795,14
0,4,1,39,1,80,49,29,2
0,4,1,39,2,447,96,343,8
0,4,1,40,1,50,25,25,0
0,4,1,40,2,380,41,336,3
0,4,1,41,1,244,174,69,1
0,4,1,41,2,1049,397,635,17
0,4,1,42,1,193,130,62,1
0,4,1,42,2,904,279,613,12
0,4,1,43,1,151,104,46,1
0,4,1,43,2,564,127,433,4
0,4,1,44,1,107,73,33,1
0,4,1,44,2,683,124,553,6
0,4,1,45,1,142,95,45,2
0,4,1,45,2,765,164,578,23
0,4,1,46,1,107,91,13,3
0,4,1,46,2,201,129,68,4
0,4,1,47,1,573,405,159,9
0,4,1,47,2,703,306,388,9
0,4,1,48,1,475,386,85,4
0,4,1,48,2,752,503,236,13
0,4,1,49,1,450,344,100,6
0,4,1,49,2,586,350,221,15
0,4,1,50,1,460,381,74,5
0,4,1,50,2,819,491,310,18
0,4,1,51,1,409,373,36,0
0,4,1,51,2,882,638,224,20
0,4,1,52,1,372,317,49,6
0,4,1,52,2,834,597,226,11
0,4,1,53,1,210,175,33,2
0,4,1,53,2,374,246,118,10
0,4,1,54,1,318,258,58,2
0,4,1,54,2,391,194,186,11
0,4,1,55,1,212,172,39,1
0,4,1,55,2,396,209,177,10
0,4,1,56,1,293,213,71,9
0,4,1,56,2,475,248,217,10
0,4,1,57,1,62,48,11,3
0,4,1,57,2,0,0,0,0
0,4,1,58,1,0,0,0,0
0,4,1,58,2,0,0,0,0
0,4,1,59,1,312,248,59,5
0,4,1,59,2,709,478,214,17
0,4,1,60,1,186,148,30,8
0,4,1,60,2,458,267,181,10
0,4,1,61,1,265,199,61,5
0,4,1,61,2,612,352,250,10
0,4,1,62,1,11,10,1,0
0,4,1,62,2,27,15,11,1
0,4,1,63,1,378,271,97,10
0,4,1,63,2,732,349,370,13
0,4,1,64,1,57,31,26,0
0,4,1,64,2,176,73,101,2
0,4,1,65,1,490,400,85,5
0,4,1,65,2,942,601,323,18
0,4,1,66,1,43,41,2,0
0,4,1,66,2,135,116,14,5
0,4,1,67,1,242,199,36,7
0,4,1,67,2,379,217,149,13
0,4,1,68,1,134,119,14,1
0,4,1,68,2,321,208,107,6
0,4,1,69,1,263,218,39,6
0,4,1,69,2,727,395,314,18
0,4,1,70,1,456,356,94,6
0,4,1,70,2,714,273,430,11
0,4,1,71,1,109,92,16,1
0,4,1,71,2,360,136,219,5
0,4,1,72,1,310,249,58,3
0,4,1,72,2,743,259,464,20
0,4,1,73,1,425,316,100,9
0,4,1,73,2,1177,393,768,16
0,4,1,74,1,443,298,138,7
0,4,1,74,2,1170,344,810,16
0,4,1,75,1,440,316,120,4
0,4,1,75,2,1126,427,679,20
0,4,1,76,1,56,34,21,1
0,4,1,76,2,167,27,135,5
0,4,1,77,1,183,135,44,4
0,4,1,77,2,813,184,615,14
0,4,1,78,1,445,293,149,3
0,4,1,78,2,1222,365,846,11
0,4,1,79,1,396,295,94,7
0,4,1,79,2,1221,556,633,32
0,4,1,80,1,252,154,95,3
0,4,1,80,2,869,218,639,12
0,4,1,81,1,423,325,87,11
0,4,1,81,2,1033,455,550,28
0,4,1,82,1,240,160,78,2
0,4,1,82,2,498,180,310,8
0,4,1,83,1,539,400,133,6
0,4,1,83,2,1188,625,540,23
0,4,1,84,1,131,94,35,2
0,4,1,84,2,472,129,339,4
0,4,1,85,1,554,382,164,8
0,4,1,85,2,1076,438,621,17
0,4,1,86,1,132,89,39,4
0,4,1,86,2,453,172,267,14
0,4,1,87,1,346,232,110,4
0,4,1,87,2,528,162,354,12
0,4,1,88,1,571,431,135,5
0,4,1,88,2,1032,405,612,15
0,4,1,89,1,566,403,155,8
0,4,1,89,2,1054,520,517,17
0,4,1,90,1,712,539,161,12
0,4,1,90,2,1575,674,873,28
0,4,1,91,1,4,4,0,0
0,4,1,91,2,48,12,33,3
0,4,2,92,1,301,275,16,10
0,4,2,92,2,489,450,35,4
0,4,2,93,1,372,358,12,2
0,4,2,93,2,870,818,47,5
0,4,2,94,1,203,200,3,0
0,4,2,94,2,610,578,30,2
0,4,2,95,1,293,286,6,1
0,4,2,95,2,862,793,57,12
0,4,2,96,1,474,433,31,10
0,4,2,96,2,750,621,120,9
0,4,2,97,1,106,105,0,1
0,4,2,97,2,321,304,13,4
0,4,2,98,1,144,137,4,3
0,4,2,98,2,351,318,27,6
0,4,2,99,1,56,46,9,1
0,4,2,99,2,108,77,29,2
0,4,2,100,1,324,311,11,2
0,4,2,100,2,617,551,60,6
0,4,2,101,1,260,252,4,4
0,4,2,101,2,835,811,20,4
0,4,2,102,1,213,208,5,0
0,4,2,102,2,424,373,46,5
