"sid","cid","county_name","county_fips"
1,1,"ALACHUA","12001"
1,2,"BAKER","12003"
1,3,"BAY","12005"
1,4,"BRADFORD","12007"
1,5,"BREVARD","12009"
1,6,"BROWARD","12011"
1,7,"CALHOUN","12013"
1,8,"CHARLOTTE","12015"
1,9,"CITRUS","12017"
1,10,"CLAY","12019"
1,11,"COLLIER","12021"
1,12,"COLUMBIA","12023"
1,13,"DESOTO","12027"
1,14,"DIXIE","12029"
1,15,"DUVAL","12031"
1,16,"ESCAMBIA","12033"
1,17,"FLAGLER","12035"
1,18,"FRANKLIN","12037"
1,19,"GADSDEN","12039"
1,20,"GILCHRIST","12041"
1,21,"GLADES","12043"
1,22,"GULF","12045"
1,23,"HAMILTON","12047"
1,24,"HARDEE","12049"
1,25,"HENDRY","12051"
1,26,"HERNANDO","12053"
1,27,"HIGHLANDS","12055"
1,28,"HILLSBOROUGH","12057"
1,29,"HOLMES","12059"
1,30,"INDIAN RIVER","12061"
1,31,"JACKSON","12063"
1,32,"JEFFERSON","12065"
1,33,"LAFAYETTE","12067"
1,34,"LAKE","12069"
1,35,"LEE","12071"
1,36,"LEON","12073"
1,37,"LEVY","12075"
1,38,"LIBERTY","12077"
1,39,"MADISON","12079"
1,40,"MANATEE","12081"
1,41,"MARION","12083"
1,42,"MARTIN","12085"
1,43,"MIAMI-DADE","12086"
1,44,"MONROE","12087"
1,45,"NASSAU","12089"
1,46,"OKALOOSA","12091"
1,47,"OKEECHOBEE","12093"
1,48,"ORANGE","12095"
1,49,"OSCEOLA","12097"
1,50,"PALM BEACH","12099"
1,51,"PASCO","12101"
1,52,"PINELLAS","12103"
1,53,"POLK","12105"
1,54,"PUTNAM","12107"
1,55,"SANTA ROSA","12109"
1,56,"SARASOTA","12111"
1,57,"SEMINOLE","12113"
1,58,"ST. JOHNS","12115"
1,59,"ST. LUCIE","12117"
1,60,"SUMTER","12119"
1,61,"SUWANNEE","12121"
1,62,"TAYLOR","12123"
1,63,"UNION","12125"
1,64,"VOLUSIA","12127"
1,65,"WAKULLA","12129"
1,66,"WALTON","12131"
1,67,"WASHINGTON","12133"
