"sid","cid","vid","county_name","vote_type","county_fips"
5,1,1,"ALACHUA","absentee","12001"
5,1,2,"ALACHUA","early","12001"
5,1,3,"ALACHUA","electionday","12001"
5,1,4,"ALACHUA","provisional","12001"
5,2,1,"BAKER","absentee","12003"
5,2,2,"BAKER","early","12003"
5,2,3,"BAKER","electionday","12003"
5,2,4,"BAKER","provisional","12003"
5,3,1,"BAY","absentee","12005"
5,3,3,"BAY","electionday","12005"
5,4,1,"BRADFORD","absentee","12007"
5,4,2,"BRADFORD","early","12007"
5,4,3,"BRADFORD","electionday","12007"
5,4,4,"BRADFORD","provisional","12007"
5,5,1,"BREVARD","absentee","12009"
5,5,2,"BREVARD","early","12009"
5,5,3,"BREVARD","electionday","12009"
5,6,1,"BROWARD","absentee","12011"
5,6,2,"BROWARD","early","12011"
5,6,3,"BROWARD","electionday","12011"
5,6,4,"BROWARD","provisional","12011"
5,8,1,"CHARLOTTE","absentee","12015"
5,8,2,"CHARLOTTE","early","12015"
5,8,3,"CHARLOTTE","electionday","12015"
5,8,4,"CHARLOTTE","provisional","12015"
5,10,1,"CLAY","absentee","12019"
5,10,2,"CLAY","early","12019"
5,10,3,"CLAY","electionday","12019"
5,10,4,"CLAY","provisional","12019"
5,11,1,"COLLIER","absentee","12021"
5,11,2,"COLLIER","early","12021"
5,11,3,"COLLIER","electionday","12021"
5,11,4,"COLLIER","provisional","12021"
5,12,1,"COLUMBIA","absentee","12023"
5,12,2,"COLUMBIA","early","12023"
5,12,3,"COLUMBIA","electionday","12023"
5,12,4,"COLUMBIA","provisional","12023"
5,19,1,"GADSDEN","absentee","12039"
5,19,2,"GADSDEN","early","12039"
5,19,3,"GADSDEN","electionday","12039"
5,19,4,"GADSDEN","provisional","12039"
5,20,1,"GILCHRIST","absentee","12041"
5,20,2,"GILCHRIST","early","12041"
5,20,3,"GILCHRIST","electionday","12041"
5,20,4,"GILCHRIST","provisional","12041"
5,23,1,"HAMILTON","absentee","12047"
5,23,2,"HAMILTON","early","12047"
5,23,3,"HAMILTON","electionday","12047"
5,23,4,"HAMILTON","provisional","12047"
5,24,1,"HARDEE","absentee","12049"
5,24,2,"HARDEE","early","12049"
5,24,3,"HARDEE","electionday","12049"
5,24,4,"HARDEE","provisional","12049"
5,25,1,"HENDRY","absentee","12051"
5,25,2,"HENDRY","early","12051"
5,25,3,"HENDRY","electionday","12051"
5,25,4,"HENDRY","provisional","12051"
5,27,1,"HIGHLANDS","absentee","12055"
5,27,2,"HIGHLANDS","early","12055"
5,27,3,"HIGHLANDS","electionday","12055"
5,27,4,"HIGHLANDS","provisional","12055"
5,28,1,"HILLSBOROUGH","absentee","12057"
5,28,2,"HILLSBOROUGH","early","12057"
5,28,3,"HILLSBOROUGH","electionday","12057"
5,28,4,"HILLSBOROUGH","provisional","12057"
5,29,1,"HOLMES","absentee","12059"
5,29,2,"HOLMES","early","12059"
5,29,3,"HOLMES","electionday","12059"
5,29,4,"HOLMES","provisional","12059"
5,30,1,"INDIAN RIVER","absentee","12061"
5,30,2,"INDIAN RIVER","early","12061"
5,30,3,"INDIAN RIVER","electionday","12061"
5,31,1,"JACKSON","absentee","12063"
5,31,2,"JACKSON","early","12063"
5,31,3,"JACKSON","electionday","12063"
5,31,4,"JACKSON","provisional","12063"
5,33,1,"LAFAYETTE","absentee","12067"
5,33,2,"LAFAYETTE","early","12067"
5,33,3,"LAFAYETTE","electionday","12067"
5,33,4,"LAFAYETTE","provisional","12067"
5,34,1,"LAKE","absentee","12069"
5,34,2,"LAKE","early","12069"
5,34,3,"LAKE","electionday","12069"
5,34,4,"LAKE","provisional","12069"
5,35,1,"LEE","absentee","12071"
5,35,2,"LEE","early","12071"
5,35,3,"LEE","electionday","12071"
5,35,4,"LEE","provisional","12071"
5,36,1,"LEON","absentee","12073"
5,36,2,"LEON","early","12073"
5,36,3,"LEON","electionday","12073"
5,37,1,"LEVY","absentee","12075"
5,37,2,"LEVY","early","12075"
5,37,3,"LEVY","electionday","12075"
5,37,4,"LEVY","provisional","12075"
5,38,1,"LIBERTY","absentee","12077"
5,38,2,"LIBERTY","early","12077"
5,38,3,"LIBERTY","electionday","12077"
5,38,4,"LIBERTY","provisional","12077"
5,39,1,"MADISON","absentee","12079"
5,39,2,"MADISON","early","12079"
5,39,3,"MADISON","electionday","12079"
5,39,4,"MADISON","provisional","12079"
5,40,1,"MANATEE","absentee","12081"
5,40,2,"MANATEE","early","12081"
5,40,3,"MANATEE","electionday","12081"
5,41,1,"MARION","absentee","12083"
5,41,2,"MARION","early","12083"
5,41,3,"MARION","electionday","12083"
5,42,1,"MARTIN","absentee","12085"
5,42,2,"MARTIN","early","12085"
5,42,3,"MARTIN","electionday","12085"
5,43,1,"MIAMI-DADE","absentee","12086"
5,43,2,"MIAMI-DADE","early","12086"
5,43,3,"MIAMI-DADE","electionday","12086"
5,43,4,"MIAMI-DADE","provisional","12086"
5,44,1,"MONROE","absentee","12087"
5,44,2,"MONROE","early","12087"
5,44,3,"MONROE","electionday","12087"
5,44,4,"MONROE","provisional","12087"
5,45,1,"NASSAU","absentee","12089"
5,45,2,"NASSAU","early","12089"
5,45,3,"NASSAU","electionday","12089"
5,46,1,"OKALOOSA","absentee","12091"
5,46,2,"OKALOOSA","early","12091"
5,46,3,"OKALOOSA","electionday","12091"
5,46,4,"OKALOOSA","provisional","12091"
5,49,1,"OSCEOLA","absentee","12097"
5,49,2,"OSCEOLA","early","12097"
5,49,3,"OSCEOLA","electionday","12097"
5,49,4,"OSCEOLA","provisional","12097"
5,50,1,"PALM BEACH","absentee","12099"
5,50,2,"PALM BEACH","early","12099"
5,50,3,"PALM BEACH","electionday","12099"
5,50,4,"PALM BEACH","provisional","12099"
5,51,1,"PASCO","absentee","12101"
5,51,2,"PASCO","early","12101"
5,51,3,"PASCO","electionday","12101"
5,52,1,"PINELLAS","absentee","12103"
5,52,2,"PINELLAS","early","12103"
5,52,3,"PINELLAS","electionday","12103"
5,52,4,"PINELLAS","provisional","12103"
5,53,1,"POLK","absentee","12105"
5,53,2,"POLK","early","12105"
5,53,3,"POLK","electionday","12105"
5,54,1,"PUTNAM","absentee","12107"
5,54,2,"PUTNAM","early","12107"
5,54,3,"PUTNAM","electionday","12107"
5,54,4,"PUTNAM","provisional","12107"
5,55,1,"SANTA ROSA","absentee","12109"
5,55,2,"SANTA ROSA","early","12109"
5,55,3,"SANTA ROSA","electionday","12109"
5,55,4,"SANTA ROSA","provisional","12109"
5,56,1,"SARASOTA","absentee","12111"
5,56,2,"SARASOTA","early","12111"
5,56,3,"SARASOTA","electionday","12111"
5,58,1,"ST. JOHNS","absentee","12115"
5,58,2,"ST. JOHNS","early","12115"
5,58,3,"ST. JOHNS","electionday","12115"
5,59,1,"ST. LUCIE","absentee","12117"
5,59,2,"ST. LUCIE","early","12117"
5,59,3,"ST. LUCIE","electionday","12117"
5,59,4,"ST. LUCIE","provisional","12117"
5,60,1,"SUMTER","absentee","12119"
5,60,2,"SUMTER","early","12119"
5,60,3,"SUMTER","electionday","12119"
5,60,4,"SUMTER","provisional","12119"
5,61,1,"SUWANNEE","absentee","12121"
5,61,2,"SUWANNEE","early","12121"
5,61,3,"SUWANNEE","electionday","12121"
5,61,4,"SUWANNEE","provisional","12121"
5,63,1,"UNION","absentee","12125"
5,63,2,"UNION","early","12125"
5,63,3,"UNION","electionday","12125"
5,63,4,"UNION","provisional","12125"
5,65,1,"WAKULLA","absentee","12129"
5,65,2,"WAKULLA","early","12129"
5,65,3,"WAKULLA","electionday","12129"
5,65,4,"WAKULLA","provisional","12129"
5,66,1,"WALTON","absentee","12131"
5,66,2,"WALTON","early","12131"
5,66,3,"WALTON","electionday","12131"
5,67,1,"WASHINGTON","absentee","12133"
5,67,2,"WASHINGTON","early","12133"
5,67,3,"WASHINGTON","electionday","12133"
5,67,4,"WASHINGTON","provisional","12133"
