"sid","cid","pid","county_name","precinct_id","county_fips","precinct_geo_id","precinct_name"
5,1,4021,"ALACHUA","1-First Baptist Church of Waldo","12001","12001-01",""
5,1,4022,"ALACHUA","10-Micanopy Town Hall","12001","12001-10",""
5,1,4023,"ALACHUA","11-Archer Community Center","12001","12001-11",""
5,1,4024,"ALACHUA","12-Parkview Baptist Church","12001","12001-12",""
5,1,4025,"ALACHUA","13-Mt. Carmel Baptist Church","12001","12001-13",""
5,1,4026,"ALACHUA","14-Melrose United Methodist","12001","12001-14",""
5,1,4027,"ALACHUA","15-Windsor Baptist Church","12001","12001-15",""
5,1,4028,"ALACHUA","16-BestWestern Gateway Grand Hotel","12001","12001-16",""
5,1,4029,"ALACHUA","17-Elks Lodge #990","12001","12001-17",""
5,1,4030,"ALACHUA","18-Kanapaha Presbyterian Church","12001","12001-18",""
5,1,4031,"ALACHUA","19-Springhill Baptist Church","12001","12001-19",""
5,1,4032,"ALACHUA","2-LaCrosse Town Hall","12001","12001-02",""
5,1,4033,"ALACHUA","20-High Springs Civic Center","12001","12001-20",""
5,1,4034,"ALACHUA","21-North Central Florida YMCA","12001","12001-21",""
5,1,4035,"ALACHUA","22-Northwest Baptist Church","12001","12001-22",""
5,1,4036,"ALACHUA","23-Precinct 23","12001","12001-23",""
5,1,4037,"ALACHUA","24-Gainesville Baptist Church","12001","12001-24",""
5,1,4038,"ALACHUA","25-SFC Blount Center","12001","12001-25",""
5,1,4039,"ALACHUA","26-Westside Recreation Center","12001","12001-26",""
5,1,4040,"ALACHUA","27-Thelma Boltin Activity Center","12001","12001-27",""
5,1,4041,"ALACHUA","28-McPherson Recreation Center","12001","12001-28",""
5,1,4042,"ALACHUA","29-Haile Meeting Hall","12001","12001-29",""
5,1,4043,"ALACHUA","3-Legacy Park","12001","12001-03",""
5,1,4044,"ALACHUA","30-Greater Bethel A.M.E. Church","12001","12001-30",""
5,1,4045,"ALACHUA","31-J. Wayne Reitz Union","12001","12001-31",""
5,1,4046,"ALACHUA","32-LifeSouth Community Blood Centers","12001","12001-32",""
5,1,4047,"ALACHUA","33-Ironwood Clubhouse","12001","12001-33",""
5,1,4048,"ALACHUA","34-Fairbanks Baptist Church","12001","12001-34",""
5,1,4049,"ALACHUA","35-Southwest United Methodist Church","12001","12001-35",""
5,1,4050,"ALACHUA","36-Doyle Conner Building","12001","12001-36",""
5,1,4051,"ALACHUA","37-Unitarian Universalist Fellowship","12001","12001-37",""
5,1,4052,"ALACHUA","38-Senior Recreation Center","12001","12001-38",""
5,1,4053,"ALACHUA","39-Hilton UF Conf. Center","12001","12001-39",""
5,1,4054,"ALACHUA","4-Newberry United Methodist Church","12001","12001-04",""
5,1,4055,"ALACHUA","40-University City Church Of Christ","12001","12001-40",""
5,1,4056,"ALACHUA","41-Oak Dale Baptist Church","12001","12001-41",""
5,1,4057,"ALACHUA","42-Tower Road Branch Library","12001","12001-42",""
5,1,4058,"ALACHUA","43-Grace United Methodist Church","12001","12001-43",""
5,1,4059,"ALACHUA","44-Phillips Center for the Perf. Arts","12001","12001-44",""
5,1,4060,"ALACHUA","45-Trinity United Methodist Church","12001","12001-45",""
5,1,4061,"ALACHUA","46-Westside Baptist Church","12001","12001-46",""
5,1,4062,"ALACHUA","47-The Family Church","12001","12001-47",""
5,1,4063,"ALACHUA","48-Freedom Comm. Center at Kanapaha","12001","12001-48",""
5,1,4064,"ALACHUA","49-First Baptist Church","12001","12001-49",""
5,1,4065,"ALACHUA","5-First Lutheran Church","12001","12001-05",""
5,1,4066,"ALACHUA","50-Westminster Presbyterian Church","12001","12001-50",""
5,1,4067,"ALACHUA","51-Faith Presbyterian Church","12001","12001-51",""
5,1,4068,"ALACHUA","52-Freedom Comm. Center at Kanapaha","12001","12001-52",""
5,1,4069,"ALACHUA","53-Hathcock Community Center","12001","12001-53",""
5,1,4070,"ALACHUA","54-Florida Museum of Natural History","12001","12001-54",""
5,1,4071,"ALACHUA","55-Gateway Christian Center","12001","12001-55",""
5,1,4072,"ALACHUA","56-Covenant Presbyterian Church","12001","12001-56",""
5,1,4073,"ALACHUA","57-Creekside Community Church","12001","12001-57",""
5,1,4074,"ALACHUA","58-Gainesville Shrine Club","12001","12001-58",""
5,1,4075,"ALACHUA","59-Wyndham Garden Hotel","12001","12001-59",""
5,1,4076,"ALACHUA","6-Newberry Municipal Building","12001","12001-06",""
5,1,4077,"ALACHUA","60-Fellowship Church of High Springs","12001","12001-60",""
5,1,4078,"ALACHUA","61-Millhopper Branch Library","12001","12001-61",""
5,1,4079,"ALACHUA","62-North Central Baptist Church","12001","12001-62",""
5,1,4080,"ALACHUA","63-CSI Academy of Florida","12001","12001-63",""
5,1,4081,"ALACHUA","7-Ignite Life Center","12001","12001-07",""
5,1,4082,"ALACHUA","8-Hawthorne Community Center","12001","12001-08",""
5,1,4083,"ALACHUA","9-Island Grove Baptist Church","12001","12001-09",""
5,2,1,"BAKER","Baxter 4A","12003","12003-4A-BAXTER",""
5,2,2,"BAKER","Cuyler 4D","12003","12003-4D-CUYLER",""
5,2,3,"BAKER","Glen St. Mary 5A","12003","12003-5A-GLEN ST MARY",""
5,2,4,"BAKER","Macedonia 4C","12003","12003-4C-MACEDONIA",""
5,2,5,"BAKER","North Macclenny 3A","12003","12003-3A-NORTH MACCLENNY",""
5,2,6,"BAKER","Olustee 6A","12003","12003-6A-OLUSTEE",""
5,2,7,"BAKER","Sanderson 1A","12003","12003-1A-SANDERSON",""
5,2,8,"BAKER","South Macclenny 2A","12003","12003-2A-SOUTH MACCLENNY",""
5,2,9,"BAKER","Taylor 4B","12003","12003-4B-TAYLOR",""
5,4,10,"BRADFORD","Precinct 1","12007","12007-01",""
5,4,11,"BRADFORD","Precinct 10","12007","12007-10",""
5,4,12,"BRADFORD","Precinct 11","12007","12007-11",""
5,4,13,"BRADFORD","Precinct 12","12007","12007-12",""
5,4,14,"BRADFORD","Precinct 13","12007","12007-13",""
5,4,15,"BRADFORD","Precinct 14","12007","12007-14",""
5,4,16,"BRADFORD","Precinct 2","12007","12007-02",""
5,4,17,"BRADFORD","Precinct 3","12007","12007-03",""
5,4,18,"BRADFORD","Precinct 4","12007","12007-04",""
5,4,19,"BRADFORD","Precinct 5","12007","12007-05",""
5,4,20,"BRADFORD","Precinct 6","12007","12007-06",""
5,4,21,"BRADFORD","Precinct 7","12007","12007-07",""
5,4,22,"BRADFORD","Precinct 8","12007","12007-08",""
5,4,23,"BRADFORD","Precinct 9","12007","12007-09",""
5,5,4084,"BREVARD","Precinct 100","12009","12009-100",""
5,5,4085,"BREVARD","Precinct 102","12009","12009-102",""
5,5,4086,"BREVARD","Precinct 103","12009","12009-103",""
5,5,4087,"BREVARD","Precinct 104","12009","12009-104",""
5,5,4088,"BREVARD","Precinct 105","12009","12009-105",""
5,5,4089,"BREVARD","Precinct 106","12009","12009-106",""
5,5,4090,"BREVARD","Precinct 107","12009","12009-107",""
5,5,4091,"BREVARD","Precinct 108","12009","12009-108",""
5,5,4092,"BREVARD","Precinct 109","12009","12009-109",""
5,5,4093,"BREVARD","Precinct 111","12009","12009-111",""
5,5,4094,"BREVARD","Precinct 112","12009","12009-112",""
5,5,4095,"BREVARD","Precinct 113","12009","12009-113",""
5,5,4096,"BREVARD","Precinct 114","12009","12009-114",""
5,5,4097,"BREVARD","Precinct 115","12009","12009-115",""
5,5,4098,"BREVARD","Precinct 116","12009","12009-116",""
5,5,4099,"BREVARD","Precinct 118","12009","12009-118",""
5,5,4100,"BREVARD","Precinct 120","12009","12009-120",""
5,5,4101,"BREVARD","Precinct 121","12009","12009-121",""
5,5,4102,"BREVARD","Precinct 122","12009","12009-122",""
5,5,4103,"BREVARD","Precinct 123","12009","12009-123",""
5,5,4104,"BREVARD","Precinct 124","12009","12009-124",""
5,5,4105,"BREVARD","Precinct 125","12009","12009-125",""
5,5,4106,"BREVARD","Precinct 126","12009","12009-126",""
5,5,4107,"BREVARD","Precinct 127","12009","12009-127",""
5,5,4108,"BREVARD","Precinct 128","12009","12009-128",""
5,5,4109,"BREVARD","Precinct 129","12009","12009-129",""
5,5,4110,"BREVARD","Precinct 130","12009","12009-130",""
5,5,4111,"BREVARD","Precinct 131","12009","12009-131",""
5,5,4112,"BREVARD","Precinct 132","12009","12009-132",""
5,5,4113,"BREVARD","Precinct 133","12009","12009-133",""
5,5,4114,"BREVARD","Precinct 135","12009","12009-135",""
5,5,4115,"BREVARD","Precinct 136","12009","12009-136",""
5,5,4116,"BREVARD","Precinct 200","12009","12009-200",""
5,5,4117,"BREVARD","Precinct 201","12009","12009-201",""
5,5,4118,"BREVARD","Precinct 202","12009","12009-202",""
5,5,4119,"BREVARD","Precinct 203","12009","12009-203",""
5,5,4120,"BREVARD","Precinct 204","12009","12009-204",""
5,5,4121,"BREVARD","Precinct 205","12009","12009-205",""
5,5,4122,"BREVARD","Precinct 206","12009","12009-206",""
5,5,4123,"BREVARD","Precinct 207","12009","12009-207",""
5,5,4124,"BREVARD","Precinct 208","12009","12009-208",""
5,5,4125,"BREVARD","Precinct 209","12009","12009-209",""
5,5,4126,"BREVARD","Precinct 211","12009","12009-211",""
5,5,4127,"BREVARD","Precinct 212","12009","12009-212",""
5,5,4128,"BREVARD","Precinct 213","12009","12009-213",""
5,5,4129,"BREVARD","Precinct 214","12009","12009-214",""
5,5,4130,"BREVARD","Precinct 215","12009","12009-215",""
5,5,4131,"BREVARD","Precinct 216","12009","12009-216",""
5,5,4132,"BREVARD","Precinct 217","12009","12009-217",""
5,5,4133,"BREVARD","Precinct 218","12009","12009-218",""
5,5,4134,"BREVARD","Precinct 219","12009","12009-219",""
5,5,4135,"BREVARD","Precinct 220","12009","12009-220",""
5,5,4136,"BREVARD","Precinct 221","12009","12009-221",""
5,5,4137,"BREVARD","Precinct 222","12009","12009-222",""
5,5,4138,"BREVARD","Precinct 223","12009","12009-223",""
5,5,4139,"BREVARD","Precinct 224","12009","12009-224",""
5,5,4140,"BREVARD","Precinct 225","12009","12009-225",""
5,5,4141,"BREVARD","Precinct 226","12009","12009-226",""
5,5,4142,"BREVARD","Precinct 227","12009","12009-227",""
5,5,4143,"BREVARD","Precinct 228","12009","12009-228",""
5,5,4144,"BREVARD","Precinct 229","12009","12009-229",""
5,5,4145,"BREVARD","Precinct 230","12009","12009-230",""
5,5,4146,"BREVARD","Precinct 231","12009","12009-231",""
5,5,4147,"BREVARD","Precinct 233","12009","12009-233",""
5,5,4148,"BREVARD","Precinct 234","12009","12009-234",""
5,5,4149,"BREVARD","Precinct 235","12009","12009-235",""
5,5,4150,"BREVARD","Precinct 236","12009","12009-236",""
5,5,4151,"BREVARD","Precinct 237","12009","12009-237",""
5,5,4152,"BREVARD","Precinct 238","12009","12009-238",""
5,5,4153,"BREVARD","Precinct 239","12009","12009-239",""
5,5,4154,"BREVARD","Precinct 240","12009","12009-240",""
5,5,4155,"BREVARD","Precinct 300","12009","12009-300",""
5,5,4156,"BREVARD","Precinct 301","12009","12009-301",""
5,5,4157,"BREVARD","Precinct 302","12009","12009-302",""
5,5,4158,"BREVARD","Precinct 303","12009","12009-303",""
5,5,4159,"BREVARD","Precinct 304","12009","12009-304",""
5,5,4160,"BREVARD","Precinct 305","12009","12009-305",""
5,5,4161,"BREVARD","Precinct 306","12009","12009-306",""
5,5,4162,"BREVARD","Precinct 307","12009","12009-307",""
5,5,4163,"BREVARD","Precinct 308","12009","12009-308",""
5,5,4164,"BREVARD","Precinct 309","12009","12009-309",""
5,5,4165,"BREVARD","Precinct 310","12009","12009-310",""
5,5,4166,"BREVARD","Precinct 311","12009","12009-311",""
5,5,4167,"BREVARD","Precinct 312","12009","12009-312",""
5,5,4168,"BREVARD","Precinct 313","12009","12009-313",""
5,5,4169,"BREVARD","Precinct 314","12009","12009-314",""
5,5,4170,"BREVARD","Precinct 315","12009","12009-315",""
5,5,4171,"BREVARD","Precinct 316","12009","12009-316",""
5,5,4172,"BREVARD","Precinct 317","12009","12009-317",""
5,5,4173,"BREVARD","Precinct 318","12009","12009-318",""
5,5,4174,"BREVARD","Precinct 319","12009","12009-319",""
5,5,4175,"BREVARD","Precinct 320","12009","12009-320",""
5,5,4176,"BREVARD","Precinct 321","12009","12009-321",""
5,5,4177,"BREVARD","Precinct 322","12009","12009-322",""
5,5,4178,"BREVARD","Precinct 323","12009","12009-323",""
5,5,4179,"BREVARD","Precinct 324","12009","12009-324",""
5,5,4180,"BREVARD","Precinct 325","12009","12009-325",""
5,5,4181,"BREVARD","Precinct 326","12009","12009-326",""
5,5,4182,"BREVARD","Precinct 327","12009","12009-327",""
5,5,4183,"BREVARD","Precinct 328","12009","12009-328",""
5,5,4184,"BREVARD","Precinct 400","12009","12009-400",""
5,5,4185,"BREVARD","Precinct 402","12009","12009-402",""
5,5,4186,"BREVARD","Precinct 403","12009","12009-403",""
5,5,4187,"BREVARD","Precinct 404","12009","12009-404",""
5,5,4188,"BREVARD","Precinct 405","12009","12009-405",""
5,5,4189,"BREVARD","Precinct 406","12009","12009-406",""
5,5,4190,"BREVARD","Precinct 407","12009","12009-407",""
5,5,4191,"BREVARD","Precinct 408","12009","12009-408",""
5,5,4192,"BREVARD","Precinct 409","12009","12009-409",""
5,5,4193,"BREVARD","Precinct 410","12009","12009-410",""
5,5,4194,"BREVARD","Precinct 411","12009","12009-411",""
5,5,4195,"BREVARD","Precinct 412","12009","12009-412",""
5,5,4196,"BREVARD","Precinct 414","12009","12009-414",""
5,5,4197,"BREVARD","Precinct 415","12009","12009-415",""
5,5,4198,"BREVARD","Precinct 416","12009","12009-416",""
5,5,4199,"BREVARD","Precinct 417","12009","12009-417",""
5,5,4200,"BREVARD","Precinct 418","12009","12009-418",""
5,5,4201,"BREVARD","Precinct 419","12009","12009-419",""
5,5,4202,"BREVARD","Precinct 420","12009","12009-420",""
5,5,4203,"BREVARD","Precinct 421","12009","12009-421",""
5,5,4204,"BREVARD","Precinct 422","12009","12009-422",""
5,5,4205,"BREVARD","Precinct 424","12009","12009-424",""
5,5,4206,"BREVARD","Precinct 425","12009","12009-425",""
5,5,4207,"BREVARD","Precinct 426","12009","12009-426",""
5,5,4208,"BREVARD","Precinct 427","12009","12009-427",""
5,5,4209,"BREVARD","Precinct 428","12009","12009-428",""
5,5,4210,"BREVARD","Precinct 429","12009","12009-429",""
5,5,4211,"BREVARD","Precinct 430","12009","12009-430",""
5,5,4212,"BREVARD","Precinct 431","12009","12009-431",""
5,5,4213,"BREVARD","Precinct 432","12009","12009-432",""
5,5,4214,"BREVARD","Precinct 433","12009","12009-433",""
5,5,4215,"BREVARD","Precinct 434","12009","12009-434",""
5,5,4216,"BREVARD","Precinct 435","12009","12009-435",""
5,5,4217,"BREVARD","Precinct 436","12009","12009-436",""
5,5,4218,"BREVARD","Precinct 437","12009","12009-437",""
5,5,4219,"BREVARD","Precinct 438","12009","12009-438",""
5,5,4220,"BREVARD","Precinct 439","12009","12009-439",""
5,5,4221,"BREVARD","Precinct 440","12009","12009-440",""
5,5,4222,"BREVARD","Precinct 441","12009","12009-441",""
5,5,4223,"BREVARD","Precinct 442","12009","12009-442",""
5,5,4224,"BREVARD","Precinct 443","12009","12009-443",""
5,5,4225,"BREVARD","Precinct 500","12009","12009-500",""
5,5,4226,"BREVARD","Precinct 501","12009","12009-501",""
5,5,4227,"BREVARD","Precinct 502","12009","12009-502",""
5,5,4228,"BREVARD","Precinct 503","12009","12009-503",""
5,5,4229,"BREVARD","Precinct 504","12009","12009-504",""
5,5,4230,"BREVARD","Precinct 505","12009","12009-505",""
5,5,4231,"BREVARD","Precinct 506","12009","12009-506",""
5,5,4232,"BREVARD","Precinct 507","12009","12009-507",""
5,5,4233,"BREVARD","Precinct 508","12009","12009-508",""
5,5,4234,"BREVARD","Precinct 509","12009","12009-509",""
5,5,4235,"BREVARD","Precinct 510","12009","12009-510",""
5,5,4236,"BREVARD","Precinct 511","12009","12009-511",""
5,5,4237,"BREVARD","Precinct 512","12009","12009-512",""
5,5,4238,"BREVARD","Precinct 513","12009","12009-513",""
5,5,4239,"BREVARD","Precinct 515","12009","12009-515",""
5,5,4240,"BREVARD","Precinct 516","12009","12009-516",""
5,5,4241,"BREVARD","Precinct 517","12009","12009-517",""
5,5,4242,"BREVARD","Precinct 518","12009","12009-518",""
5,5,4243,"BREVARD","Precinct 519","12009","12009-519",""
