"sid","cid","county_name","county_fips"
1,1,"APPLING","13001"
1,2,"ATKINSON","13003"
1,3,"BACON","13005"
1,4,"BAKER","13007"
1,5,"BALDWIN","13009"
1,6,"BANKS","13011"
1,7,"BARROW","13013"
1,8,"BARTOW","13015"
1,9,"BEN_HILL","13017"
1,10,"BERRIEN","13019"
1,11,"BIBB","13021"
1,12,"BLECKLEY","13023"
1,13,"BRANTLEY","13025"
1,14,"BROOKS","13027"
1,15,"BRYAN","13029"
1,16,"BULLOCH","13031"
1,17,"BURKE","13033"
1,18,"BUTTS","13035"
1,19,"CALHOUN","13037"
1,20,"CAMDEN","13039"
1,21,"CANDLER","13043"
1,22,"CARROLL","13045"
1,23,"CATOOSA","13047"
1,24,"CHARLTON","13049"
1,25,"CHATHAM","13051"
1,26,"CHATTAHOOCHEE","13053"
1,27,"CHATTOOGA","13055"
1,28,"CHEROKEE","13057"
1,29,"CLARKE","13059"
1,30,"CLAY","13061"
1,31,"CLAYTON","13063"
1,32,"CLINCH","13065"
1,33,"COBB","13067"
1,34,"COFFEE","13069"
1,35,"COLQUITT","13071"
1,36,"COLUMBIA","13073"
1,37,"COOK","13075"
1,38,"COWETA","13077"
1,39,"CRAWFORD","13079"
1,40,"CRISP","13081"
1,41,"DADE","13083"
1,42,"DAWSON","13085"
1,44,"DECATUR","13087"
1,43,"DEKALB","13089"
1,45,"DODGE","13091"
1,46,"DOOLY","13093"
1,47,"DOUGHERTY","13095"
1,48,"DOUGLAS","13097"
1,49,"EARLY","13099"
1,50,"ECHOLS","13101"
1,51,"EFFINGHAM","13103"
1,52,"ELBERT","13105"
1,53,"EMANUEL","13107"
1,54,"EVANS","13109"
1,55,"FANNIN","13111"
1,56,"FAYETTE","13113"
1,57,"FLOYD","13115"
1,58,"FORSYTH","13117"
1,59,"FRANKLIN","13119"
1,60,"FULTON","13121"
1,61,"GILMER","13123"
1,62,"GLASCOCK","13125"
1,63,"GLYNN","13127"
1,64,"GORDON","13129"
1,65,"GRADY","13131"
1,66,"GREENE","13133"
1,67,"GWINNETT","13135"
1,68,"HABERSHAM","13137"
1,69,"HALL","13139"
1,70,"HANCOCK","13141"
1,71,"HARALSON","13143"
1,72,"HARRIS","13145"
1,73,"HART","13147"
1,74,"HEARD","13149"
1,75,"HENRY","13151"
1,76,"HOUSTON","13153"
1,77,"IRWIN","13155"
1,78,"JACKSON","13157"
1,79,"JASPER","13159"
1,80,"JEFF_DAVIS","13161"
1,81,"JEFFERSON","13163"
1,82,"JENKINS","13165"
1,83,"JOHNSON","13167"
1,84,"JONES","13169"
1,85,"LAMAR","13171"
1,86,"LANIER","13173"
1,87,"LAURENS","13175"
1,88,"LEE","13177"
1,89,"LIBERTY","13179"
1,90,"LINCOLN","13181"
1,91,"LONG","13183"
1,92,"LOWNDES","13185"
1,93,"LUMPKIN","13187"
1,94,"MACON","13193"
1,95,"MADISON","13195"
1,96,"MARION","13197"
1,97,"MCDUFFIE","13189"
1,98,"MCINTOSH","13191"
1,99,"MERIWETHER","13199"
1,100,"MILLER","13201"
1,101,"MITCHELL","13205"
1,102,"MONROE","13207"
1,103,"MONTGOMERY","13209"
1,104,"MORGAN","13211"
1,105,"MURRAY","13213"
1,106,"MUSCOGEE","13215"
1,107,"NEWTON","13217"
1,108,"OCONEE","13219"
1,109,"OGLETHORPE","13221"
1,110,"PAULDING","13223"
1,111,"PEACH","13225"
1,112,"PICKENS","13227"
1,113,"PIERCE","13229"
1,114,"PIKE","13231"
1,115,"POLK","13233"
1,116,"PULASKI","13235"
1,117,"PUTNAM","13237"
1,118,"QUITMAN","13239"
1,119,"RABUN","13241"
1,120,"RANDOLPH","13243"
1,121,"RICHMOND","13245"
1,122,"ROCKDALE","13247"
1,123,"SCHLEY","13249"
1,124,"SCREVEN","13251"
1,125,"SEMINOLE","13253"
1,126,"SPALDING","13255"
1,127,"STEPHENS","13257"
1,128,"STEWART","13259"
1,129,"SUMTER","13261"
1,130,"TALBOT","13263"
1,131,"TALIAFERRO","13265"
1,132,"TATTNALL","13267"
1,133,"TAYLOR","13269"
1,134,"TELFAIR","13271"
1,135,"TERRELL","13273"
1,136,"THOMAS","13275"
1,137,"TIFT","13277"
1,138,"TOOMBS","13279"
1,139,"TOWNS","13281"
1,140,"TREUTLEN","13283"
1,141,"TROUP","13285"
1,142,"TURNER","13287"
1,143,"TWIGGS","13289"
1,144,"UNION","13291"
1,145,"UPSON","13293"
1,146,"WALKER","13295"
1,147,"WALTON","13297"
1,148,"WARE","13299"
1,149,"WARREN","13301"
1,150,"WASHINGTON","13303"
1,151,"WAYNE","13305"
1,152,"WEBSTER","13307"
1,153,"WHEELER","13309"
1,154,"WHITE","13311"
1,155,"WHITFIELD","13313"
1,156,"WILCOX","13315"
1,157,"WILKES","13317"
1,158,"WILKINSON","13319"
1,159,"WORTH","13321"
