"sid","cid","vid","county_name","vote_type","county_fips"
1,1,1,"APPLING","absentee","13001"
1,1,2,"APPLING","early","13001"
1,1,3,"APPLING","electionday","13001"
1,1,4,"APPLING","provisional","13001"
1,2,1,"ATKINSON","absentee","13003"
1,2,2,"ATKINSON","early","13003"
1,2,3,"ATKINSON","electionday","13003"
1,2,4,"ATKINSON","provisional","13003"
1,3,1,"BACON","absentee","13005"
1,3,2,"BACON","early","13005"
1,3,3,"BACON","electionday","13005"
1,3,4,"BACON","provisional","13005"
1,4,1,"BAKER","absentee","13007"
1,4,2,"BAKER","early","13007"
1,4,3,"BAKER","electionday","13007"
1,4,4,"BAKER","provisional","13007"
1,5,1,"BALDWIN","absentee","13009"
1,5,2,"BALDWIN","early","13009"
1,5,3,"BALDWIN","electionday","13009"
1,5,4,"BALDWIN","provisional","13009"
1,6,1,"BANKS","absentee","13011"
1,6,2,"BANKS","early","13011"
1,6,3,"BANKS","electionday","13011"
1,6,4,"BANKS","provisional","13011"
1,7,1,"BARROW","absentee","13013"
1,7,2,"BARROW","early","13013"
1,7,3,"BARROW","electionday","13013"
1,7,4,"BARROW","provisional","13013"
1,8,1,"BARTOW","absentee","13015"
1,8,2,"BARTOW","early","13015"
1,8,3,"BARTOW","electionday","13015"
1,8,4,"BARTOW","provisional","13015"
1,9,1,"BEN_HILL","absentee","13017"
1,9,2,"BEN_HILL","early","13017"
1,9,3,"BEN_HILL","electionday","13017"
1,9,4,"BEN_HILL","provisional","13017"
1,10,1,"BERRIEN","absentee","13019"
1,10,2,"BERRIEN","early","13019"
1,10,3,"BERRIEN","electionday","13019"
1,10,4,"BERRIEN","provisional","13019"
1,11,1,"BIBB","absentee","13021"
1,11,2,"BIBB","early","13021"
1,11,3,"BIBB","electionday","13021"
1,11,4,"BIBB","provisional","13021"
1,12,1,"BLECKLEY","absentee","13023"
1,12,2,"BLECKLEY","early","13023"
1,12,3,"BLECKLEY","electionday","13023"
1,12,4,"BLECKLEY","provisional","13023"
1,13,1,"BRANTLEY","absentee","13025"
1,13,2,"BRANTLEY","early","13025"
1,13,3,"BRANTLEY","electionday","13025"
1,13,4,"BRANTLEY","provisional","13025"
1,14,1,"BROOKS","absentee","13027"
1,14,2,"BROOKS","early","13027"
1,14,3,"BROOKS","electionday","13027"
1,14,4,"BROOKS","provisional","13027"
1,15,1,"BRYAN","absentee","13029"
1,15,2,"BRYAN","early","13029"
1,15,3,"BRYAN","electionday","13029"
1,15,4,"BRYAN","provisional","13029"
1,16,1,"BULLOCH","absentee","13031"
1,16,2,"BULLOCH","early","13031"
1,16,3,"BULLOCH","electionday","13031"
1,16,4,"BULLOCH","provisional","13031"
1,17,1,"BURKE","absentee","13033"
1,17,2,"BURKE","early","13033"
1,17,3,"BURKE","electionday","13033"
1,17,4,"BURKE","provisional","13033"
1,18,1,"BUTTS","absentee","13035"
1,18,2,"BUTTS","early","13035"
1,18,3,"BUTTS","electionday","13035"
1,18,4,"BUTTS","provisional","13035"
1,19,1,"CALHOUN","absentee","13037"
1,19,2,"CALHOUN","early","13037"
1,19,3,"CALHOUN","electionday","13037"
1,19,4,"CALHOUN","provisional","13037"
1,20,1,"CAMDEN","absentee","13039"
1,20,2,"CAMDEN","early","13039"
1,20,3,"CAMDEN","electionday","13039"
1,20,4,"CAMDEN","provisional","13039"
1,21,1,"CANDLER","absentee","13043"
1,21,2,"CANDLER","early","13043"
1,21,3,"CANDLER","electionday","13043"
1,21,4,"CANDLER","provisional","13043"
1,22,1,"CARROLL","absentee","13045"
1,22,2,"CARROLL","early","13045"
1,22,3,"CARROLL","electionday","13045"
1,22,4,"CARROLL","provisional","13045"
1,23,1,"CATOOSA","absentee","13047"
1,23,2,"CATOOSA","early","13047"
1,23,3,"CATOOSA","electionday","13047"
1,23,4,"CATOOSA","provisional","13047"
1,24,1,"CHARLTON","absentee","13049"
1,24,2,"CHARLTON","early","13049"
1,24,3,"CHARLTON","electionday","13049"
1,24,4,"CHARLTON","provisional","13049"
1,25,1,"CHATHAM","absentee","13051"
1,25,2,"CHATHAM","early","13051"
1,25,3,"CHATHAM","electionday","13051"
1,25,4,"CHATHAM","provisional","13051"
1,26,1,"CHATTAHOOCHEE","absentee","13053"
1,26,2,"CHATTAHOOCHEE","early","13053"
1,26,3,"CHATTAHOOCHEE","electionday","13053"
1,26,4,"CHATTAHOOCHEE","provisional","13053"
1,27,1,"CHATTOOGA","absentee","13055"
1,27,2,"CHATTOOGA","early","13055"
1,27,3,"CHATTOOGA","electionday","13055"
1,27,4,"CHATTOOGA","provisional","13055"
1,28,1,"CHEROKEE","absentee","13057"
1,28,2,"CHEROKEE","early","13057"
1,28,3,"CHEROKEE","electionday","13057"
1,28,4,"CHEROKEE","provisional","13057"
1,29,1,"CLARKE","absentee","13059"
1,29,2,"CLARKE","early","13059"
1,29,3,"CLARKE","electionday","13059"
1,29,4,"CLARKE","provisional","13059"
1,30,1,"CLAY","absentee","13061"
1,30,2,"CLAY","early","13061"
1,30,3,"CLAY","electionday","13061"
1,30,4,"CLAY","provisional","13061"
1,31,1,"CLAYTON","absentee","13063"
1,31,2,"CLAYTON","early","13063"
1,31,3,"CLAYTON","electionday","13063"
1,31,4,"CLAYTON","provisional","13063"
1,32,1,"CLINCH","absentee","13065"
1,32,2,"CLINCH","early","13065"
1,32,3,"CLINCH","electionday","13065"
1,32,4,"CLINCH","provisional","13065"
1,33,1,"COBB","absentee","13067"
1,33,2,"COBB","early","13067"
1,33,3,"COBB","electionday","13067"
1,33,4,"COBB","provisional","13067"
1,34,1,"COFFEE","absentee","13069"
1,34,2,"COFFEE","early","13069"
1,34,3,"COFFEE","electionday","13069"
1,34,4,"COFFEE","provisional","13069"
1,35,1,"COLQUITT","absentee","13071"
1,35,2,"COLQUITT","early","13071"
1,35,3,"COLQUITT","electionday","13071"
1,35,4,"COLQUITT","provisional","13071"
1,36,1,"COLUMBIA","absentee","13073"
1,36,2,"COLUMBIA","early","13073"
1,36,3,"COLUMBIA","electionday","13073"
1,36,4,"COLUMBIA","provisional","13073"
1,37,1,"COOK","absentee","13075"
1,37,2,"COOK","early","13075"
1,37,3,"COOK","electionday","13075"
1,37,4,"COOK","provisional","13075"
1,38,1,"COWETA","absentee","13077"
1,38,2,"COWETA","early","13077"
1,38,3,"COWETA","electionday","13077"
1,38,4,"COWETA","provisional","13077"
1,39,1,"CRAWFORD","absentee","13079"
1,39,2,"CRAWFORD","early","13079"
1,39,3,"CRAWFORD","electionday","13079"
1,39,4,"CRAWFORD","provisional","13079"
1,40,1,"CRISP","absentee","13081"
1,40,2,"CRISP","early","13081"
1,40,3,"CRISP","electionday","13081"
1,40,4,"CRISP","provisional","13081"
1,41,1,"DADE","absentee","13083"
1,41,2,"DADE","early","13083"
1,41,3,"DADE","electionday","13083"
1,41,4,"DADE","provisional","13083"
1,42,1,"DAWSON","absentee","13085"
1,42,2,"DAWSON","early","13085"
1,42,3,"DAWSON","electionday","13085"
1,42,4,"DAWSON","provisional","13085"
1,43,1,"DEKALB","absentee","13089"
1,43,2,"DEKALB","early","13089"
1,43,3,"DEKALB","electionday","13089"
1,43,4,"DEKALB","provisional","13089"
1,44,1,"DECATUR","absentee","13087"
1,44,2,"DECATUR","early","13087"
1,44,3,"DECATUR","electionday","13087"
1,44,4,"DECATUR","provisional","13087"
1,45,1,"DODGE","absentee","13091"
1,45,2,"DODGE","early","13091"
1,45,3,"DODGE","electionday","13091"
1,45,4,"DODGE","provisional","13091"
1,46,1,"DOOLY","absentee","13093"
1,46,2,"DOOLY","early","13093"
1,46,3,"DOOLY","electionday","13093"
1,46,4,"DOOLY","provisional","13093"
1,47,1,"DOUGHERTY","absentee","13095"
1,47,2,"DOUGHERTY","early","13095"
1,47,3,"DOUGHERTY","electionday","13095"
1,47,4,"DOUGHERTY","provisional","13095"
1,48,1,"DOUGLAS","absentee","13097"
1,48,2,"DOUGLAS","early","13097"
1,48,3,"DOUGLAS","electionday","13097"
1,48,4,"DOUGLAS","provisional","13097"
1,49,1,"EARLY","absentee","13099"
1,49,2,"EARLY","early","13099"
1,49,3,"EARLY","electionday","13099"
1,49,4,"EARLY","provisional","13099"
1,50,1,"ECHOLS","absentee","13101"
1,50,2,"ECHOLS","early","13101"
1,50,3,"ECHOLS","electionday","13101"
1,50,4,"ECHOLS","provisional","13101"
1,51,1,"EFFINGHAM","absentee","13103"
1,51,2,"EFFINGHAM","early","13103"
1,51,3,"EFFINGHAM","electionday","13103"
1,51,4,"EFFINGHAM","provisional","13103"
1,52,1,"ELBERT","absentee","13105"
1,52,2,"ELBERT","early","13105"
1,52,3,"ELBERT","electionday","13105"
1,52,4,"ELBERT","provisional","13105"
1,53,1,"EMANUEL","absentee","13107"
1,53,2,"EMANUEL","early","13107"
1,53,3,"EMANUEL","electionday","13107"
1,53,4,"EMANUEL","provisional","13107"
1,54,1,"EVANS","absentee","13109"
1,54,2,"EVANS","early","13109"
1,54,3,"EVANS","electionday","13109"
1,54,4,"EVANS","provisional","13109"
1,55,1,"FANNIN","absentee","13111"
1,55,2,"FANNIN","early","13111"
1,55,3,"FANNIN","electionday","13111"
1,55,4,"FANNIN","provisional","13111"
1,56,1,"FAYETTE","absentee","13113"
1,56,2,"FAYETTE","early","13113"
1,56,3,"FAYETTE","electionday","13113"
1,56,4,"FAYETTE","provisional","13113"
1,57,1,"FLOYD","absentee","13115"
1,57,2,"FLOYD","early","13115"
1,57,3,"FLOYD","electionday","13115"
1,57,4,"FLOYD","provisional","13115"
1,58,1,"FORSYTH","absentee","13117"
1,58,2,"FORSYTH","early","13117"
1,58,3,"FORSYTH","electionday","13117"
1,58,4,"FORSYTH","provisional","13117"
1,59,1,"FRANKLIN","absentee","13119"
1,59,2,"FRANKLIN","early","13119"
1,59,3,"FRANKLIN","electionday","13119"
1,59,4,"FRANKLIN","provisional","13119"
1,60,1,"FULTON","absentee","13121"
1,60,2,"FULTON","early","13121"
1,60,3,"FULTON","electionday","13121"
1,60,4,"FULTON","provisional","13121"
1,61,1,"GILMER","absentee","13123"
1,61,2,"GILMER","early","13123"
1,61,3,"GILMER","electionday","13123"
1,61,4,"GILMER","provisional","13123"
1,62,1,"GLASCOCK","absentee","13125"
1,62,2,"GLASCOCK","early","13125"
1,62,3,"GLASCOCK","electionday","13125"
1,62,4,"GLASCOCK","provisional","13125"
1,63,1,"GLYNN","absentee","13127"
1,63,2,"GLYNN","early","13127"
1,63,3,"GLYNN","electionday","13127"
1,63,4,"GLYNN","provisional","13127"
1,64,1,"GORDON","absentee","13129"
1,64,2,"GORDON","early","13129"
1,64,3,"GORDON","electionday","13129"
1,64,4,"GORDON","provisional","13129"
1,65,1,"GRADY","absentee","13131"
1,65,2,"GRADY","early","13131"
1,65,3,"GRADY","electionday","13131"
1,65,4,"GRADY","provisional","13131"
1,66,1,"GREENE","absentee","13133"
1,66,2,"GREENE","early","13133"
1,66,3,"GREENE","electionday","13133"
1,66,4,"GREENE","provisional","13133"
1,67,1,"GWINNETT","absentee","13135"
1,67,2,"GWINNETT","early","13135"
1,67,3,"GWINNETT","electionday","13135"
1,67,4,"GWINNETT","provisional","13135"
1,68,1,"HABERSHAM","absentee","13137"
1,68,2,"HABERSHAM","early","13137"
1,68,3,"HABERSHAM","electionday","13137"
1,68,4,"HABERSHAM","provisional","13137"
1,69,1,"HALL","absentee","13139"
1,69,2,"HALL","early","13139"
1,69,3,"HALL","electionday","13139"
1,69,4,"HALL","provisional","13139"
1,70,1,"HANCOCK","absentee","13141"
1,70,2,"HANCOCK","early","13141"
