"sid","cid","county_name","county_fips"
6,1,"APPLING","13001"
6,2,"ATKINSON","13003"
6,3,"BACON","13005"
6,4,"BAKER","13007"
6,5,"BALDWIN","13009"
6,6,"BANKS","13011"
6,7,"BARROW","13013"
6,8,"BARTOW","13015"
6,9,"BEN_HILL","13017"
6,10,"BERRIEN","13019"
6,11,"BIBB","13021"
6,12,"BLECKLEY","13023"
6,13,"BRANTLEY","13025"
6,14,"BROOKS","13027"
6,15,"BRYAN","13029"
6,16,"BULLOCH","13031"
6,17,"BURKE","13033"
6,18,"BUTTS","13035"
6,19,"CALHOUN","13037"
6,20,"CAMDEN","13039"
6,21,"CANDLER","13043"
6,22,"CARROLL","13045"
6,23,"CATOOSA","13047"
6,24,"CHARLTON","13049"
6,25,"CHATHAM","13051"
6,26,"CHATTAHOOCHEE","13053"
6,27,"CHATTOOGA","13055"
6,28,"CHEROKEE","13057"
6,29,"CLARKE","13059"
6,30,"CLAY","13061"
6,31,"CLAYTON","13063"
6,32,"CLINCH","13065"
6,33,"COBB","13067"
6,34,"COFFEE","13069"
6,35,"COLQUITT","13071"
6,36,"COLUMBIA","13073"
6,37,"COOK","13075"
6,38,"COWETA","13077"
6,39,"CRAWFORD","13079"
6,40,"CRISP","13081"
6,41,"DADE","13083"
6,42,"DAWSON","13085"
6,44,"DECATUR","13087"
6,43,"DEKALB","13089"
6,45,"DODGE","13091"
6,46,"DOOLY","13093"
6,47,"DOUGHERTY","13095"
6,48,"DOUGLAS","13097"
6,49,"EARLY","13099"
6,50,"ECHOLS","13101"
6,51,"EFFINGHAM","13103"
6,52,"ELBERT","13105"
6,53,"EMANUEL","13107"
6,54,"EVANS","13109"
6,55,"FANNIN","13111"
6,56,"FAYETTE","13113"
6,57,"FLOYD","13115"
6,58,"FORSYTH","13117"
6,59,"FRANKLIN","13119"
6,60,"FULTON","13121"
6,61,"GILMER","13123"
6,62,"GLASCOCK","13125"
6,63,"GLYNN","13127"
6,64,"GORDON","13129"
6,65,"GRADY","13131"
6,66,"GREENE","13133"
6,67,"GWINNETT","13135"
6,68,"HABERSHAM","13137"
6,69,"HALL","13139"
6,70,"HANCOCK","13141"
6,71,"HARALSON","13143"
6,72,"HARRIS","13145"
6,73,"HART","13147"
6,74,"HEARD","13149"
6,75,"HENRY","13151"
6,76,"HOUSTON","13153"
6,77,"IRWIN","13155"
6,78,"JACKSON","13157"
6,79,"JASPER","13159"
6,80,"JEFF_DAVIS","13161"
6,81,"JEFFERSON","13163"
6,82,"JENKINS","13165"
6,83,"JOHNSON","13167"
6,84,"JONES","13169"
6,85,"LAMAR","13171"
6,86,"LANIER","13173"
6,87,"LAURENS","13175"
6,88,"LEE","13177"
6,89,"LIBERTY","13179"
6,90,"LINCOLN","13181"
6,91,"LONG","13183"
6,92,"LOWNDES","13185"
6,93,"LUMPKIN","13187"
6,94,"MACON","13193"
6,95,"MADISON","13195"
6,96,"MARION","13197"
6,97,"MCDUFFIE","13189"
6,98,"MCINTOSH","13191"
6,99,"MERIWETHER","13199"
6,100,"MILLER","13201"
6,101,"MITCHELL","13205"
6,102,"MONROE","13207"
6,103,"MONTGOMERY","13209"
6,104,"MORGAN","13211"
6,105,"MURRAY","13213"
6,106,"MUSCOGEE","13215"
6,107,"NEWTON","13217"
6,108,"OCONEE","13219"
6,109,"OGLETHORPE","13221"
6,110,"PAULDING","13223"
6,111,"PEACH","13225"
6,112,"PICKENS","13227"
6,113,"PIERCE","13229"
6,114,"PIKE","13231"
6,115,"POLK","13233"
6,116,"PULASKI","13235"
6,117,"PUTNAM","13237"
6,118,"QUITMAN","13239"
6,119,"RABUN","13241"
6,120,"RANDOLPH","13243"
6,121,"RICHMOND","13245"
6,122,"ROCKDALE","13247"
6,123,"SCHLEY","13249"
6,124,"SCREVEN","13251"
6,125,"SEMINOLE","13253"
6,126,"SPALDING","13255"
6,127,"STEPHENS","13257"
6,128,"STEWART","13259"
6,129,"SUMTER","13261"
6,130,"TALBOT","13263"
6,131,"TALIAFERRO","13265"
6,132,"TATTNALL","13267"
6,133,"TAYLOR","13269"
6,134,"TELFAIR","13271"
6,135,"TERRELL","13273"
6,136,"THOMAS","13275"
6,137,"TIFT","13277"
6,138,"TOOMBS","13279"
6,139,"TOWNS","13281"
6,140,"TREUTLEN","13283"
6,141,"TROUP","13285"
6,142,"TURNER","13287"
6,143,"TWIGGS","13289"
6,144,"UNION","13291"
6,145,"UPSON","13293"
6,146,"WALKER","13295"
6,147,"WALTON","13297"
6,148,"WARE","13299"
6,149,"WARREN","13301"
6,150,"WASHINGTON","13303"
6,151,"WAYNE","13305"
6,152,"WEBSTER","13307"
6,153,"WHEELER","13309"
6,154,"WHITE","13311"
6,155,"WHITFIELD","13313"
6,156,"WILCOX","13315"
6,157,"WILKES","13317"
6,158,"WILKINSON","13319"
6,159,"WORTH","13321"
