"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
6,1,1,1,"APPLING","1B","absentee","13001","13001-1B",""
6,1,1,2,"APPLING","1B","early","13001","13001-1B",""
6,1,1,3,"APPLING","1B","electionday","13001","13001-1B",""
6,1,1,4,"APPLING","1B","provisional","13001","13001-1B",""
6,1,2,1,"APPLING","1C","absentee","13001","13001-1C",""
6,1,2,2,"APPLING","1C","early","13001","13001-1C",""
6,1,2,3,"APPLING","1C","electionday","13001","13001-1C",""
6,1,2,4,"APPLING","1C","provisional","13001","13001-1C",""
6,1,3,1,"APPLING","2","absentee","13001","13001-2",""
6,1,3,2,"APPLING","2","early","13001","13001-2",""
6,1,3,3,"APPLING","2","electionday","13001","13001-2",""
6,1,3,4,"APPLING","2","provisional","13001","13001-2",""
6,1,4,1,"APPLING","3A1","absentee","13001","13001-3A",""
6,1,4,2,"APPLING","3A1","early","13001","13001-3A",""
6,1,4,3,"APPLING","3A1","electionday","13001","13001-3A",""
6,1,4,4,"APPLING","3A1","provisional","13001","13001-3A",""
6,1,5,1,"APPLING","3C","absentee","13001","13001-3C",""
6,1,5,2,"APPLING","3C","early","13001","13001-3C",""
6,1,5,3,"APPLING","3C","electionday","13001","13001-3C",""
6,1,5,4,"APPLING","3C","provisional","13001","13001-3C",""
6,1,6,1,"APPLING","4B","absentee","13001","13001-4B",""
6,1,6,2,"APPLING","4B","early","13001","13001-4B",""
6,1,6,3,"APPLING","4B","electionday","13001","13001-4B",""
6,1,6,4,"APPLING","4B","provisional","13001","13001-4B",""
6,1,7,1,"APPLING","4D","absentee","13001","13001-4D",""
6,1,7,2,"APPLING","4D","early","13001","13001-4D",""
6,1,7,3,"APPLING","4D","electionday","13001","13001-4D",""
6,1,7,4,"APPLING","4D","provisional","13001","13001-4D",""
6,1,8,1,"APPLING","5A","absentee","13001","13001-5A",""
6,1,8,2,"APPLING","5A","early","13001","13001-5A",""
6,1,8,3,"APPLING","5A","electionday","13001","13001-5A",""
6,1,8,4,"APPLING","5A","provisional","13001","13001-5A",""
6,1,9,1,"APPLING","5B","absentee","13001","13001-5B",""
6,1,9,2,"APPLING","5B","early","13001","13001-5B",""
6,1,9,3,"APPLING","5B","electionday","13001","13001-5B",""
6,1,9,4,"APPLING","5B","provisional","13001","13001-5B",""
6,2,10,1,"ATKINSON","Axson","absentee","13003","13003-2",""
6,2,10,2,"ATKINSON","Axson","early","13003","13003-2",""
6,2,10,3,"ATKINSON","Axson","electionday","13003","13003-2",""
6,2,10,4,"ATKINSON","Axson","provisional","13003","13003-2",""
6,2,11,1,"ATKINSON","Pearson City","absentee","13003","13003-4",""
6,2,11,2,"ATKINSON","Pearson City","early","13003","13003-4",""
6,2,11,3,"ATKINSON","Pearson City","electionday","13003","13003-4",""
6,2,11,4,"ATKINSON","Pearson City","provisional","13003","13003-4",""
6,2,12,1,"ATKINSON","Pearson County","absentee","13003","13003-1",""
6,2,12,2,"ATKINSON","Pearson County","early","13003","13003-1",""
6,2,12,3,"ATKINSON","Pearson County","electionday","13003","13003-1",""
6,2,12,4,"ATKINSON","Pearson County","provisional","13003","13003-1",""
6,2,13,1,"ATKINSON","Willacoochee","absentee","13003","13003-3",""
6,2,13,2,"ATKINSON","Willacoochee","early","13003","13003-3",""
6,2,13,3,"ATKINSON","Willacoochee","electionday","13003","13003-3",""
6,2,13,4,"ATKINSON","Willacoochee","provisional","13003","13003-3",""
6,3,14,1,"BACON","Douglas","absentee","13005","13005-DOUGLAS",""
