"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
7,1,1,1,"HAWAII","01-01","total","15001","15001-01-01",""
7,1,2,1,"HAWAII","01-02","total","15001","15001-01-02",""
7,1,3,1,"HAWAII","01-03","total","15001","15001-01-03",""
7,1,4,1,"HAWAII","01-04","total","15001","15001-01-04",""
7,1,5,1,"HAWAII","01-05","total","15001","15001-01-05",""
7,1,6,1,"HAWAII","01-06","total","15001","15001-01-06",""
7,1,7,1,"HAWAII","01-07","total","15001","15001-01-07",""
7,1,8,1,"HAWAII","01-08","total","15001","15001-01-08",""
7,1,9,1,"HAWAII","01-09","total","15001","15001-01-09",""
7,1,10,1,"HAWAII","02-01","total","15001","15001-02-01",""
7,1,11,1,"HAWAII","02-02","total","15001","15001-02-02",""
7,1,12,1,"HAWAII","02-03","total","15001","15001-02-03",""
7,1,13,1,"HAWAII","02-04","total","15001","15001-02-04",""
7,1,14,1,"HAWAII","02-05","total","15001","15001-02-05",""
7,1,15,1,"HAWAII","03-01","total","15001","15001-03-01",""
7,1,16,1,"HAWAII","03-02","total","15001","15001-03-02",""
7,1,17,1,"HAWAII","03-03","total","15001","15001-03-03",""
7,1,18,1,"HAWAII","03-04","total","15001","15001-03-04",""
7,1,19,1,"HAWAII","03-05","total","15001","15001-03-05",""
7,1,20,1,"HAWAII","03-06","total","15001","15001-03-06",""
7,1,21,1,"HAWAII","03-07","total","15001","15001-03-07",""
7,1,22,1,"HAWAII","04-01","total","15001","15001-04-01",""
7,1,23,1,"HAWAII","04-02","total","15001","15001-04-02",""
7,1,24,1,"HAWAII","04-03","total","15001","15001-04-03",""
7,1,25,1,"HAWAII","04-04","total","15001","15001-04-04",""
7,1,26,1,"HAWAII","05-01","total","15001","15001-05-01",""
7,1,27,1,"HAWAII","05-02","total","15001","15001-05-02",""
7,1,28,1,"HAWAII","05-03","total","15001","15001-05-03",""
7,1,29,1,"HAWAII","05-04","total","15001","15001-05-04",""
7,1,30,1,"HAWAII","05-05","total","15001","15001-05-05",""
7,1,31,1,"HAWAII","05-06","total","15001","15001-05-06",""
7,1,32,1,"HAWAII","05-07","total","15001","15001-05-07",""
7,1,33,1,"HAWAII","05-08","total","15001","15001-05-08",""
7,1,34,1,"HAWAII","06-01","total","15001","15001-06-01",""
7,1,35,1,"HAWAII","06-02","total","15001","15001-06-02",""
7,1,36,1,"HAWAII","06-03","total","15001","15001-06-03",""
7,1,37,1,"HAWAII","06-04","total","15001","15001-06-04",""
7,1,38,1,"HAWAII","06-05","total","15001","15001-06-05",""
7,1,39,1,"HAWAII","07-01","total","15001","15001-07-01",""
7,1,40,1,"HAWAII","07-02","total","15001","15001-07-02",""
7,1,41,1,"HAWAII","07-03","total","15001","15001-07-03",""
7,1,42,1,"HAWAII","07-04","total","15001","15001-07-04",""
