"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,7,1,1,1,2050,1415,582,53
0,7,1,2,1,761,542,207,12
0,7,1,3,1,815,579,211,25
0,7,1,4,1,262,186,67,9
0,7,1,5,1,1407,1050,330,27
0,7,1,6,1,1132,794,308,30
0,7,1,7,1,1199,862,298,39
0,7,1,8,1,3633,2657,903,73
0,7,1,9,1,1579,1085,472,22
0,7,1,10,1,2877,2113,697,67
0,7,1,11,1,1185,787,364,34
0,7,1,12,1,1157,856,276,25
0,7,1,13,1,4266,2998,1191,77
0,7,1,14,1,2740,2119,589,32
0,7,1,15,1,3176,2242,865,69
0,7,1,16,1,368,262,91,15
0,7,1,17,1,156,74,78,4
0,7,1,18,1,4097,2748,1241,108
0,7,1,19,1,2173,1385,709,79
0,7,1,20,1,1711,1279,382,50
0,7,1,21,1,543,377,160,6
0,7,1,22,1,5441,3479,1831,131
0,7,1,23,1,1889,1215,622,52
0,7,1,24,1,2836,1947,781,108
0,7,1,25,1,1589,1090,436,63
0,7,1,26,1,1093,720,342,31
0,7,1,27,1,1765,1013,705,47
0,7,1,28,1,567,384,168,15
0,7,1,29,1,576,415,144,17
0,7,1,30,1,554,384,156,14
0,7,1,31,1,2432,1695,687,50
0,7,1,32,1,1854,1292,515,47
0,7,1,33,1,3272,1956,1253,63
0,7,1,34,1,941,611,310,20
0,7,1,35,1,3400,1900,1409,91
0,7,1,36,1,2628,1595,966,67
0,7,1,37,1,3612,2075,1428,109
0,7,1,38,1,2629,1612,949,68
0,7,1,39,1,1503,918,540,45
0,7,1,40,1,3846,2339,1419,88
0,7,1,41,1,3200,2246,873,81
0,7,1,42,1,3476,2470,914,92
0,7,1,43,1,1424,965,428,31
0,7,2,44,1,3564,2482,1028,54
0,7,2,45,1,2715,1724,959,32
0,7,2,46,1,5680,3724,1866,90
0,7,2,47,1,3069,2074,951,44
0,7,2,48,1,4782,3232,1481,69
0,7,2,49,1,1546,1093,426,27
0,7,2,50,1,3769,2504,1216,49
0,7,2,51,1,4889,3382,1441,66
0,7,2,52,1,4236,2886,1290,60
0,7,2,53,1,967,715,240,12
0,7,2,54,1,3156,2243,857,56
0,7,2,55,1,2766,1954,764,48
0,7,2,56,1,1594,1183,392,19
0,7,2,57,1,4335,3197,1066,72
0,7,2,58,1,2953,2142,757,54
0,7,2,59,1,3049,2204,803,42
0,7,2,60,1,2610,1926,654,30
0,7,2,61,1,540,387,142,11
0,7,2,62,1,2006,1445,525,36
0,7,2,63,1,4986,3532,1368,86
0,7,2,64,1,1685,1152,497,36
0,7,2,65,1,4100,2652,1360,88
0,7,2,66,1,4264,2666,1522,76
0,7,2,67,1,1228,849,367,12
0,7,2,68,1,216,157,56,3
0,7,2,69,1,3333,2467,797,69
0,7,2,70,1,469,323,141,5
0,7,2,71,1,3187,2447,685,55
0,7,2,72,1,4445,3441,951,53
0,7,2,73,1,2038,1384,618,36
0,7,2,74,1,3780,2598,1110,72
0,7,2,75,1,2834,2022,750,62
0,7,2,76,1,2042,1441,568,33
0,7,2,77,1,345,251,89,5
0,7,2,78,1,4172,3000,1085,87
0,7,2,79,1,336,206,121,9
0,7,2,80,1,4531,3175,1256,100
0,7,2,81,1,2076,1441,604,31
0,7,2,82,1,3205,2112,1041,52
0,7,2,83,1,489,326,154,9
0,7,2,84,1,2892,1957,898,37
0,7,2,85,1,295,187,102,6
0,7,2,86,1,240,171,68,1
