"sid","cid","vid","county_name","vote_type","county_fips"
8,1,1,"ADAIR","total","unknown"
8,2,1,"ALLEN","total","unknown"
8,3,1,"ANDERSON","total","unknown"
8,4,1,"BALLARD","total","unknown"
8,5,1,"BARREN","total","unknown"
8,6,1,"BATH","total","unknown"
8,7,1,"BELL","total","unknown"
8,8,1,"BOONE","total","unknown"
8,9,1,"BOURBON","total","unknown"
8,10,1,"BOYD","total","unknown"
8,11,1,"BOYLE","total","unknown"
8,12,1,"BRACKEN","total","unknown"
8,13,1,"BREATHITT","total","unknown"
8,14,1,"BRECKINRIDGE","total","unknown"
8,15,1,"BULLITT","total","unknown"
8,16,1,"BUTLER","total","unknown"
8,17,1,"CALDWELL","total","unknown"
8,18,1,"CALLOWAY","total","unknown"
8,19,1,"CAMPBELL","total","unknown"
8,20,1,"CARLISLE","total","unknown"
8,21,1,"CARROLL","total","unknown"
8,22,1,"CARTER","total","unknown"
8,23,1,"CASEY","total","unknown"
8,24,1,"CHRISTIAN","total","unknown"
8,25,1,"CLARK","total","unknown"
8,26,1,"CLAY","total","unknown"
8,27,1,"CLINTON","total","unknown"
8,28,1,"CRITTENDEN","total","unknown"
8,29,1,"CUMBERLAND","total","unknown"
8,30,1,"DAVIESS","total","unknown"
8,31,1,"EDMONSON","total","unknown"
8,32,1,"ELLIOTT","total","unknown"
8,33,1,"ESTILL","total","unknown"
8,34,1,"FAYETTE","total","unknown"
8,35,1,"FLEMING","total","unknown"
8,36,1,"FLOYD","total","unknown"
8,37,1,"FRANKLIN","total","unknown"
8,38,1,"FULTON","total","unknown"
8,39,1,"GALLATIN","total","unknown"
8,40,1,"GARRARD","total","unknown"
8,41,1,"GRANT","total","unknown"
8,42,1,"GRAVES","total","unknown"
8,43,1,"GRAYSON","total","unknown"
8,44,1,"GREEN","total","unknown"
8,45,1,"GREENUP","total","unknown"
8,46,1,"HANCOCK","total","unknown"
8,47,1,"HARDIN","total","unknown"
8,48,1,"HARLAN","total","unknown"
8,49,1,"HARRISON","total","unknown"
8,50,1,"HART","total","unknown"
8,51,1,"HENDERSON","total","unknown"
8,52,1,"HENRY","total","unknown"
8,53,1,"HICKMAN","total","unknown"
8,54,1,"HOPKINS","total","unknown"
8,55,1,"JACKSON","total","unknown"
8,56,1,"JEFFERSON","total","unknown"
8,57,1,"JESSAMINE","total","unknown"
8,58,1,"JOHNSON","total","unknown"
8,59,1,"KENTON","total","unknown"
8,60,1,"KNOTT","total","unknown"
8,61,1,"KNOX","total","unknown"
8,62,1,"LARUE","total","unknown"
8,63,1,"LAUREL","total","unknown"
8,64,1,"LAWRENCE","total","unknown"
8,65,1,"LEE","total","unknown"
8,66,1,"LESLIE","total","unknown"
8,67,1,"LETCHER","total","unknown"
8,68,1,"LEWIS","total","unknown"
8,69,1,"LINCOLN","total","unknown"
8,70,1,"LIVINGSTON","total","unknown"
8,71,1,"LOGAN","total","unknown"
8,72,1,"LYON","total","unknown"
8,73,1,"MADISON","total","unknown"
8,74,1,"MAGOFFIN","total","unknown"
8,75,1,"MARION","total","unknown"
8,76,1,"MARSHALL","total","unknown"
8,77,1,"MARTIN","total","unknown"
8,78,1,"MASON","total","unknown"
8,79,1,"MCCRACKEN","total","unknown"
8,80,1,"MCCREARY","total","unknown"
8,81,1,"MCLEAN","total","unknown"
8,82,1,"MEADE","total","unknown"
8,83,1,"MENIFEE","total","unknown"
8,84,1,"MERCER","total","unknown"
8,85,1,"METCALFE","total","unknown"
8,86,1,"MONROE","total","unknown"
8,87,1,"MONTGOMERY","total","unknown"
8,88,1,"MORGAN","total","unknown"
8,89,1,"MUHLENBERG","total","unknown"
8,90,1,"NELSON","total","unknown"
8,91,1,"NICHOLAS","total","unknown"
8,92,1,"OHIO","total","unknown"
8,93,1,"OLDHAM","total","unknown"
8,94,1,"OWEN","total","unknown"
8,95,1,"OWSLEY","total","unknown"
8,96,1,"PENDLETON","total","unknown"
8,97,1,"PERRY","total","unknown"
8,98,1,"PIKE","total","unknown"
8,99,1,"POWELL","total","unknown"
8,100,1,"PULASKI","total","unknown"
8,101,1,"ROBERTSON","total","unknown"
8,102,1,"ROCKCASTLE","total","unknown"
8,103,1,"ROWAN","total","unknown"
8,104,1,"RUSSELL","total","unknown"
8,105,1,"SCOTT","total","unknown"
8,106,1,"SHELBY","total","unknown"
8,107,1,"SIMPSON","total","unknown"
8,108,1,"SPENCER","total","unknown"
8,109,1,"TAYLOR","total","unknown"
8,110,1,"TODD","total","unknown"
8,111,1,"TRIGG","total","unknown"
8,112,1,"TRIMBLE","total","unknown"
8,113,1,"UNION","total","unknown"
8,114,1,"WARREN","total","unknown"
8,115,1,"WASHINGTON","total","unknown"
8,116,1,"WAYNE","total","unknown"
8,117,1,"WEBSTER","total","unknown"
8,118,1,"WHITLEY","total","unknown"
8,119,1,"WOLFE","total","unknown"
8,120,1,"WOODFORD","total","unknown"
