"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
8,1,1,1,"ADAIR","BALLOT","total","unknown","unknown","unknown"
8,2,2,1,"ALLEN","BALLOT","total","unknown","unknown","unknown"
8,3,3,1,"ANDERSON","BALLOT","total","unknown","unknown","unknown"
8,4,4,1,"BALLARD","BALLOT","total","unknown","unknown","unknown"
8,5,5,1,"BARREN","BALLOT","total","unknown","unknown","unknown"
8,6,6,1,"BATH","BALLOT - 001","total","unknown","unknown","unknown"
8,6,7,1,"BATH","BALLOT - 002","total","unknown","unknown","unknown"
8,6,8,1,"BATH","BALLOT - 003","total","unknown","unknown","unknown"
8,6,9,1,"BATH","BALLOT - 004","total","unknown","unknown","unknown"
8,6,10,1,"BATH","BALLOT - 005","total","unknown","unknown","unknown"
8,6,11,1,"BATH","BALLOT - 006","total","unknown","unknown","unknown"
8,6,12,1,"BATH","BALLOT - 007","total","unknown","unknown","unknown"
8,6,13,1,"BATH","BALLOT - 008","total","unknown","unknown","unknown"
8,6,14,1,"BATH","BALLOT - 009","total","unknown","unknown","unknown"
8,6,15,1,"BATH","BALLOT - 00P","total","unknown","unknown","unknown"
8,6,16,1,"BATH","BALLOT - 010","total","unknown","unknown","unknown"
8,6,17,1,"BATH","BALLOT - 011","total","unknown","unknown","unknown"
8,7,18,1,"BELL","MP001","total","unknown","unknown","unknown"
8,8,19,1,"BOONE","BALLOT","total","unknown","unknown","unknown"
8,9,20,1,"BOURBON","BALLOT","total","unknown","unknown","unknown"
8,10,21,1,"BOYD","BALLOT4","total","unknown","unknown","unknown"
8,10,22,1,"BOYD","BALLOT5","total","unknown","unknown","unknown"
8,11,23,1,"BOYLE","BALLOT","total","unknown","unknown","unknown"
8,12,24,1,"BRACKEN","BALLOT - 001","total","unknown","unknown","unknown"
8,12,25,1,"BRACKEN","BALLOT - 002","total","unknown","unknown","unknown"
8,12,26,1,"BRACKEN","BALLOT - 003","total","unknown","unknown","unknown"
8,12,27,1,"BRACKEN","BALLOT - 004","total","unknown","unknown","unknown"
8,12,28,1,"BRACKEN","BALLOT - 005","total","unknown","unknown","unknown"
8,12,29,1,"BRACKEN","BALLOT - 006","total","unknown","unknown","unknown"
8,12,30,1,"BRACKEN","BALLOT - 007","total","unknown","unknown","unknown"
8,12,31,1,"BRACKEN","BALLOT - 008","total","unknown","unknown","unknown"
8,12,32,1,"BRACKEN","BALLOT - 009","total","unknown","unknown","unknown"
8,12,33,1,"BRACKEN","BALLOT - 00P","total","unknown","unknown","unknown"
8,12,34,1,"BRACKEN","BALLOT - 010","total","unknown","unknown","unknown"
8,12,35,1,"BRACKEN","BALLOT - 011","total","unknown","unknown","unknown"
8,12,36,1,"BRACKEN","BALLOT - 012","total","unknown","unknown","unknown"
8,12,37,1,"BRACKEN","BALLOT - 013","total","unknown","unknown","unknown"
8,13,38,1,"BREATHITT","A101","total","unknown","unknown","unknown"
8,13,39,1,"BREATHITT","A102","total","unknown","unknown","unknown"
8,13,40,1,"BREATHITT","A103","total","unknown","unknown","unknown"
8,13,41,1,"BREATHITT","A104","total","unknown","unknown","unknown"
8,13,42,1,"BREATHITT","A105","total","unknown","unknown","unknown"
8,13,43,1,"BREATHITT","Abse","total","unknown","unknown","unknown"
8,13,44,1,"BREATHITT","B101","total","unknown","unknown","unknown"
8,13,45,1,"BREATHITT","B102","total","unknown","unknown","unknown"
8,13,46,1,"BREATHITT","B103","total","unknown","unknown","unknown"
8,13,47,1,"BREATHITT","B104","total","unknown","unknown","unknown"
8,13,48,1,"BREATHITT","B105","total","unknown","unknown","unknown"
8,13,49,1,"BREATHITT","C101","total","unknown","unknown","unknown"
8,13,50,1,"BREATHITT","C102","total","unknown","unknown","unknown"
8,13,51,1,"BREATHITT","C103","total","unknown","unknown","unknown"
8,13,52,1,"BREATHITT","C104","total","unknown","unknown","unknown"
8,13,53,1,"BREATHITT","C105","total","unknown","unknown","unknown"
8,13,54,1,"BREATHITT","D101","total","unknown","unknown","unknown"
8,13,55,1,"BREATHITT","D102","total","unknown","unknown","unknown"
8,13,56,1,"BREATHITT","D103","total","unknown","unknown","unknown"
8,13,57,1,"BREATHITT","D104","total","unknown","unknown","unknown"
8,13,58,1,"BREATHITT","D105","total","unknown","unknown","unknown"
8,13,59,1,"BREATHITT","D106","total","unknown","unknown","unknown"
8,13,60,1,"BREATHITT","Earl","total","unknown","unknown","unknown"
8,13,61,1,"BREATHITT","Elec","total","unknown","unknown","unknown"
8,13,62,1,"BREATHITT","Pres","total","unknown","unknown","unknown"
8,14,63,1,"BRECKINRIDGE","BALLOT","total","unknown","unknown","unknown"
8,15,64,1,"BULLITT","BALLOT","total","unknown","unknown","unknown"
8,16,65,1,"BUTLER","BALLOT","total","unknown","unknown","unknown"
8,17,66,1,"CALDWELL","BALLOT","total","unknown","unknown","unknown"
8,18,67,1,"CALLOWAY","BALLOT","total","unknown","unknown","unknown"
8,19,68,1,"CAMPBELL","BALLOT","total","unknown","unknown","unknown"
8,20,69,1,"CARLISLE","BALLOT","total","unknown","unknown","unknown"
8,21,70,1,"CARROLL","BALLOT - 001","total","unknown","unknown","unknown"
8,21,71,1,"CARROLL","BALLOT - 002","total","unknown","unknown","unknown"
8,21,72,1,"CARROLL","BALLOT - 003","total","unknown","unknown","unknown"
8,21,73,1,"CARROLL","BALLOT - 004","total","unknown","unknown","unknown"
8,21,74,1,"CARROLL","BALLOT - 005","total","unknown","unknown","unknown"
8,21,75,1,"CARROLL","BALLOT - 006","total","unknown","unknown","unknown"
8,21,76,1,"CARROLL","BALLOT - 007","total","unknown","unknown","unknown"
8,21,77,1,"CARROLL","BALLOT - 008","total","unknown","unknown","unknown"
8,21,78,1,"CARROLL","BALLOT - 009","total","unknown","unknown","unknown"
8,21,79,1,"CARROLL","BALLOT - 00P","total","unknown","unknown","unknown"
8,21,80,1,"CARROLL","BALLOT - 010","total","unknown","unknown","unknown"
8,22,81,1,"CARTER","BALLOT","total","unknown","unknown","unknown"
8,23,82,1,"CASEY","BALLOT","total","unknown","unknown","unknown"
8,24,83,1,"CHRISTIAN","BALLOT","total","unknown","unknown","unknown"
8,25,84,1,"CLARK","BALLOT","total","unknown","unknown","unknown"
8,26,85,1,"CLAY","A101","total","unknown","unknown","unknown"
8,26,86,1,"CLAY","A106","total","unknown","unknown","unknown"
8,26,87,1,"CLAY","A107","total","unknown","unknown","unknown"
8,26,88,1,"CLAY","Abse","total","unknown","unknown","unknown"
8,26,89,1,"CLAY","B101","total","unknown","unknown","unknown"
8,26,90,1,"CLAY","B103","total","unknown","unknown","unknown"
8,26,91,1,"CLAY","B104","total","unknown","unknown","unknown"
8,26,92,1,"CLAY","C101","total","unknown","unknown","unknown"
8,26,93,1,"CLAY","C102","total","unknown","unknown","unknown"
8,26,94,1,"CLAY","C103","total","unknown","unknown","unknown"
8,26,95,1,"CLAY","C104","total","unknown","unknown","unknown"
8,26,96,1,"CLAY","D102","total","unknown","unknown","unknown"
8,26,97,1,"CLAY","D103","total","unknown","unknown","unknown"
8,26,98,1,"CLAY","D104","total","unknown","unknown","unknown"
8,26,99,1,"CLAY","E101","total","unknown","unknown","unknown"
8,26,100,1,"CLAY","E102","total","unknown","unknown","unknown"
8,26,101,1,"CLAY","E103","total","unknown","unknown","unknown"
8,26,102,1,"CLAY","E104","total","unknown","unknown","unknown"
8,26,103,1,"CLAY","Earl","total","unknown","unknown","unknown"
8,26,104,1,"CLAY","Elec","total","unknown","unknown","unknown"
8,26,105,1,"CLAY","F101","total","unknown","unknown","unknown"
8,26,106,1,"CLAY","F102","total","unknown","unknown","unknown"
8,26,107,1,"CLAY","F104","total","unknown","unknown","unknown"
8,26,108,1,"CLAY","Pres","total","unknown","unknown","unknown"
8,27,109,1,"CLINTON","A101","total","unknown","unknown","unknown"
8,27,110,1,"CLINTON","A104","total","unknown","unknown","unknown"
8,27,111,1,"CLINTON","Abse","total","unknown","unknown","unknown"
8,27,112,1,"CLINTON","B101","total","unknown","unknown","unknown"
8,27,113,1,"CLINTON","B102","total","unknown","unknown","unknown"
8,27,114,1,"CLINTON","C101","total","unknown","unknown","unknown"
8,27,115,1,"CLINTON","C102","total","unknown","unknown","unknown"
8,27,116,1,"CLINTON","C103","total","unknown","unknown","unknown"
8,27,117,1,"CLINTON","D101","total","unknown","unknown","unknown"
8,27,118,1,"CLINTON","D102","total","unknown","unknown","unknown"
8,27,119,1,"CLINTON","E101","total","unknown","unknown","unknown"
8,27,120,1,"CLINTON","E102","total","unknown","unknown","unknown"
8,27,121,1,"CLINTON","Earl","total","unknown","unknown","unknown"
8,27,122,1,"CLINTON","Elec","total","unknown","unknown","unknown"
8,27,123,1,"CLINTON","F101","total","unknown","unknown","unknown"
8,27,124,1,"CLINTON","F102","total","unknown","unknown","unknown"
8,27,125,1,"CLINTON","Pres","total","unknown","unknown","unknown"
8,28,126,1,"CRITTENDEN","BALLOT","total","unknown","unknown","unknown"
8,29,127,1,"CUMBERLAND","BALLOT","total","unknown","unknown","unknown"
8,30,128,1,"DAVIESS","BALLOT","total","unknown","unknown","unknown"
8,31,129,1,"EDMONSON","BALLOT","total","unknown","unknown","unknown"
8,32,130,1,"ELLIOTT","MP001","total","unknown","unknown","unknown"
8,33,131,1,"ESTILL","BALLOT - 001","total","unknown","unknown","unknown"
8,33,132,1,"ESTILL","BALLOT - 002","total","unknown","unknown","unknown"
8,33,133,1,"ESTILL","BALLOT - 003","total","unknown","unknown","unknown"
8,33,134,1,"ESTILL","BALLOT - 004","total","unknown","unknown","unknown"
8,33,135,1,"ESTILL","BALLOT - 005","total","unknown","unknown","unknown"
8,33,136,1,"ESTILL","BALLOT - 006","total","unknown","unknown","unknown"
8,33,137,1,"ESTILL","BALLOT - 007","total","unknown","unknown","unknown"
8,33,138,1,"ESTILL","BALLOT - 00P","total","unknown","unknown","unknown"
8,34,139,1,"FAYETTE","BALLOT - 001","total","unknown","unknown","unknown"
8,34,140,1,"FAYETTE","BALLOT - 002","total","unknown","unknown","unknown"
8,34,141,1,"FAYETTE","BALLOT - 003","total","unknown","unknown","unknown"
8,34,142,1,"FAYETTE","BALLOT - 004","total","unknown","unknown","unknown"
8,34,143,1,"FAYETTE","BALLOT - 005","total","unknown","unknown","unknown"
8,34,144,1,"FAYETTE","BALLOT - 006","total","unknown","unknown","unknown"
8,34,145,1,"FAYETTE","BALLOT - 007","total","unknown","unknown","unknown"
8,34,146,1,"FAYETTE","BALLOT - 008","total","unknown","unknown","unknown"
8,34,147,1,"FAYETTE","BALLOT - 009","total","unknown","unknown","unknown"
8,34,148,1,"FAYETTE","BALLOT - 010","total","unknown","unknown","unknown"
8,34,149,1,"FAYETTE","BALLOT - 011","total","unknown","unknown","unknown"
8,34,150,1,"FAYETTE","BALLOT - 012","total","unknown","unknown","unknown"
8,34,151,1,"FAYETTE","BALLOT - 013","total","unknown","unknown","unknown"
8,34,152,1,"FAYETTE","BALLOT - 014","total","unknown","unknown","unknown"
8,34,153,1,"FAYETTE","BALLOT - 015","total","unknown","unknown","unknown"
8,34,154,1,"FAYETTE","BALLOT - 016","total","unknown","unknown","unknown"
8,34,155,1,"FAYETTE","BALLOT - 017","total","unknown","unknown","unknown"
8,34,156,1,"FAYETTE","BALLOT - 018","total","unknown","unknown","unknown"
8,34,157,1,"FAYETTE","BALLOT - 019","total","unknown","unknown","unknown"
8,34,158,1,"FAYETTE","BALLOT - 020","total","unknown","unknown","unknown"
8,34,159,1,"FAYETTE","BALLOT - 021","total","unknown","unknown","unknown"
8,34,160,1,"FAYETTE","BALLOT - 022","total","unknown","unknown","unknown"
8,34,161,1,"FAYETTE","BALLOT - 023","total","unknown","unknown","unknown"
8,34,162,1,"FAYETTE","BALLOT - 024","total","unknown","unknown","unknown"
8,34,163,1,"FAYETTE","BALLOT - 025","total","unknown","unknown","unknown"
8,34,164,1,"FAYETTE","BALLOT - 026","total","unknown","unknown","unknown"
8,34,165,1,"FAYETTE","BALLOT - 027","total","unknown","unknown","unknown"
8,34,166,1,"FAYETTE","BALLOT - 028","total","unknown","unknown","unknown"
8,34,167,1,"FAYETTE","BALLOT - 029","total","unknown","unknown","unknown"
8,34,168,1,"FAYETTE","BALLOT - 030","total","unknown","unknown","unknown"
8,34,169,1,"FAYETTE","BALLOT - 031","total","unknown","unknown","unknown"
8,34,170,1,"FAYETTE","BALLOT - 032","total","unknown","unknown","unknown"
8,34,171,1,"FAYETTE","BALLOT - 033","total","unknown","unknown","unknown"
8,34,172,1,"FAYETTE","BALLOT - 034","total","unknown","unknown","unknown"
8,34,173,1,"FAYETTE","BALLOT - 035","total","unknown","unknown","unknown"
8,34,174,1,"FAYETTE","BALLOT - 036","total","unknown","unknown","unknown"
8,34,175,1,"FAYETTE","BALLOT - 037","total","unknown","unknown","unknown"
8,34,176,1,"FAYETTE","BALLOT - 038","total","unknown","unknown","unknown"
8,34,177,1,"FAYETTE","BALLOT - 039","total","unknown","unknown","unknown"
8,34,178,1,"FAYETTE","BALLOT - 040","total","unknown","unknown","unknown"
8,34,179,1,"FAYETTE","BALLOT - 041","total","unknown","unknown","unknown"
8,34,180,1,"FAYETTE","BALLOT - 042","total","unknown","unknown","unknown"
8,34,181,1,"FAYETTE","BALLOT - 043","total","unknown","unknown","unknown"
8,34,182,1,"FAYETTE","BALLOT - 044","total","unknown","unknown","unknown"
8,34,183,1,"FAYETTE","BALLOT - 045","total","unknown","unknown","unknown"
8,34,184,1,"FAYETTE","BALLOT - 046","total","unknown","unknown","unknown"
8,34,185,1,"FAYETTE","BALLOT - 047","total","unknown","unknown","unknown"
8,34,186,1,"FAYETTE","BALLOT - 048","total","unknown","unknown","unknown"
8,34,187,1,"FAYETTE","BALLOT - 049","total","unknown","unknown","unknown"
8,34,188,1,"FAYETTE","BALLOT - 050","total","unknown","unknown","unknown"
8,34,189,1,"FAYETTE","BALLOT - 051","total","unknown","unknown","unknown"
8,34,190,1,"FAYETTE","BALLOT - 052","total","unknown","unknown","unknown"
8,34,191,1,"FAYETTE","BALLOT - 053","total","unknown","unknown","unknown"
8,34,192,1,"FAYETTE","BALLOT - 054","total","unknown","unknown","unknown"
8,34,193,1,"FAYETTE","BALLOT - 055","total","unknown","unknown","unknown"
8,34,194,1,"FAYETTE","BALLOT - 056","total","unknown","unknown","unknown"
8,34,195,1,"FAYETTE","BALLOT - 057","total","unknown","unknown","unknown"
8,34,196,1,"FAYETTE","BALLOT - 058","total","unknown","unknown","unknown"
8,34,197,1,"FAYETTE","BALLOT - 059","total","unknown","unknown","unknown"
8,34,198,1,"FAYETTE","BALLOT - 060","total","unknown","unknown","unknown"
8,34,199,1,"FAYETTE","BALLOT - 061","total","unknown","unknown","unknown"
8,34,200,1,"FAYETTE","BALLOT - 062","total","unknown","unknown","unknown"
8,34,201,1,"FAYETTE","BALLOT - 063","total","unknown","unknown","unknown"
8,34,202,1,"FAYETTE","BALLOT - 064","total","unknown","unknown","unknown"
8,34,203,1,"FAYETTE","BALLOT - 065","total","unknown","unknown","unknown"
8,34,204,1,"FAYETTE","BALLOT - 066","total","unknown","unknown","unknown"
8,34,205,1,"FAYETTE","BALLOT - 067","total","unknown","unknown","unknown"
8,34,206,1,"FAYETTE","BALLOT - 068","total","unknown","unknown","unknown"
8,34,207,1,"FAYETTE","BALLOT - 069","total","unknown","unknown","unknown"
