"sid","cid","county_name","county_fips"
9,1,"ACADIA","unknown"
9,2,"ALLEN","unknown"
9,3,"ASCENSION","unknown"
9,4,"ASSUMPTION","unknown"
9,5,"AVOYELLES","unknown"
9,6,"BEAUREGARD","unknown"
9,7,"BIENVILLE","unknown"
9,8,"BOSSIER","unknown"
9,9,"CADDO","unknown"
9,10,"CALCASIEU","unknown"
9,11,"CALDWELL","unknown"
9,12,"CAMERON","unknown"
9,13,"CATAHOULA","unknown"
9,14,"CLAIBORNE","unknown"
9,15,"CONCORDIA","unknown"
9,16,"DE SOTO","unknown"
9,17,"EAST BATON ROUGE","unknown"
9,18,"EAST CARROLL","unknown"
9,19,"EAST FELICIANA","unknown"
9,20,"EVANGELINE","unknown"
9,21,"FRANKLIN","unknown"
9,22,"GRANT","unknown"
9,23,"IBERIA","unknown"
9,24,"IBERVILLE","unknown"
9,25,"JACKSON","unknown"
9,26,"JEFFERSON","unknown"
9,27,"JEFFERSON DAVIS","unknown"
9,28,"LAFAYETTE","unknown"
9,29,"LAFOURCHE","unknown"
9,30,"LASALLE","unknown"
9,31,"LINCOLN","unknown"
9,32,"LIVINGSTON","unknown"
9,33,"MADISON","unknown"
9,34,"MOREHOUSE","unknown"
9,35,"NATCHITOCHES","unknown"
9,36,"ORLEANS","unknown"
9,37,"OUACHITA","unknown"
9,38,"PLAQUEMINES","unknown"
9,39,"POINTE COUPEE","unknown"
9,40,"RAPIDES","unknown"
9,41,"RED RIVER","unknown"
9,42,"RICHLAND","unknown"
9,43,"SABINE","unknown"
9,44,"ST. BERNARD","unknown"
9,45,"ST. CHARLES","unknown"
9,46,"ST. HELENA","unknown"
9,47,"ST. JAMES","unknown"
9,48,"ST. JOHN THE BAPTIST","unknown"
9,49,"ST. LANDRY","unknown"
9,50,"ST. MARTIN","unknown"
9,51,"ST. MARY","unknown"
9,52,"ST. TAMMANY","unknown"
9,53,"TANGIPAHOA","unknown"
9,54,"TENSAS","unknown"
9,55,"TERREBONNE","unknown"
9,56,"UNION","unknown"
9,57,"VERMILION","unknown"
9,58,"VERNON","unknown"
9,59,"WASHINGTON","unknown"
9,60,"WEBSTER","unknown"
9,61,"WEST BATON ROUGE","unknown"
9,62,"WEST CARROLL","unknown"
9,63,"WEST FELICIANA","unknown"
9,64,"WINN","unknown"
