"sid","cid","vid","county_name","vote_type","county_fips"
9,1,1,"ACADIA","total","unknown"
9,1,2,"ACADIA","early","unknown"
9,1,3,"ACADIA","provisional","unknown"
9,2,1,"ALLEN","total","unknown"
9,2,2,"ALLEN","early","unknown"
9,2,3,"ALLEN","provisional","unknown"
9,3,1,"ASCENSION","total","unknown"
9,3,2,"ASCENSION","early","unknown"
9,3,3,"ASCENSION","provisional","unknown"
9,4,1,"ASSUMPTION","total","unknown"
9,4,2,"ASSUMPTION","early","unknown"
9,4,3,"ASSUMPTION","provisional","unknown"
9,5,1,"AVOYELLES","total","unknown"
9,5,2,"AVOYELLES","early","unknown"
9,5,3,"AVOYELLES","provisional","unknown"
9,6,1,"BEAUREGARD","total","unknown"
9,6,2,"BEAUREGARD","early","unknown"
9,6,3,"BEAUREGARD","provisional","unknown"
9,7,1,"BIENVILLE","total","unknown"
9,7,2,"BIENVILLE","early","unknown"
9,7,3,"BIENVILLE","provisional","unknown"
9,8,1,"BOSSIER","total","unknown"
9,8,2,"BOSSIER","early","unknown"
9,8,3,"BOSSIER","provisional","unknown"
9,9,1,"CADDO","total","unknown"
9,9,2,"CADDO","early","unknown"
9,9,3,"CADDO","provisional","unknown"
9,10,1,"CALCASIEU","total","unknown"
9,10,2,"CALCASIEU","early","unknown"
9,10,3,"CALCASIEU","provisional","unknown"
9,11,1,"CALDWELL","total","unknown"
9,11,2,"CALDWELL","early","unknown"
9,11,3,"CALDWELL","provisional","unknown"
9,12,1,"CAMERON","total","unknown"
9,12,2,"CAMERON","early","unknown"
9,12,3,"CAMERON","provisional","unknown"
9,13,1,"CATAHOULA","total","unknown"
9,13,2,"CATAHOULA","early","unknown"
9,13,3,"CATAHOULA","provisional","unknown"
9,14,1,"CLAIBORNE","total","unknown"
9,14,2,"CLAIBORNE","early","unknown"
9,14,3,"CLAIBORNE","provisional","unknown"
9,15,1,"CONCORDIA","total","unknown"
9,15,2,"CONCORDIA","early","unknown"
9,15,3,"CONCORDIA","provisional","unknown"
9,16,1,"DE SOTO","total","unknown"
9,16,2,"DE SOTO","early","unknown"
9,16,3,"DE SOTO","provisional","unknown"
9,17,1,"EAST BATON ROUGE","total","unknown"
9,17,2,"EAST BATON ROUGE","early","unknown"
9,17,3,"EAST BATON ROUGE","provisional","unknown"
9,18,1,"EAST CARROLL","total","unknown"
9,18,2,"EAST CARROLL","early","unknown"
9,18,3,"EAST CARROLL","provisional","unknown"
9,19,1,"EAST FELICIANA","total","unknown"
9,19,2,"EAST FELICIANA","early","unknown"
9,19,3,"EAST FELICIANA","provisional","unknown"
9,20,1,"EVANGELINE","total","unknown"
9,20,2,"EVANGELINE","early","unknown"
9,20,3,"EVANGELINE","provisional","unknown"
9,21,1,"FRANKLIN","total","unknown"
9,21,2,"FRANKLIN","early","unknown"
9,21,3,"FRANKLIN","provisional","unknown"
9,22,1,"GRANT","total","unknown"
9,22,2,"GRANT","early","unknown"
9,22,3,"GRANT","provisional","unknown"
9,23,1,"IBERIA","total","unknown"
9,23,2,"IBERIA","early","unknown"
9,23,3,"IBERIA","provisional","unknown"
9,24,1,"IBERVILLE","total","unknown"
9,24,2,"IBERVILLE","early","unknown"
9,24,3,"IBERVILLE","provisional","unknown"
9,25,1,"JACKSON","total","unknown"
9,25,2,"JACKSON","early","unknown"
9,25,3,"JACKSON","provisional","unknown"
9,26,1,"JEFFERSON","total","unknown"
9,26,2,"JEFFERSON","early","unknown"
9,26,3,"JEFFERSON","provisional","unknown"
9,27,1,"JEFFERSON DAVIS","total","unknown"
9,27,2,"JEFFERSON DAVIS","early","unknown"
9,27,3,"JEFFERSON DAVIS","provisional","unknown"
9,28,1,"LAFAYETTE","total","unknown"
9,28,2,"LAFAYETTE","early","unknown"
9,28,3,"LAFAYETTE","provisional","unknown"
9,29,1,"LAFOURCHE","total","unknown"
9,29,2,"LAFOURCHE","early","unknown"
9,29,3,"LAFOURCHE","provisional","unknown"
9,30,1,"LASALLE","total","unknown"
9,30,2,"LASALLE","early","unknown"
9,30,3,"LASALLE","provisional","unknown"
9,31,1,"LINCOLN","total","unknown"
9,31,2,"LINCOLN","early","unknown"
9,31,3,"LINCOLN","provisional","unknown"
9,32,1,"LIVINGSTON","total","unknown"
9,32,2,"LIVINGSTON","early","unknown"
9,32,3,"LIVINGSTON","provisional","unknown"
9,33,1,"MADISON","total","unknown"
9,33,2,"MADISON","early","unknown"
9,33,3,"MADISON","provisional","unknown"
9,34,1,"MOREHOUSE","total","unknown"
9,34,2,"MOREHOUSE","early","unknown"
9,34,3,"MOREHOUSE","provisional","unknown"
9,35,1,"NATCHITOCHES","total","unknown"
9,35,2,"NATCHITOCHES","early","unknown"
9,35,3,"NATCHITOCHES","provisional","unknown"
9,36,1,"ORLEANS","total","unknown"
9,36,2,"ORLEANS","early","unknown"
9,36,3,"ORLEANS","provisional","unknown"
9,37,1,"OUACHITA","total","unknown"
9,37,2,"OUACHITA","early","unknown"
9,37,3,"OUACHITA","provisional","unknown"
9,38,1,"PLAQUEMINES","total","unknown"
9,38,2,"PLAQUEMINES","early","unknown"
9,38,3,"PLAQUEMINES","provisional","unknown"
9,39,1,"POINTE COUPEE","total","unknown"
9,39,2,"POINTE COUPEE","early","unknown"
9,39,3,"POINTE COUPEE","provisional","unknown"
9,40,1,"RAPIDES","total","unknown"
9,40,2,"RAPIDES","early","unknown"
9,40,3,"RAPIDES","provisional","unknown"
9,41,1,"RED RIVER","total","unknown"
9,41,2,"RED RIVER","early","unknown"
9,41,3,"RED RIVER","provisional","unknown"
9,42,1,"RICHLAND","total","unknown"
9,42,2,"RICHLAND","early","unknown"
9,42,3,"RICHLAND","provisional","unknown"
9,43,1,"SABINE","total","unknown"
9,43,2,"SABINE","early","unknown"
9,43,3,"SABINE","provisional","unknown"
9,44,1,"ST. BERNARD","total","unknown"
9,44,2,"ST. BERNARD","early","unknown"
9,44,3,"ST. BERNARD","provisional","unknown"
9,45,1,"ST. CHARLES","total","unknown"
9,45,2,"ST. CHARLES","early","unknown"
9,45,3,"ST. CHARLES","provisional","unknown"
9,46,1,"ST. HELENA","total","unknown"
9,46,2,"ST. HELENA","early","unknown"
9,46,3,"ST. HELENA","provisional","unknown"
9,47,1,"ST. JAMES","total","unknown"
9,47,2,"ST. JAMES","early","unknown"
9,47,3,"ST. JAMES","provisional","unknown"
9,48,1,"ST. JOHN THE BAPTIST","total","unknown"
9,48,2,"ST. JOHN THE BAPTIST","early","unknown"
9,48,3,"ST. JOHN THE BAPTIST","provisional","unknown"
9,49,1,"ST. LANDRY","total","unknown"
9,49,2,"ST. LANDRY","early","unknown"
9,49,3,"ST. LANDRY","provisional","unknown"
9,50,1,"ST. MARTIN","total","unknown"
9,50,2,"ST. MARTIN","early","unknown"
9,50,3,"ST. MARTIN","provisional","unknown"
9,51,1,"ST. MARY","total","unknown"
9,51,2,"ST. MARY","early","unknown"
9,51,3,"ST. MARY","provisional","unknown"
9,52,1,"ST. TAMMANY","total","unknown"
9,52,2,"ST. TAMMANY","early","unknown"
9,52,3,"ST. TAMMANY","provisional","unknown"
9,53,1,"TANGIPAHOA","total","unknown"
9,53,2,"TANGIPAHOA","early","unknown"
9,53,3,"TANGIPAHOA","provisional","unknown"
9,54,1,"TENSAS","total","unknown"
9,54,2,"TENSAS","early","unknown"
9,54,3,"TENSAS","provisional","unknown"
9,55,1,"TERREBONNE","total","unknown"
9,55,2,"TERREBONNE","early","unknown"
9,55,3,"TERREBONNE","provisional","unknown"
9,56,1,"UNION","total","unknown"
9,56,2,"UNION","early","unknown"
9,56,3,"UNION","provisional","unknown"
9,57,1,"VERMILION","total","unknown"
9,57,2,"VERMILION","early","unknown"
9,57,3,"VERMILION","provisional","unknown"
9,58,1,"VERNON","total","unknown"
