"sid","cid","county_name","county_fips"
10,14,"BERRIEN COUNTY","26021"
10,1,"BRANCH COUNTY","26023"
10,2,"CASS COUNTY","26027"
10,18,"CITY OF DETROIT","26163"
10,3,"EATON","26045"
10,4,"GRATIOT COUNTY","26057"
10,19,"INGHAM COUNTY","26065"
10,5,"ISABELLA COUNTY","26073"
10,20,"KALAMAZOO","26077"
10,6,"KENT COUNTY","26081"
10,7,"LAKE COUNTY","26085"
10,8,"MACOMB","26099"
10,21,"MACOMB COUNTY","26099"
10,9,"MIDLAND COUNTY","26111"
10,10,"NEWAYGO COUNTY","26123"
10,11,"OAKLAND","26125"
10,12,"SAGINAW COUNTY","26145"
10,15,"SHIAWASSEE COUNTY","26155"
10,16,"ST. CLAIR COUNTY","26147"
10,17,"ST. JOSEPH COUNTY","26149"
10,13,"VAN BUREN COUNTY","26159"
10,22,"WAYNE COUNTY","26163"
