"sid","cid","county_name","county_fips"
11,1,"AITKIN","27001"
11,2,"ANOKA","27003"
11,3,"BECKER","27005"
11,4,"BELTRAMI","27007"
11,5,"BENTON","27009"
11,6,"BIG STONE","27011"
11,7,"BLUE EARTH","27013"
11,8,"BROWN","27015"
11,9,"CARLTON","27017"
11,10,"CARVER","27019"
11,11,"CASS","27021"
11,12,"CHIPPEWA","27023"
11,13,"CHISAGO","27025"
11,14,"CLAY","27027"
11,15,"CLEARWATER","27029"
11,16,"COOK","27031"
11,17,"COTTONWOOD","27033"
11,18,"CROW WING","27035"
11,19,"DAKOTA","27037"
11,20,"DODGE","27039"
11,21,"DOUGLAS","27041"
11,22,"FARIBAULT","27043"
11,23,"FILLMORE","27045"
11,24,"FREEBORN","27047"
11,25,"GOODHUE","27049"
11,26,"GRANT","27051"
11,27,"HENNEPIN","27053"
11,28,"HOUSTON","27055"
11,29,"HUBBARD","27057"
11,30,"ISANTI","27059"
11,31,"ITASCA","27061"
11,32,"JACKSON","27063"
11,33,"KANABEC","27065"
11,34,"KANDIYOHI","27067"
11,35,"KITTSON","27069"
11,36,"KOOCHICHING","27071"
11,37,"LAC QUI PARLE","27073"
11,38,"LAKE","27075"
11,39,"LAKE OF THE WOODS","27077"
11,40,"LE SUEUR","27079"
11,41,"LINCOLN","27081"
11,42,"LYON","27083"
11,43,"MAHNOMEN","27087"
11,44,"MARSHALL","27089"
11,45,"MARTIN","27091"
11,46,"MCLEOD","27085"
11,47,"MEEKER","27093"
11,48,"MILLE LACS","27095"
11,49,"MORRISON","27097"
11,50,"MOWER","27099"
11,51,"MURRAY","27101"
11,52,"NICOLLET","27103"
11,53,"NOBLES","27105"
11,54,"NORMAN","27107"
11,55,"OLMSTED","27109"
11,56,"OTTER TAIL","27111"
11,57,"PENNINGTON","27113"
11,58,"PINE","27115"
11,59,"PIPESTONE","27117"
11,60,"POLK","27119"
11,61,"POPE","27121"
11,62,"RAMSEY","27123"
11,63,"RED LAKE","27125"
11,64,"REDWOOD","27127"
11,65,"RENVILLE","27129"
11,66,"RICE","27131"
11,67,"ROCK","27133"
11,68,"ROSEAU","27135"
11,69,"SCOTT","27139"
11,70,"SHERBURNE","27141"
11,71,"SIBLEY","27143"
11,72,"ST. LOUIS","27137"
11,73,"STEARNS","27145"
11,74,"STEELE","27147"
11,75,"STEVENS","27149"
11,76,"SWIFT","27151"
11,77,"TODD","27153"
11,78,"TRAVERSE","27155"
11,79,"WABASHA","27157"
11,80,"WADENA","27159"
11,81,"WASECA","27161"
11,82,"WASHINGTON","27163"
11,83,"WATONWAN","27165"
11,84,"WILKIN","27167"
11,85,"WINONA","27169"
11,86,"WRIGHT","27171"
11,87,"YELLOW MEDICINE","27173"
