"sid","cid","vid","county_name","vote_type","county_fips"
11,1,1,"AITKIN","total","27001"
11,2,1,"ANOKA","total","27003"
11,3,1,"BECKER","total","27005"
11,4,1,"BELTRAMI","total","27007"
11,5,1,"BENTON","total","27009"
11,6,1,"BIG STONE","total","27011"
11,7,1,"BLUE EARTH","total","27013"
11,8,1,"BROWN","total","27015"
11,9,1,"CARLTON","total","27017"
11,10,1,"CARVER","total","27019"
11,11,1,"CASS","total","27021"
11,12,1,"CHIPPEWA","total","27023"
11,13,1,"CHISAGO","total","27025"
11,14,1,"CLAY","total","27027"
11,15,1,"CLEARWATER","total","27029"
11,16,1,"COOK","total","27031"
11,17,1,"COTTONWOOD","total","27033"
11,18,1,"CROW WING","total","27035"
11,19,1,"DAKOTA","total","27037"
11,20,1,"DODGE","total","27039"
11,21,1,"DOUGLAS","total","27041"
11,22,1,"FARIBAULT","total","27043"
11,23,1,"FILLMORE","total","27045"
11,24,1,"FREEBORN","total","27047"
11,25,1,"GOODHUE","total","27049"
11,26,1,"GRANT","total","27051"
11,27,1,"HENNEPIN","total","27053"
11,28,1,"HOUSTON","total","27055"
11,29,1,"HUBBARD","total","27057"
11,30,1,"ISANTI","total","27059"
11,31,1,"ITASCA","total","27061"
11,32,1,"JACKSON","total","27063"
11,33,1,"KANABEC","total","27065"
11,34,1,"KANDIYOHI","total","27067"
11,35,1,"KITTSON","total","27069"
11,36,1,"KOOCHICHING","total","27071"
11,37,1,"LAC QUI PARLE","total","27073"
11,38,1,"LAKE","total","27075"
11,39,1,"LAKE OF THE WOODS","total","27077"
11,40,1,"LE SUEUR","total","27079"
11,41,1,"LINCOLN","total","27081"
11,42,1,"LYON","total","27083"
11,43,1,"MAHNOMEN","total","27087"
11,44,1,"MARSHALL","total","27089"
11,45,1,"MARTIN","total","27091"
11,46,1,"MCLEOD","total","27085"
11,47,1,"MEEKER","total","27093"
11,48,1,"MILLE LACS","total","27095"
11,49,1,"MORRISON","total","27097"
11,50,1,"MOWER","total","27099"
11,51,1,"MURRAY","total","27101"
11,52,1,"NICOLLET","total","27103"
11,53,1,"NOBLES","total","27105"
11,54,1,"NORMAN","total","27107"
11,55,1,"OLMSTED","total","27109"
11,56,1,"OTTER TAIL","total","27111"
11,57,1,"PENNINGTON","total","27113"
11,58,1,"PINE","total","27115"
11,59,1,"PIPESTONE","total","27117"
11,60,1,"POLK","total","27119"
11,61,1,"POPE","total","27121"
11,62,1,"RAMSEY","total","27123"
11,63,1,"RED LAKE","total","27125"
11,64,1,"REDWOOD","total","27127"
11,65,1,"RENVILLE","total","27129"
11,66,1,"RICE","total","27131"
11,67,1,"ROCK","total","27133"
11,68,1,"ROSEAU","total","27135"
11,69,1,"SCOTT","total","27139"
11,70,1,"SHERBURNE","total","27141"
11,71,1,"SIBLEY","total","27143"
11,72,1,"ST. LOUIS","total","27137"
11,73,1,"STEARNS","total","27145"
11,74,1,"STEELE","total","27147"
11,75,1,"STEVENS","total","27149"
11,76,1,"SWIFT","total","27151"
11,77,1,"TODD","total","27153"
11,78,1,"TRAVERSE","total","27155"
11,79,1,"WABASHA","total","27157"
11,80,1,"WADENA","total","27159"
11,81,1,"WASECA","total","27161"
11,82,1,"WASHINGTON","total","27163"
11,83,1,"WATONWAN","total","27165"
11,84,1,"WILKIN","total","27167"
11,85,1,"WINONA","total","27169"
11,86,1,"WRIGHT","total","27171"
11,87,1,"YELLOW MEDICINE","total","27173"
