"sid","cid","pid","county_name","precinct_id","county_fips","precinct_geo_id","precinct_name"
11,1,1,"AITKIN","AITKIN","27001","Aitkin-AITKIN","AITKIN"
11,1,2,"AITKIN","AITKIN TWP","27001","Aitkin-AITKIN TWP","AITKIN TWP"
11,1,3,"AITKIN","BALL BLUFF TWP","27001","Aitkin-BALL BLUFF TWP","BALL BLUFF TWP"
11,1,4,"AITKIN","BALSAM TWP","27001","Aitkin-BALSAM TWP","BALSAM TWP"
11,1,5,"AITKIN","BEAVER TWP","27001","Aitkin-BEAVER TWP","BEAVER TWP"
11,1,6,"AITKIN","CLARK TWP","27001","Aitkin-CLARK TWP","CLARK TWP"
11,1,7,"AITKIN","CORNISH TWP","27001","Aitkin-CORNISH TWP","CORNISH TWP"
11,1,8,"AITKIN","FARM ISLAND TWP","27001","Aitkin-FARM ISLAND TWP","FARM ISLAND TWP"
11,1,9,"AITKIN","FLEMING TWP","27001","Aitkin-FLEMING TWP","FLEMING TWP"
11,1,10,"AITKIN","GLEN TWP","27001","Aitkin-GLEN TWP","GLEN TWP"
11,1,11,"AITKIN","HAUGEN TWP","27001","Aitkin-HAUGEN TWP","HAUGEN TWP"
11,1,12,"AITKIN","HAZELTON TWP","27001","Aitkin-HAZELTON TWP","HAZELTON TWP"
11,1,13,"AITKIN","HILL CITY","27001","Aitkin-HILL CITY","HILL CITY"
11,1,14,"AITKIN","HILL LAKE TWP","27001","Aitkin-HILL LAKE TWP","HILL LAKE TWP"
11,1,15,"AITKIN","IDUN TWP","27001","Aitkin-IDUN TWP","IDUN TWP"
11,1,16,"AITKIN","JEVNE TWP","27001","Aitkin-JEVNE TWP","JEVNE TWP"
11,1,17,"AITKIN","KIMBERLY TWP","27001","Aitkin-KIMBERLY TWP","KIMBERLY TWP"
11,1,18,"AITKIN","LAKESIDE TWP","27001","Aitkin-LAKESIDE TWP","LAKESIDE TWP"
11,1,19,"AITKIN","LEE TWP","27001","Aitkin-LEE TWP","LEE TWP"
11,1,20,"AITKIN","LIBBY TWP E","27001","Aitkin-LIBBY TWP P-EAST","LIBBY TWP E"
11,1,21,"AITKIN","LIBBY TWP W","27001","Aitkin-LIBBY TWP P-WEST","LIBBY TWP W"
11,1,22,"AITKIN","LOGAN TWP","27001","Aitkin-LOGAN TWP","LOGAN TWP"
11,1,23,"AITKIN","MACVILLE TWP","27001","Aitkin-MACVILLE TWP","MACVILLE TWP"
11,1,24,"AITKIN","MALMO TWP","27001","Aitkin-MALMO TWP","MALMO TWP"
11,1,25,"AITKIN","MCGRATH","27001","Aitkin-MCGRATH","MCGRATH"
11,1,26,"AITKIN","MCGREGOR","27001","Aitkin-MCGREGOR","MCGREGOR"
11,1,27,"AITKIN","MCGREGOR TWP","27001","Aitkin-MCGREGOR TWP","MCGREGOR TWP"
11,1,28,"AITKIN","MILLWARD TWP","27001","Aitkin-MILLWARD TWP","MILLWARD TWP"
11,1,29,"AITKIN","MORRISON TWP","27001","Aitkin-MORRISON TWP","MORRISON TWP"
11,1,30,"AITKIN","NE AITKIN UNORG","27001","Aitkin-NORTHEAST AITKIN UNORG","NE AITKIN UNORG"
11,1,31,"AITKIN","NORDLAND TWP","27001","Aitkin-NORDLAND TWP","NORDLAND TWP"
