"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
11,1,1,1,"AITKIN","AITKIN","total","27001","Aitkin-AITKIN","AITKIN"
11,1,2,1,"AITKIN","AITKIN TWP","total","27001","Aitkin-AITKIN TWP","AITKIN TWP"
11,1,3,1,"AITKIN","BALL BLUFF TWP","total","27001","Aitkin-BALL BLUFF TWP","BALL BLUFF TWP"
11,1,4,1,"AITKIN","BALSAM TWP","total","27001","Aitkin-BALSAM TWP","BALSAM TWP"
11,1,5,1,"AITKIN","BEAVER TWP","total","27001","Aitkin-BEAVER TWP","BEAVER TWP"
11,1,6,1,"AITKIN","CLARK TWP","total","27001","Aitkin-CLARK TWP","CLARK TWP"
11,1,7,1,"AITKIN","CORNISH TWP","total","27001","Aitkin-CORNISH TWP","CORNISH TWP"
11,1,8,1,"AITKIN","FARM ISLAND TWP","total","27001","Aitkin-FARM ISLAND TWP","FARM ISLAND TWP"
11,1,9,1,"AITKIN","FLEMING TWP","total","27001","Aitkin-FLEMING TWP","FLEMING TWP"
11,1,10,1,"AITKIN","GLEN TWP","total","27001","Aitkin-GLEN TWP","GLEN TWP"
11,1,11,1,"AITKIN","HAUGEN TWP","total","27001","Aitkin-HAUGEN TWP","HAUGEN TWP"
11,1,12,1,"AITKIN","HAZELTON TWP","total","27001","Aitkin-HAZELTON TWP","HAZELTON TWP"
11,1,13,1,"AITKIN","HILL CITY","total","27001","Aitkin-HILL CITY","HILL CITY"
11,1,14,1,"AITKIN","HILL LAKE TWP","total","27001","Aitkin-HILL LAKE TWP","HILL LAKE TWP"
11,1,15,1,"AITKIN","IDUN TWP","total","27001","Aitkin-IDUN TWP","IDUN TWP"
11,1,16,1,"AITKIN","JEVNE TWP","total","27001","Aitkin-JEVNE TWP","JEVNE TWP"
11,1,17,1,"AITKIN","KIMBERLY TWP","total","27001","Aitkin-KIMBERLY TWP","KIMBERLY TWP"
11,1,18,1,"AITKIN","LAKESIDE TWP","total","27001","Aitkin-LAKESIDE TWP","LAKESIDE TWP"
11,1,19,1,"AITKIN","LEE TWP","total","27001","Aitkin-LEE TWP","LEE TWP"
11,1,20,1,"AITKIN","LIBBY TWP E","total","27001","Aitkin-LIBBY TWP P-EAST","LIBBY TWP E"
11,1,21,1,"AITKIN","LIBBY TWP W","total","27001","Aitkin-LIBBY TWP P-WEST","LIBBY TWP W"
11,1,22,1,"AITKIN","LOGAN TWP","total","27001","Aitkin-LOGAN TWP","LOGAN TWP"
11,1,23,1,"AITKIN","MACVILLE TWP","total","27001","Aitkin-MACVILLE TWP","MACVILLE TWP"
11,1,24,1,"AITKIN","MALMO TWP","total","27001","Aitkin-MALMO TWP","MALMO TWP"
11,1,25,1,"AITKIN","MCGRATH","total","27001","Aitkin-MCGRATH","MCGRATH"
11,1,26,1,"AITKIN","MCGREGOR","total","27001","Aitkin-MCGREGOR","MCGREGOR"
11,1,27,1,"AITKIN","MCGREGOR TWP","total","27001","Aitkin-MCGREGOR TWP","MCGREGOR TWP"
11,1,28,1,"AITKIN","MILLWARD TWP","total","27001","Aitkin-MILLWARD TWP","MILLWARD TWP"
11,1,29,1,"AITKIN","MORRISON TWP","total","27001","Aitkin-MORRISON TWP","MORRISON TWP"
