"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,11,1,1,1,1091,446,626,19
0,11,1,2,1,576,187,379,10
0,11,1,3,1,185,75,107,3
0,11,1,4,1,24,11,12,1
0,11,1,5,1,38,20,17,1
0,11,1,6,1,82,40,41,1
0,11,1,7,1,29,15,12,2
0,11,1,8,1,772,285,482,5
0,11,1,9,1,234,77,153,4
0,11,1,10,1,336,137,197,2
0,11,1,11,1,105,46,56,3
0,11,1,12,1,605,220,382,3
0,11,1,13,1,284,105,175,4
0,11,1,14,1,263,89,167,7
0,11,1,15,1,127,35,90,2
0,11,1,16,1,218,64,152,2
0,11,1,17,1,122,42,78,2
0,11,1,18,1,342,124,217,1
0,11,1,19,1,36,2,34,0
0,11,1,20,1,17,5,12,0
0,11,1,21,1,21,12,9,0
0,11,1,22,1,128,45,80,3
0,11,1,23,1,97,32,61,4
0,11,1,24,1,256,83,166,7
0,11,1,25,1,27,4,23,0
0,11,1,26,1,141,53,80,8
0,11,1,27,1,57,14,43,0
0,11,1,28,1,36,17,17,2
0,11,1,29,1,95,31,63,1
0,11,1,30,1,23,2,20,1
0,11,1,31,1,720,255,460,5
0,11,1,32,1,48,11,34,3
0,11,1,33,1,87,34,53,0
0,11,1,34,1,88,31,55,2
0,11,1,35,1,52,9,41,2
0,11,1,36,1,78,25,51,2
0,11,1,37,1,57,22,35,0
0,11,1,38,1,47,12,34,1
0,11,1,39,1,843,339,494,10
0,11,1,40,1,111,64,43,4
0,11,1,41,1,343,93,239,11
0,11,1,42,1,27,7,18,2
0,11,1,43,1,112,42,68,2
0,11,1,44,1,27,9,18,0
0,11,1,45,1,31,13,15,3
0,11,1,46,1,28,10,18,0
0,11,1,47,1,42,16,26,0
0,11,1,48,1,28,9,19,0
0,11,1,49,1,213,74,135,4
0,11,1,50,1,204,67,134,3
0,11,1,51,1,212,78,130,4
0,11,1,52,1,30,7,23,0
0,11,1,53,1,84,25,59,0
0,11,1,54,1,146,37,105,4
0,11,2,55,1,2225,773,1409,43
0,11,2,56,1,2325,1047,1236,42
0,11,2,57,1,1953,811,1098,44
0,11,2,58,1,2254,922,1262,70
0,11,2,59,1,1844,814,986,44
0,11,2,60,1,2489,1053,1374,62
0,11,2,61,1,1924,663,1210,51
0,11,2,62,1,1800,743,1004,53
0,11,2,63,1,1915,756,1115,44
0,11,2,64,1,2099,906,1147,46
0,11,2,65,1,954,505,411,38
0,11,2,66,1,1224,642,547,35
0,11,2,67,1,1295,627,642,26
0,11,2,68,1,1201,635,529,37
0,11,2,69,1,1083,511,519,53
0,11,2,70,1,1448,709,694,45
0,11,2,71,1,1239,601,600,38
0,11,2,72,1,1128,538,554,36
0,11,2,73,1,286,74,209,3
0,11,2,74,1,1411,780,593,38
0,11,2,75,1,1690,934,708,48
0,11,2,76,1,1253,633,568,52
0,11,2,77,1,942,451,462,29
0,11,2,78,1,2141,1075,1004,62
0,11,2,79,1,1380,685,662,33
0,11,2,80,1,1154,572,557,25
0,11,2,81,1,1222,597,585,40
0,11,2,82,1,1320,702,578,40
0,11,2,83,1,1251,663,559,29
0,11,2,84,1,1476,783,655,38
0,11,2,85,1,1476,824,615,37
0,11,2,86,1,1704,931,740,33
0,11,2,87,1,1502,752,715,35
0,11,2,88,1,1257,596,628,33
0,11,2,89,1,2800,1353,1393,54
0,11,2,90,1,1608,804,757,47
0,11,2,91,1,1573,764,767,42
0,11,2,92,1,1547,820,692,35
0,11,2,93,1,1779,878,861,40
0,11,2,94,1,1604,790,779,35
0,11,2,95,1,3485,1794,1609,82
0,11,2,96,1,2824,1522,1233,69
0,11,2,97,1,1463,728,700,35
0,11,2,98,1,2486,1070,1353,63
0,11,2,99,1,1226,592,601,33
0,11,2,100,1,1964,1123,782,59
0,11,2,101,1,1896,1490,371,35
0,11,2,102,1,1415,1048,328,39
0,11,2,103,1,1338,986,316,36
0,11,2,104,1,1557,1173,353,31
0,11,2,105,1,1409,1021,356,32
0,11,2,106,1,1159,783,353,23
0,11,2,107,1,1281,870,376,35
0,11,2,108,1,1250,855,364,31
0,11,2,109,1,2758,977,1718,63
0,11,2,110,1,2544,1275,1211,58
0,11,2,111,1,2136,1080,1001,55
0,11,2,112,1,1928,937,930,61
0,11,2,113,1,1223,634,550,39
0,11,2,114,1,1808,979,794,35
0,11,2,115,1,1267,629,596,42
0,11,2,116,1,1895,1037,816,42
0,11,2,117,1,1214,599,582,33
0,11,2,118,1,1456,784,631,41
0,11,2,119,1,1541,785,702,54
0,11,2,120,1,1610,840,722,48
0,11,2,121,1,1554,872,633,49
0,11,2,122,1,1595,893,652,50
0,11,2,123,1,1729,896,799,34
0,11,2,124,1,1750,906,790,54
0,11,2,125,1,1620,879,709,32
0,11,2,126,1,2151,1070,1014,67
0,11,2,127,1,1621,792,786,43
0,11,2,128,1,1808,905,859,44
0,11,2,129,1,1109,619,458,32
0,11,2,130,1,856,506,326,24
0,11,2,131,1,1426,790,593,43
0,11,2,132,1,2521,740,1728,53
0,11,2,133,1,2480,775,1636,69
0,11,2,134,1,2267,726,1492,49
0,11,2,135,1,1301,820,451,30
0,11,2,136,1,1252,758,464,30
0,11,2,137,1,1579,1088,443,48
0,11,2,138,1,1136,743,360,33
0,11,2,139,1,1085,683,370,32
0,11,2,140,1,982,655,305,22
0,11,2,141,1,1488,974,473,41
0,11,2,142,1,1465,936,486,43
0,11,2,143,1,1255,798,432,25
0,11,2,144,1,1568,950,575,43
0,11,2,145,1,874,613,221,40
0,11,2,146,1,1077,655,372,50
0,11,2,147,1,1450,531,887,32
0,11,2,148,1,1987,737,1203,47
0,11,2,149,1,2046,623,1373,50
0,11,2,150,1,1976,621,1298,57
