"sid","cid","vid","county_name","vote_type","county_fips"
12,1,1,"BEAVERHEAD","total","30001"
12,2,1,"BIG HORN","total","30003"
12,3,1,"BLAINE","total","30005"
12,4,1,"BROADWATER","total","30007"
12,5,1,"CARBON","total","30009"
12,6,1,"CARTER","total","30011"
12,7,1,"CASCADE","total","30013"
12,8,1,"CHOUTEAU","total","30015"
12,9,1,"CUSTER","total","30017"
12,10,1,"DANIELS","total","30019"
12,11,1,"DAWSON","total","30021"
12,12,1,"DEER LODGE","total","30023"
12,13,1,"FALLON","total","30025"
12,14,1,"FERGUS","total","30027"
12,15,1,"FLATHEAD","total","30029"
12,16,1,"GALLATIN","total","30031"
12,17,1,"GARFIELD","total","30033"
12,18,1,"GLACIER","total","30035"
12,19,1,"GOLDEN VALLEY","total","30037"
12,20,1,"GRANITE","total","30039"
12,21,1,"HILL","total","30041"
12,22,1,"JEFFERSON","total","30043"
12,23,1,"JUDITH BASIN","total","30045"
12,24,1,"LAKE","total","30047"
12,25,1,"LEWIS AND CLARK","total","30049"
12,26,1,"LIBERTY","total","30051"
12,27,1,"LINCOLN","total","30053"
12,28,1,"MADISON","total","30057"
12,29,1,"MCCONE","total","30055"
12,30,1,"MEAGHER","total","30059"
12,31,1,"MINERAL","total","30061"
12,32,1,"MISSOULA","total","30063"
12,33,1,"MUSSELSHELL","total","30065"
12,34,1,"PARK","total","30067"
12,35,1,"PETROLEUM","total","30069"
12,36,1,"PHILLIPS","total","30071"
12,37,1,"PONDERA","total","30073"
12,38,1,"POWDER RIVER","total","30075"
12,39,1,"POWELL","total","30077"
12,40,1,"PRAIRIE","total","30079"
12,41,1,"RAVALLI","total","30081"
12,42,1,"RICHLAND","total","30083"
12,43,1,"ROOSEVELT","total","30085"
12,44,1,"ROSEBUD","total","30087"
12,45,1,"SANDERS","total","30089"
12,46,1,"SHERIDAN","total","30091"
12,47,1,"SILVER BOW","total","30093"
12,48,1,"STILLWATER","total","30095"
12,49,1,"SWEET GRASS","total","30097"
12,50,1,"TETON","total","30099"
12,51,1,"TOOLE","total","30101"
12,52,1,"TREASURE","total","30103"
12,53,1,"VALLEY","total","30105"
12,54,1,"WHEATLAND","total","30107"
12,55,1,"WIBAUX","total","30109"
12,56,1,"YELLOWSTONE","total","30111"
