"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,12,1,1,1,373,192,166,15
0,12,1,2,1,864,671,181,12
0,12,1,3,1,869,625,227,17
0,12,1,4,1,221,181,34,6
0,12,1,5,1,149,120,24,5
0,12,1,6,1,473,303,157,13
0,12,1,7,1,318,239,76,3
0,12,1,8,1,76,57,19,0
0,12,1,9,1,481,355,121,5
0,12,1,10,1,613,359,243,11
0,12,1,11,1,518,304,189,25
0,12,1,12,1,137,96,34,7
0,12,1,13,1,148,110,32,6
0,12,1,14,1,97,88,7,2
0,12,1,15,1,165,120,44,1
0,12,1,16,1,159,103,54,2
0,12,2,17,1,172,110,58,4
0,12,2,18,1,66,53,11,2
0,12,2,19,1,160,75,84,1
0,12,2,20,1,284,128,149,7
0,12,2,21,1,400,225,168,7
0,12,2,22,1,362,219,132,11
0,12,2,23,1,560,308,240,12
0,12,2,24,1,138,72,61,5
0,12,2,25,1,335,118,214,3
0,12,2,26,1,390,86,296,8
0,12,2,27,1,152,126,26,0
0,12,2,28,1,91,70,19,2
0,12,2,29,1,167,137,28,2
0,12,2,30,1,344,116,225,3
0,12,2,31,1,56,41,14,1
0,12,2,32,1,780,183,585,12
0,12,2,33,1,164,97,62,5
0,12,2,34,1,163,43,119,1
0,12,3,35,1,428,44,377,7
0,12,3,36,1,678,457,206,15
0,12,3,37,1,358,119,235,4
0,12,3,38,1,188,27,156,5
0,12,3,39,1,560,65,486,9
0,12,3,40,1,127,110,15,2
0,12,3,41,1,478,405,66,7
0,12,3,42,1,300,242,48,10
0,12,4,43,1,901,681,205,15
0,12,4,44,1,808,647,148,13
0,12,4,45,1,720,536,170,14
0,12,4,46,1,1048,857,166,25
0,12,4,47,1,620,452,146,22
0,12,5,48,1,638,495,127,16
0,12,5,49,1,527,191,322,14
0,12,5,50,1,1108,552,527,29
0,12,5,51,1,641,520,112,9
0,12,5,52,1,374,255,114,5
0,12,5,53,1,309,211,92,6
0,12,5,54,1,667,535,122,10
0,12,5,55,1,353,274,68,11
0,12,5,56,1,430,337,87,6
0,12,5,57,1,366,269,87,10
0,12,5,58,1,624,457,152,15
0,12,5,59,1,566,231,323,12
0,12,5,60,1,449,141,288,20
0,12,6,61,1,125,115,10,0
0,12,6,62,1,257,213,32,12
0,12,6,63,1,402,375,24,3
0,12,6,64,1,80,72,8,0
0,12,7,65,1,494,379,108,7
0,12,7,66,1,1094,854,221,19
0,12,7,67,1,445,351,90,4
0,12,7,68,1,580,387,182,11
0,12,7,69,1,90,73,16,1
0,12,7,70,1,1209,862,326,21
0,12,7,71,1,714,515,189,10
0,12,7,72,1,529,357,156,16
0,12,7,73,1,326,212,113,1
0,12,7,74,1,5006,3140,1764,102
0,12,7,75,1,1554,970,560,24
0,12,7,76,1,4857,2717,2004,136
0,12,7,77,1,460,247,198,15
0,12,7,78,1,3258,1761,1402,95
0,12,7,79,1,1221,804,363,54
0,12,7,80,1,41,29,11,1
0,12,7,81,1,4162,2143,1887,132
0,12,7,82,1,4512,2364,1998,150
0,12,7,83,1,4458,2328,1972,158
0,12,7,84,1,2853,1474,1287,92
0,12,7,85,1,449,253,160,36
0,12,7,86,1,993,661,315,17
0,12,7,87,1,580,434,134,12
0,12,8,88,1,282,204,73,5
0,12,8,89,1,356,283,66,7
0,12,8,90,1,285,209,69,7
0,12,8,91,1,543,337,189,17
0,12,8,92,1,508,303,185,20
0,12,8,93,1,337,242,86,9
0,12,8,94,1,293,215,71,7
0,12,8,95,1,128,91,33,4
0,12,8,96,1,233,7,219,7
0,12,9,97,1,1057,738,297,22
0,12,9,98,1,1389,963,395,31
0,12,9,99,1,26,25,1,0
0,12,9,100,1,1269,890,338,41
0,12,9,101,1,195,155,34,6
0,12,9,102,1,220,147,69,4
0,12,9,103,1,43,39,3,1
0,12,9,104,1,177,154,21,2
0,12,9,105,1,26,25,1,0
0,12,9,106,1,94,87,5,2
0,12,9,107,1,330,279,50,1
0,12,9,108,1,49,49,0,0
0,12,9,109,1,32,27,2,3
0,12,9,110,1,953,627,298,28
0,12,10,111,1,148,115,28,5
0,12,10,112,1,310,252,51,7
0,12,10,113,1,309,233,72,4
0,12,10,114,1,247,199,44,4
0,12,11,115,1,646,444,186,16
0,12,11,116,1,563,409,140,14
0,12,11,117,1,641,469,151,21
0,12,11,118,1,456,331,109,16
0,12,11,119,1,313,266,40,7
0,12,11,120,1,966,824,126,16
0,12,11,121,1,1240,1015,210,15
0,12,12,122,1,563,212,332,19
0,12,12,123,1,591,217,361,13
0,12,12,124,1,106,52,52,2
0,12,12,125,1,336,122,200,14
0,12,12,126,1,370,147,208,15
0,12,12,127,1,87,33,49,5
0,12,12,128,1,362,156,192,14
0,12,12,129,1,344,156,174,14
0,12,12,130,1,143,66,76,1
0,12,12,131,1,119,77,38,4
0,12,12,132,1,322,164,148,10
0,12,12,133,1,355,230,117,8
0,12,12,134,1,668,309,348,11
0,12,12,135,1,525,245,267,13
0,12,13,136,1,1575,1375,172,28
0,12,14,137,1,380,239,126,15
0,12,14,138,1,476,323,138,15
0,12,14,139,1,105,85,17,3
0,12,14,140,1,591,417,163,11
0,12,14,141,1,339,267,66,6
0,12,14,142,1,266,228,33,5
0,12,14,143,1,460,343,110,7
0,12,14,144,1,190,176,13,1
0,12,14,145,1,952,726,202,24
0,12,14,146,1,430,356,71,3
0,12,14,147,1,365,301,57,7
0,12,14,148,1,346,303,40,3
0,12,14,149,1,426,277,142,7
0,12,14,150,1,360,244,104,12
0,12,14,151,1,403,305,83,15
0,12,14,152,1,418,279,131,8
0,12,15,153,1,682,387,275,20
0,12,15,154,1,1279,954,304,21
0,12,15,155,1,1822,1201,584,37
0,12,15,156,1,772,556,205,11
0,12,15,157,1,1239,957,253,29
0,12,15,158,1,1264,684,541,39
0,12,15,159,1,348,148,191,9
0,12,15,160,1,1846,1158,644,44
0,12,15,161,1,1362,1061,274,27
0,12,15,162,1,1021,575,411,35
0,12,15,163,1,2069,661,1352,56
0,12,15,164,1,1194,864,304,26
0,12,15,165,1,1014,647,344,23
0,12,15,166,1,894,724,142,28
0,12,15,167,1,1370,1028,306,36
0,12,15,168,1,827,656,153,18
0,12,15,169,1,1879,1403,445,31
0,12,15,170,1,1040,567,445,28
0,12,15,171,1,2713,1712,941,60
0,12,15,172,1,1048,608,388,52
0,12,15,173,1,526,374,139,13
0,12,15,174,1,1795,1282,492,21
0,12,15,175,1,1613,992,579,42
0,12,15,176,1,1939,1427,471,41
0,12,15,177,1,2253,1526,656,71
0,12,15,178,1,2250,1521,704,25
0,12,15,179,1,824,451,354,19
0,12,15,180,1,1147,629,477,41
0,12,15,181,1,1716,1011,672,33
0,12,15,182,1,1832,1329,477,26
0,12,15,183,1,2020,1470,522,28
0,12,15,184,1,1668,965,679,24
0,12,15,185,1,1669,719,921,29
0,12,15,186,1,1452,455,954,43
0,12,15,187,1,1142,643,477,22
0,12,15,188,1,1308,563,710,35
0,12,15,189,1,1396,958,412,26
0,12,15,190,1,1391,1064,281,46
0,12,15,191,1,3242,2131,1043,68
0,12,15,192,1,1338,931,373,34
0,12,15,193,1,1137,862,259,16
0,12,15,194,1,595,467,120,8
0,12,16,195,1,419,177,236,6
0,12,16,196,1,2164,865,1254,45
