"sid","cid","vid","county_name","vote_type","county_fips"
15,1,1,"ALAMANCE","absentee","37001"
15,1,2,"ALAMANCE","early","37001"
15,1,3,"ALAMANCE","electionday","37001"
15,1,4,"ALAMANCE","provisional","37001"
15,2,1,"ALEXANDER","absentee","37003"
15,2,2,"ALEXANDER","early","37003"
15,2,3,"ALEXANDER","electionday","37003"
15,2,4,"ALEXANDER","provisional","37003"
15,3,1,"ALLEGHANY","absentee","37005"
15,3,2,"ALLEGHANY","early","37005"
15,3,3,"ALLEGHANY","electionday","37005"
15,3,4,"ALLEGHANY","provisional","37005"
15,4,1,"ANSON","absentee","37007"
15,4,2,"ANSON","early","37007"
15,4,3,"ANSON","electionday","37007"
15,4,4,"ANSON","provisional","37007"
15,5,1,"ASHE","absentee","37009"
15,5,2,"ASHE","early","37009"
15,5,3,"ASHE","electionday","37009"
15,5,4,"ASHE","provisional","37009"
15,6,1,"AVERY","absentee","37011"
15,6,2,"AVERY","early","37011"
15,6,3,"AVERY","electionday","37011"
15,6,4,"AVERY","provisional","37011"
15,7,1,"BEAUFORT","absentee","37013"
15,7,2,"BEAUFORT","early","37013"
15,7,3,"BEAUFORT","electionday","37013"
15,7,4,"BEAUFORT","provisional","37013"
15,8,1,"BERTIE","absentee","37015"
15,8,2,"BERTIE","early","37015"
15,8,3,"BERTIE","electionday","37015"
15,8,4,"BERTIE","provisional","37015"
15,9,1,"BLADEN","absentee","37017"
15,9,2,"BLADEN","early","37017"
15,9,3,"BLADEN","electionday","37017"
15,9,4,"BLADEN","provisional","37017"
15,10,1,"BRUNSWICK","absentee","37019"
15,10,2,"BRUNSWICK","early","37019"
15,10,3,"BRUNSWICK","electionday","37019"
15,10,4,"BRUNSWICK","provisional","37019"
15,11,1,"BUNCOMBE","absentee","37021"
15,11,2,"BUNCOMBE","early","37021"
15,11,3,"BUNCOMBE","electionday","37021"
15,11,4,"BUNCOMBE","provisional","37021"
15,12,1,"BURKE","absentee","37023"
15,12,2,"BURKE","early","37023"
15,12,3,"BURKE","electionday","37023"
15,12,4,"BURKE","provisional","37023"
15,13,1,"CABARRUS","absentee","37025"
15,13,2,"CABARRUS","early","37025"
15,13,3,"CABARRUS","electionday","37025"
15,13,4,"CABARRUS","provisional","37025"
15,14,1,"CALDWELL","absentee","37027"
15,14,2,"CALDWELL","early","37027"
15,14,3,"CALDWELL","electionday","37027"
15,14,4,"CALDWELL","provisional","37027"
15,15,1,"CAMDEN","absentee","37029"
15,15,2,"CAMDEN","early","37029"
15,15,3,"CAMDEN","electionday","37029"
15,15,4,"CAMDEN","provisional","37029"
15,16,1,"CARTERET","absentee","37031"
15,16,2,"CARTERET","early","37031"
15,16,3,"CARTERET","electionday","37031"
15,16,4,"CARTERET","provisional","37031"
15,17,1,"CASWELL","absentee","37033"
15,17,2,"CASWELL","early","37033"
15,17,3,"CASWELL","electionday","37033"
15,17,4,"CASWELL","provisional","37033"
15,18,1,"CATAWBA","absentee","37035"
15,18,2,"CATAWBA","early","37035"
15,18,3,"CATAWBA","electionday","37035"
