"sid","cid","county_name","county_fips"
16,1,"ADAMS","unknown"
16,2,"BARNES","unknown"
16,3,"BENSON","unknown"
16,4,"BILLINGS","unknown"
16,5,"BOTTINEAU","unknown"
16,6,"BOWMAN","unknown"
16,7,"BURKE","unknown"
16,8,"BURLEIGH","unknown"
16,9,"CASS","unknown"
16,10,"CAVALIER","unknown"
16,11,"DICKEY","unknown"
16,12,"DIVIDE","unknown"
16,13,"DUNN","unknown"
16,14,"EDDY","unknown"
16,15,"EMMONS","unknown"
16,16,"FOSTER","unknown"
16,17,"GOLDEN VALLEY","unknown"
16,18,"GRAND FORKS","unknown"
16,19,"GRANT","unknown"
16,20,"GRIGGS","unknown"
16,21,"HETTINGER","unknown"
16,22,"KIDDER","unknown"
16,23,"LAMOURE","unknown"
16,24,"LOGAN","unknown"
16,25,"MCHENRY","unknown"
16,26,"MCINTOSH","unknown"
16,27,"MCKENZIE","unknown"
16,28,"MCLEAN","unknown"
16,29,"MERCER","unknown"
16,30,"MORTON","unknown"
16,31,"MOUNTRAIL","unknown"
16,32,"NELSON","unknown"
16,33,"OLIVER","unknown"
16,34,"PEMBINA","unknown"
16,35,"PIERCE","unknown"
16,36,"RAMSEY","unknown"
16,37,"RANSOM","unknown"
16,38,"RENVILLE","unknown"
16,39,"RICHLAND","unknown"
16,40,"ROLETTE","unknown"
16,41,"SARGENT","unknown"
16,42,"SHERIDAN","unknown"
16,43,"SIOUX","unknown"
16,44,"SLOPE","unknown"
16,45,"STARK","unknown"
16,46,"STEELE","unknown"
16,47,"STUTSMAN","unknown"
16,48,"TOWNER","unknown"
16,49,"TRAILL","unknown"
16,50,"WALSH","unknown"
16,51,"WARD","unknown"
16,52,"WELLS","unknown"
16,53,"WILLIAMS","unknown"
